scenario,trial,noise,layer,truth_r_km,truth_theta_deg,truth_z,truth_v,truth_psi_deg,est_r_km,est_theta_deg,est_v,est_psi_deg,est_z,err_r_km,err_theta_deg,err_v,err_psi_deg,err_z,abs_err_r_km,abs_err_theta_deg,abs_err_v,abs_err_psi_deg,abs_err_z,ci_r_km,ci_theta_deg,ci_v,ci_psi_deg,ci_z_m,cov_r,cov_theta,cov_v,cov_psi,cov_z,n_acc
B-M,10,3,M2_RC2_RC3,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,58.1,1.0,2.968,-13.68,192.0,6.879835311621683,0.3143747268057494,1.1012272605654874,-18.386416455695016,-24.30039617442281,6.879835311621683,0.3143747268057494,1.1012272605654874,18.386416455695016,24.30039617442281,2.0,0.0,0.4000000000000003,4.000000000000001,40.0,False,False,False,False,True,5
B-M,10,4,M0_prior,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,50.0,0.0,2.0,5.0,200.0,-1.2201646883783184,-0.6856252731942647,0.1332272605654874,0.2935835443049908,-16.300396174422815,1.2201646883783184,0.6856252731942647,0.1332272605654874,0.2935835443049908,16.300396174422815,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-M,10,4,M1_RC2,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,48.73625,0.5700000000000001,2.879125,10.541250000000002,,-2.48391468837832,-0.1156252731942492,1.012352260565487,5.834833544305009,,2.48391468837832,0.1156252731942492,1.012352260565487,5.834833544305009,,15.0,0.0,0.6000000000000001,2.0000000000000013,,True,False,False,False,True,100
B-M,10,4,M2_RC2_RC3,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,45.24,0.62,1.2319999999999998,12.72,212.0,-5.980164688378316,-0.0656252731942523,-0.6347727394345128,8.013583544304995,-4.300396174422815,5.980164688378316,0.0656252731942523,0.6347727394345128,8.013583544304995,4.300396174422815,8.5,0.0,1.6,4.000000000000001,40.0,True,False,True,False,True,20
B-M,10,5,M0_prior,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,50.0,0.0,2.0,5.0,200.0,-1.2201646883783184,-0.6856252731942647,0.1332272605654874,0.2935835443049908,-16.300396174422815,1.2201646883783184,0.6856252731942647,0.1332272605654874,0.2935835443049908,16.300396174422815,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-M,10,5,M1_RC2,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,49.23625,0.5700000000000001,2.879125,10.541250000000002,,-1.98391468837832,-0.1156252731942492,1.012352260565487,5.834833544305009,,1.98391468837832,0.1156252731942492,1.012352260565487,5.834833544305009,,15.0,0.0,0.6000000000000001,2.0000000000000013,,True,False,False,False,True,102
B-M,10,5,M2_RC2_RC3,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,53.9,0.62,2.872,11.52,212.0,2.67983531162168,-0.0656252731942523,1.0052272605654873,6.813583544304993,-4.300396174422815,2.67983531162168,0.0656252731942523,1.0052272605654873,6.813583544304993,4.300396174422815,5.5,0.0,0.4000000000000003,2.0000000000000013,40.0,False,False,False,False,True,40
B-M,10,6,M0_prior,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,50.0,0.0,2.0,5.0,200.0,-1.2201646883783184,-0.6856252731942647,0.1332272605654874,0.2935835443049908,-16.300396174422815,1.2201646883783184,0.6856252731942647,0.1332272605654874,0.2935835443049908,16.300396174422815,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-M,10,6,M1_RC2,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,52.23625,0.5700000000000001,2.879125,10.541250000000002,,1.01608531162168,-0.1156252731942492,1.012352260565487,5.834833544305009,,1.01608531162168,0.1156252731942492,1.012352260565487,5.834833544305009,,15.0,0.0,0.8,2.0000000000000013,,True,False,False,False,True,156
B-M,10,6,M2_RC2_RC3,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,45.4,0.62,2.568,10.32,168.8,-5.82016468837832,-0.0656252731942523,0.701227260565487,5.613583544304991,-47.5003961744228,5.82016468837832,0.0656252731942523,0.701227260565487,5.613583544304991,47.5003961744228,15.0,0.0,1.0,2.0000000000000013,40.0,True,False,True,False,True,187
B-M,10,7,M0_prior,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,50.0,0.0,2.0,5.0,200.0,-1.2201646883783184,-0.6856252731942647,0.1332272605654874,0.2935835443049908,-16.300396174422815,1.2201646883783184,0.6856252731942647,0.1332272605654874,0.2935835443049908,16.300396174422815,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-M,10,7,M1_RC2,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,50.23625,0.5700000000000001,2.879125,10.541250000000002,,-0.98391468837832,-0.1156252731942492,1.012352260565487,5.834833544305009,,0.98391468837832,0.1156252731942492,1.012352260565487,5.834833544305009,,15.0,0.0,0.8,2.0000000000000013,,True,False,False,False,True,127
B-M,10,7,M2_RC2_RC3,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,48.1,0.5,2.872,13.2,192.0,-3.120164688378317,-0.1856252731942448,1.0052272605654873,8.49358354430499,-24.30039617442281,3.120164688378317,0.1856252731942448,1.0052272605654873,8.49358354430499,24.30039617442281,13.0,0.0,1.6,2.0000000000000013,40.0,True,False,True,False,True,12
B-M,10,8,M0_prior,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,50.0,0.0,2.0,5.0,200.0,-1.2201646883783184,-0.6856252731942647,0.1332272605654874,0.2935835443049908,-16.300396174422815,1.2201646883783184,0.6856252731942647,0.1332272605654874,0.2935835443049908,16.300396174422815,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-M,10,8,M1_RC2,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,52.23625,0.5700000000000001,2.879125,10.541250000000002,,1.01608531162168,-0.1156252731942492,1.012352260565487,5.834833544305009,,1.01608531162168,0.1156252731942492,1.012352260565487,5.834833544305009,,15.0,0.0,0.8,2.0000000000000013,,True,False,False,False,True,152
B-M,10,8,M2_RC2_RC3,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,45.16,0.82,1.032,-10.32,192.0,-6.060164688378322,0.1343747268057352,-0.8347727394345126,-15.026416455694998,-24.30039617442281,6.060164688378322,0.1343747268057352,0.8347727394345126,15.026416455694998,24.30039617442281,3.5,0.5,0.1999999999999999,16.0,40.0,False,True,False,False,True,11
B-M,10,9,M0_prior,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,50.0,0.0,2.0,5.0,200.0,-1.2201646883783184,-0.6856252731942647,0.1332272605654874,0.2935835443049908,-16.300396174422815,1.2201646883783184,0.6856252731942647,0.1332272605654874,0.2935835443049908,16.300396174422815,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-M,10,9,M1_RC2,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,45.73625,0.5700000000000001,2.804125,9.29125,,-5.48391468837832,-0.1156252731942492,0.9373522605654874,4.584833544304985,,5.48391468837832,0.1156252731942492,0.9373522605654874,4.584833544304985,,15.0,0.0,0.8,4.000000000000001,,True,False,False,False,True,172
B-M,10,9,M2_RC2_RC3,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,59.74,0.62,2.968,10.72,212.0,8.519835311621684,-0.0656252731942523,1.1012272605654874,6.013583544304991,-4.300396174422815,8.519835311621684,0.0656252731942523,1.1012272605654874,6.013583544304991,4.300396174422815,0.5,0.0,0.2000000000000001,4.000000000000001,0.0,False,False,False,False,False,10
B-M,10,10,M0_prior,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,50.0,0.0,2.0,5.0,200.0,-1.2201646883783184,-0.6856252731942647,0.1332272605654874,0.2935835443049908,-16.300396174422815,1.2201646883783184,0.6856252731942647,0.1332272605654874,0.2935835443049908,16.300396174422815,15.0,10.0,2.0,30.0,100.0,True,True,True,True,True,61659
B-M,10,10,M1_RC2,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,45.73625,0.5455,2.804125,9.29125,,-5.48391468837832,-0.1401252731942553,0.9373522605654874,4.584833544304985,,5.48391468837832,0.1401252731942553,0.9373522605654874,4.584833544304985,,15.0,0.0,0.8,4.000000000000001,,True,False,False,False,True,174
B-M,10,10,M2_RC2_RC3,51.22016468837832,0.6856252731942534,216.3003961744228,1.8667727394345128,4.7064164556950026,45.4,0.62,1.2,9.52,168.8,-5.82016468837832,-0.0656252731942523,-0.6667727394345127,4.81358354430499,-47.5003961744228,5.82016468837832,0.0656252731942523,0.6667727394345127,4.81358354430499,47.5003961744228,0.0,0.0,0.1999999999999999,3.999999999999999,0.0,False,False,False,False,False,4
