T_s,sigma_deg,layer,source,snr_db,turn_deg,n_acc,w_r_km,w_theta_deg,w_v_mps,w_psi_deg,std_r_km,std_theta_deg,std_v,std_psi_deg,contr_r,contr_theta,contr_v,contr_psi,retain_r,retain_theta,retain_v,retain_psi,unresolved_r,unresolved_theta,unresolved_v,unresolved_psi,ten_pct_r,ten_pct_v,stage_reject_rate
120,0.02,RC2,S1,10.0,0.0,3255.0,15.0,0.0,2.0,29.999999999999996,4.591389657042431,0.0,0.6881880099212233,6.331512648130011,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
120,0.02,RC2+RC3,S1,10.0,0.0,582.0,15.0,2.0,2.0,29.999999999999996,0.0027013728884447866,0.6833011055903041,2.981234004796692e-11,10.249516835575458,0.0,0.8,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8211981566820277
120,0.05,RC2,S1,10.0,0.0,4400.0,15.0,0.0,2.0,29.999999999999996,4.596372294267658,0.0,0.6896427995172274,6.329652233289141,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
120,0.05,RC2+RC3,S1,10.0,0.0,4768.0,15.0,2.0,2.0,29.999999999999996,0.007340997753091964,0.016355466194049942,2.95752101120496e-06,0.31261289707274603,0.0,0.8,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-0.08363636363636373
120,0.1,RC2,S1,10.0,0.0,4400.0,15.0,0.0,2.0,29.999999999999996,4.596200968944119,0.0,0.6897053875461755,6.3615359954137,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
120,0.1,RC2+RC3,S1,10.0,0.0,3285.0,15.0,2.0,2.0,29.999999999999996,0.004563621843223755,0.11694330093239985,5.02473078447978e-09,1.754280740572399,0.0,0.8,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2534090909090909
120,0.2,RC2,S1,10.0,0.0,4400.0,15.0,0.0,2.0,29.999999999999996,3.098864669290995,0.0,0.1345539305002791,0.6061674212736006,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
120,0.2,RC2+RC3,S1,10.0,0.0,150.0,15.0,2.0,0.5,29.999999999999996,0.004297118670298123,1.7961460343638733e-15,1.6873840801745464e-10,0.0023493108656162647,0.0,0.8,0.75,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9659090909090909
120,0.5,RC2,S1,10.0,0.0,4400.0,15.0,0.0,2.0,29.999999999999996,4.506423185323606,0.0,0.45712433604773783,2.3437336598029614,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
120,0.5,RC2+RC3,S1,10.0,0.0,3157.0,15.0,2.0,2.0,29.999999999999996,0.007851089424453096,1.980904109617842e-09,4.3881891973514885e-09,0.05095271147294285,0.0,0.8,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2825
300,0.02,RC2,S1,10.0,0.0,1380.0,15.0,0.0,2.0,11.999999999999998,4.595711734827932,0.0,0.678942169350706,3.5620566614685374,0.0,1.0,0.0,0.6000000000000001,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,
300,0.02,RC2+RC3,S1,10.0,0.0,19.0,2.0,4.0,0.0,29.999999999999996,4.147420792211914e-09,1.0914417060948763e-09,4.440892098500626e-16,3.2416132319550224e-05,0.8666666666666667,0.6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.986231884057971
300,0.05,RC2,S1,10.0,0.0,3115.0,15.0,0.0,2.0,29.999999999999996,4.598456012195439,0.0,0.7017363604160612,3.4191754448360694,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
300,0.05,RC2+RC3,S1,10.0,0.0,19.0,2.0,4.0,0.0,29.999999999999996,2.283503105683734e-09,4.4919480345180975e-08,4.4408920985006257e-16,2.2526229837655876e-05,0.8666666666666667,0.6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.993900481540931
300,0.1,RC2,S1,10.0,0.0,4270.0,15.0,0.0,2.0,29.999999999999996,4.599313986553099,0.0,0.6959897919517639,3.49990672419843,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
300,0.1,RC2+RC3,S1,10.0,0.0,41.0,5.0,4.0,0.0,29.999999999999996,2.0588581298472096e-05,0.0002499674576586947,0.0,0.0037495120958674897,0.6666666666666667,0.6,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9903981264637003
300,0.2,RC2,S1,10.0,0.0,4400.0,15.0,0.0,2.0,29.999999999999996,4.596572439348602,0.0,0.5309173618126105,2.6766382570598815,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
300,0.2,RC2+RC3,S1,10.0,0.0,54.0,6.0,2.0,0.5,29.999999999999996,0.0001582676933037052,3.432148013919661e-07,4.837334968182947e-16,5.148222020879568e-06,0.6,0.8,0.75,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9877272727272727
300,0.5,RC2,S1,10.0,0.0,4400.0,15.0,0.0,2.0,29.999999999999996,4.618243568406429,0.0,0.6051050957049031,3.1084357483484313,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
300,0.5,RC2+RC3,S1,10.0,0.0,21.0,2.0,4.0,0.0,29.999999999999996,2.948437736685968e-11,0.00010279363976713155,0.0,0.0007709566631602716,0.8666666666666667,0.6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9952272727272727
600,0.02,RC2,S1,10.0,0.0,770.0,15.0,0.0,2.0,11.999999999999998,4.868258536256175,0.0,0.729153614570006,3.032898066585295,0.0,1.0,0.0,0.6000000000000001,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,
600,0.02,RC2+RC3,S1,10.0,0.0,17.0,3.0,4.0,0.0,29.999999999999996,0.0002437773974985503,7.770236152026548e-13,8.881784197001252e-16,5.827676351198823e-12,0.8,0.6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.977922077922078
600,0.05,RC2,S1,10.0,0.0,1775.0,15.0,0.0,2.0,14.999999999999998,4.611317160476134,0.0,0.7884814845414353,2.8731420828273166,0.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,
600,0.05,RC2+RC3,S1,10.0,0.0,32.0,4.0,4.0,0.0,29.999999999999996,0.00026241765393090127,0.03640865055836438,8.881784197001251e-16,1.0922595167509315,0.7333333333333334,0.6,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9819718309859155
600,0.1,RC2,S1,10.0,0.0,3145.0,15.0,0.0,2.0,29.999999999999996,4.542315790271601,0.0,0.7883495743976384,2.8166982594566647,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
600,0.1,RC2+RC3,S1,10.0,0.0,20.0,3.0,4.0,0.0,29.999999999999996,0.0011040876545216198,1.5007662048894324e-08,4.4408920985006257e-16,1.1255746536670744e-07,0.8,0.6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9936406995230525
600,0.2,RC2,S1,10.0,0.0,4270.0,15.0,0.0,2.0,29.999999999999996,4.797087139187245,0.0,0.631253449638558,3.06965429595713,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
600,0.2,RC2+RC3,S1,10.0,0.0,28.0,4.0,4.0,0.0,29.999999999999996,0.005794970903017644,0.1709187643119386,0.0,5.127562929358158,0.7333333333333334,0.6,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9934426229508196
600,0.5,RC2,S1,10.0,0.0,6005.0,15.0,1.0,2.0,29.999999999999996,3.7657564992568946,0.0,0.5176294659862954,2.4838520814975626,0.0,0.9,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
600,0.5,RC2+RC3,S1,10.0,0.0,16.0,3.0,1.0,0.0,29.999999999999996,0.0006501854934973148,2.7341983014860893e-13,0.0,8.202586849728208e-12,0.8,0.9,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9973355537052456
1200,0.02,RC2,S1,10.0,0.0,370.0,15.0,0.0,2.0,11.999999999999998,6.003746228490727,0.0,0.5717012390296108,2.8777669337992897,0.0,1.0,0.0,0.6000000000000001,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,
1200,0.02,RC2+RC3,S1,10.0,0.0,17.0,7.0,1.0,0.0,29.999999999999996,2.0063760371929382e-14,9.903507306497554e-15,0.0,2.971052191949266e-13,0.5333333333333333,0.9,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9540540540540541
1200,0.05,RC2,S1,10.0,0.0,975.0,15.0,0.0,2.0,11.999999999999998,5.468008759411723,0.0,0.5335622868032038,2.8857168722885964,0.0,1.0,0.0,0.6000000000000001,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,
1200,0.05,RC2+RC3,S1,10.0,0.0,20.0,7.0,1.0,0.0,29.999999999999996,2.21905252557732e-11,7.474165237937062e-12,0.0,2.2422495713811183e-10,0.5333333333333333,0.9,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9794871794871794
1200,0.1,RC2,S1,10.0,0.0,1810.0,15.0,0.0,2.0,14.999999999999998,5.9359682249123775,0.0,0.5731432311443935,2.8864487797436413,0.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,
1200,0.1,RC2+RC3,S1,10.0,0.0,6.0,4.0,1.0,0.0,29.999999999999996,0.0003396409315832678,0.00016982046579163388,0.0,0.005094613973749017,0.7333333333333334,0.9,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9966850828729282
1200,0.2,RC2,S1,10.0,0.0,3150.0,15.0,0.0,2.0,29.999999999999996,2.294637288737249,0.0,0.7456930876455526,2.312569072243995,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
1200,0.2,RC2+RC3,S1,10.0,0.0,5.0,2.0,4.0,0.0,29.999999999999996,0.028928849376808244,0.014464424688404124,4.4408920985006257e-16,0.4339327406521236,0.8666666666666667,0.6,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9984126984126984
1200,0.5,RC2,S1,10.0,0.0,6945.0,15.0,2.0,2.0,29.999999999999996,4.404027107805181,0.0,0.4431501316417473,1.5587963200229993,0.0,0.8,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
1200,0.5,RC2+RC3,S1,10.0,0.0,5.0,3.0,1.0,0.0,29.999999999999996,0.17348225069150136,0.08674112534575068,4.440892098500626e-16,2.60223376037252,0.8,0.9,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9992800575953924
