source,snr_db,layer,T_s,sigma_deg,turn_deg,n_RC2,n_RC2_RC3,n_acc,nested_ok,stage_reject_rate,J_bear_min,sig_n2,r_status,r_width,r_contraction,r_unit,theta_status,theta_width,theta_contraction,theta_unit,z_status,z_width,z_contraction,z_unit,v_status,v_width,v_contraction,v_unit,psi_status,psi_width,psi_contraction,psi_unit,retain_r,retain_v,retain_theta,retain_psi,raw_w_r_km,raw_contr_r,raw_w_v_mps,raw_contr_v
S1,10,RC2,600.0,0.1,0.0,945,2,945,True,,75.64238669439855,0.0003278688524590164,UNRESOLVED,15.0,0.0,km,OK,0.0,1.0,deg,UNRESOLVED,100.0,0.0,m,UNRESOLVED,2.0,0.0,m/s,OK,11.999999999999998,0.6000000000000001,deg,True,True,True,True,15.0,0.0,2.0,0.0
S1,10,RC2+RC3,600.0,0.1,0.0,945,2,2,True,0.9978835978835979,75.64238669439855,0.0003278688524590164,OK,0.0,1.0,km,OK,0.0,1.0,deg,INVALID_NOT_COVERED,,,m,OK,0.0,1.0,m/s,OK,3.0000000000000004,0.8999999999999999,deg,True,True,True,True,0.0,1.0,0.0,1.0
S1,0,RC2,600.0,0.1,0.0,1070,6,1070,True,,39.97696482549236,0.003278688524590164,UNRESOLVED,15.0,0.0,km,OK,0.0,1.0,deg,UNRESOLVED,100.0,0.0,m,UNRESOLVED,2.0,0.0,m/s,OK,11.999999999999998,0.6000000000000001,deg,True,True,True,True,15.0,0.0,2.0,0.0
S1,0,RC2+RC3,600.0,0.1,0.0,1070,6,6,True,0.994392523364486,39.97696482549236,0.003278688524590164,INVALID_NOT_COVERED,,,km,OK,0.0,1.0,deg,INVALID_NOT_COVERED,,,m,INVALID_NOT_COVERED,,,m/s,OK,3.0000000000000004,0.8999999999999999,deg,False,False,True,True,1.0,0.9333333333333333,0.5,0.75
S1,-10,RC2,600.0,0.1,0.0,1085,999,1085,True,,74.77589339869787,0.03278688524590164,UNRESOLVED,15.0,0.0,km,OK,0.0,1.0,deg,UNRESOLVED,100.0,0.0,m,UNRESOLVED,2.0,0.0,m/s,OK,11.999999999999998,0.6000000000000001,deg,True,True,True,True,15.0,0.0,2.0,0.0
S1,-10,RC2+RC3,600.0,0.1,0.0,1085,999,999,True,0.07926267281105992,74.77589339869787,0.03278688524590164,UNRESOLVED,15.0,0.0,km,OK,0.0,1.0,deg,UNRESOLVED,100.0,0.0,m,UNRESOLVED,2.0,0.0,m/s,OK,11.999999999999998,0.6000000000000001,deg,True,True,True,True,15.0,0.0,2.0,0.0
S2,20,RC2,600.0,0.1,0.0,1070,1,1070,True,,70.95501311328393,3.278688524590164e-05,UNRESOLVED,15.0,0.0,km,OK,0.0,1.0,deg,UNRESOLVED,100.0,0.0,m,UNRESOLVED,2.0,0.0,m/s,OK,11.999999999999998,0.6000000000000001,deg,True,True,True,True,15.0,0.0,2.0,0.0
S2,20,RC2+RC3,600.0,0.1,0.0,1070,1,1,True,0.9990654205607477,70.95501311328393,3.278688524590164e-05,INVALID_NOT_COVERED,,,km,OK,0.0,1.0,deg,INVALID_NOT_COVERED,,,m,INVALID_NOT_COVERED,,,m/s,OK,0.0,1.0,deg,False,False,True,True,0.0,1.0,0.0,1.0
S2,10,RC2,600.0,0.1,0.0,930,1,930,True,,61.012866183873385,0.0003278688524590164,UNRESOLVED,15.0,0.0,km,OK,0.0,1.0,deg,UNRESOLVED,100.0,0.0,m,UNRESOLVED,2.0,0.0,m/s,OK,11.999999999999998,0.6000000000000001,deg,True,True,True,True,15.0,0.0,2.0,0.0
S2,10,RC2+RC3,600.0,0.1,0.0,930,1,1,True,0.9989247311827957,61.012866183873385,0.0003278688524590164,INVALID_NOT_COVERED,,,km,OK,0.0,1.0,deg,INVALID_NOT_COVERED,,,m,INVALID_NOT_COVERED,,,m/s,OK,0.0,1.0,deg,False,False,True,True,0.0,1.0,0.0,1.0
S2,0,RC2,600.0,0.1,0.0,1070,53,1070,True,,70.0639441667233,0.003278688524590164,UNRESOLVED,15.0,0.0,km,OK,0.0,1.0,deg,UNRESOLVED,100.0,0.0,m,UNRESOLVED,2.0,0.0,m/s,OK,11.999999999999998,0.6000000000000001,deg,True,True,True,True,15.0,0.0,2.0,0.0
S2,0,RC2+RC3,600.0,0.1,0.0,1070,53,53,True,0.9504672897196261,70.0639441667233,0.003278688524590164,UNRESOLVED,14.0,0.06666666666666665,km,OK,0.0,1.0,deg,UNRESOLVED,100.0,0.0,m,UNRESOLVED,2.0,0.0,m/s,OK,11.999999999999998,0.6000000000000001,deg,True,True,True,True,14.0,0.06666666666666665,2.0,0.0
S2,-10,RC2,600.0,0.1,0.0,1075,1073,1075,True,,44.32565795209898,0.03278688524590164,UNRESOLVED,15.0,0.0,km,OK,0.0,1.0,deg,UNRESOLVED,100.0,0.0,m,UNRESOLVED,2.0,0.0,m/s,OK,11.999999999999998,0.6000000000000001,deg,True,True,True,True,15.0,0.0,2.0,0.0
S2,-10,RC2+RC3,600.0,0.1,0.0,1075,1073,1073,True,0.0018604651162790198,44.32565795209898,0.03278688524590164,UNRESOLVED,15.0,0.0,km,OK,0.0,1.0,deg,UNRESOLVED,100.0,0.0,m,UNRESOLVED,2.0,0.0,m/s,OK,11.999999999999998,0.6000000000000001,deg,True,True,True,True,15.0,0.0,2.0,0.0
