span,zs,snr,method,role,N_DETECTED_PEAKS,N_UNIQUE_MODE_IDS,N_ORACLE_AMBIGUOUS,N_CORRECT,MODE_ORDER_RECOVERY_RATE,median_k_err,max_k_err,eq24_cost
sufficient_4990m,50.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,PAPER_PRINTED_PRIMARY_BRANCH,1,1,0,1,1.0,0.00186056788024902,0.00186056788024902,3.4617128370143315e-06
sufficient_4990m,50.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,PAPER_PRINTED_PRIMARY_BRANCH,1,1,0,1,1.0,0.00186056788024902,0.00186056788024902,3.4617128370143315e-06
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,SENSITIVITY,1,1,0,1,1.0,1.1121638793909483e-05,1.1121638793909483e-05,1.2369084946219237e-10
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,SENSITIVITY,1,1,0,1,1.0,1.1121638793909483e-05,1.1121638793909483e-05,1.2369084946219237e-10
sufficient_4990m,50.0,R1_20dB,SAB_FOURIER,BASELINE,19,19,0,1,0.05263157894736842,0.0002525278495055794,0.006827069758610138,0.16254335586931776
insufficient_1990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,PAPER_PRINTED_PRIMARY_BRANCH,6,6,0,6,1.0,0.0027504605680847005,0.004735619827270554,5.880516329171808e-05
insufficient_1990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,PAPER_PRINTED_PRIMARY_BRANCH,5,5,0,5,1.0,0.0020353661056518035,0.004735619827270554,3.883948160228965e-05
insufficient_1990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,SENSITIVITY,11,11,0,11,1.0,3.4534911804273705e-05,0.0007558683612061134,9.82007029313955e-07
insufficient_1990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,SENSITIVITY,3,3,0,3,1.0,0.0006333101727293844,0.0007558683612061134,9.736114144882673e-07
insufficient_1990m,4.0,R0_NOISELESS,SAB_FOURIER,BASELINE,21,20,1,1,0.05,0.0020003373162291727,0.005040084609318596,0.16457745030056217
insufficient_1990m,4.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,PAPER_PRINTED_PRIMARY_BRANCH,1,1,0,1,1.0,0.0024504661282349627,0.0024504661282349627,6.0047842456268484e-06
insufficient_1990m,4.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,PAPER_PRINTED_PRIMARY_BRANCH,1,1,0,1,1.0,0.0024504661282349627,0.0024504661282349627,6.0047842456268484e-06
insufficient_1990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,SENSITIVITY,0,0,0,0,,,,
insufficient_1990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,SENSITIVITY,0,0,0,0,,,,
insufficient_1990m,4.0,R1_20dB,SAB_FOURIER,BASELINE,19,18,1,0,0.0,0.00044848839366462556,0.005040084609318596,0.11661493724783167
insufficient_1990m,50.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,PAPER_PRINTED_PRIMARY_BRANCH,6,5,1,5,1.0,0.002448570790405169,0.0056646083612059694,7.070714993915068e-05
insufficient_1990m,50.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,PAPER_PRINTED_PRIMARY_BRANCH,2,2,0,2,1.0,0.0016291159559630453,0.002448570790405169,6.6510500473279105e-06
insufficient_1990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,SENSITIVITY,11,11,0,11,1.0,3.4534911804273705e-05,0.00028700211975096757,9.850580014851733e-08
insufficient_1990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,SENSITIVITY,2,2,0,2,1.0,6.017847351069694e-05,7.76858255004953e-05,7.855912095544699e-09
insufficient_1990m,50.0,R0_NOISELESS,SAB_FOURIER,BASELINE,18,18,0,0,0.0,0.0005523129511899594,0.017181440076839305,0.14451559348377982
insufficient_1990m,50.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,PAPER_PRINTED_PRIMARY_BRANCH,1,1,0,1,1.0,0.00186056788024902,0.00186056788024902,3.4617128370143315e-06
insufficient_1990m,50.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,PAPER_PRINTED_PRIMARY_BRANCH,1,1,0,1,1.0,0.00186056788024902,0.00186056788024902,3.4617128370143315e-06
insufficient_1990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,SENSITIVITY,13,13,0,8,0.6153846153846154,0.001403645130310105,0.005848850172729403,0.00034785645073412907
insufficient_1990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,SENSITIVITY,2,2,0,2,1.0,0.0009481492062377583,0.0018055033819579513,3.2680861998282857e-06
insufficient_1990m,50.0,R1_20dB,SAB_FOURIER,BASELINE,19,19,0,0,0.0,0.001049978853690181,0.02063289684958236,0.1816505022613765
