span,zs,snr,method,p_tag,k_hat,assigned_mode_id,oracle_mode_id,oracle_status,abs_k_err,eq24_cost
sufficient_4990m,50.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.37598077,15,15,UNIQUE,1.1086463928222656e-05,1.2369084946219237e-10
sufficient_4990m,50.0,R1_20dB,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.37598077,15,15,UNIQUE,1.1086463928222656e-05,1.2369084946219237e-10
insufficient_1990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.44332252,8,8,UNIQUE,0.0004832744598388672,5.880516329171808e-05
insufficient_1990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.43105068,10,10,UNIQUE,0.0034655332565307617,5.880516329171808e-05
insufficient_1990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.41755165,11,11,UNIQUE,0.002035379409790039,5.880516329171808e-05
insufficient_1990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.39331475,14,14,UNIQUE,0.004735589027404785,5.880516329171808e-05
insufficient_1990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.37613416,15,15,UNIQUE,0.00016450881958007812,5.880516329171808e-05
insufficient_1990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.35220406,17,17,UNIQUE,0.004468321800231934,5.880516329171808e-05
insufficient_1990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.44332252,8,8,UNIQUE,0.0004832744598388672,3.883948160228965e-05
insufficient_1990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.43105068,10,10,UNIQUE,0.0034655332565307617,3.883948160228965e-05
insufficient_1990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.41755165,11,11,UNIQUE,0.002035379409790039,3.883948160228965e-05
insufficient_1990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.39331475,14,14,UNIQUE,0.004735589027404785,3.883948160228965e-05
insufficient_1990m,4.0,R0_NOISELESS,MMAR,PRINTED_LITERAL_CONTROL,1.37613416,15,15,UNIQUE,0.00016450881958007812,3.883948160228965e-05
insufficient_1990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.46587204,5,5,UNIQUE,3.528594970703125e-05,9.82007029313955e-07
insufficient_1990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.45835554,6,6,UNIQUE,2.9206275939941406e-05,9.82007029313955e-07
insufficient_1990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.45068563,7,7,UNIQUE,1.0728836059570312e-05,9.82007029313955e-07
insufficient_1990m,4.0,R0_NOISELESS,MMAR,OUR_MOVING_SAMPLE_INTERPRETATION,1.44286233,8,8,UNIQUE,2.300739288330078e-05,9.82007029313955e-07
