n_detected_peaks_in_band,true_peak_recalled,false_peak_count,recall,precision,f1,peak_count_err,recovered_ks,case,n_true,dr_tag,p_tag,power,power_tag,complete_success,rank,cond
3,3,0,0.6,1.0,0.7499999999999999,-2,1.360035;1.410082;1.459927,5_peak_wide,5,NO_FOLD,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_POWER_1,False,5,139698663800738.78
3,3,0,0.6,1.0,0.7499999999999999,-2,1.360035;1.410082;1.459927,5_peak_wide,5,NO_FOLD,PRINTED_LITERAL_CONTROL,2,STANDARD_PSD_POWER_2,False,5,139698663800738.78
3,3,0,0.6,1.0,0.7499999999999999,-2,1.360035;1.410082;1.459927,5_peak_wide,5,NO_FOLD,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_POWER_1,False,5,5.951595423025851e+16
0,0,0,0.0,0.0,0.0,-5,,5_peak_wide,5,NO_FOLD,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_PSD_POWER_2,False,5,5.951595423025851e+16
4,4,0,0.8,1.0,0.888888888888889,-1,1.360027;1.410035;1.460043;1.499926,5_peak_wide,5,REF7_2p5,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_POWER_1,False,5,96016052582879.6
3,3,0,0.6,1.0,0.7499999999999999,-2,1.360027;1.410035;1.460043,5_peak_wide,5,REF7_2p5,PRINTED_LITERAL_CONTROL,2,STANDARD_PSD_POWER_2,False,5,96016052582879.6
4,4,0,0.8,1.0,0.888888888888889,-1,1.360027;1.410035;1.460043;1.499926,5_peak_wide,5,REF7_2p5,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_POWER_1,False,5,2.785415607460727e+16
2,2,0,0.4,1.0,0.5714285714285715,-3,1.360027;1.410035,5_peak_wide,5,REF7_2p5,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_PSD_POWER_2,False,5,2.785415607460727e+16
1,1,0,0.5,1.0,0.6666666666666666,-1,1.404996,2_peak_close,2,NO_FOLD,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_POWER_1,False,2,294524950376722.1
1,1,0,0.5,1.0,0.6666666666666666,-1,1.404996,2_peak_close,2,NO_FOLD,PRINTED_LITERAL_CONTROL,2,STANDARD_PSD_POWER_2,False,2,294524950376722.1
1,1,0,0.5,1.0,0.6666666666666666,-1,1.404996,2_peak_close,2,NO_FOLD,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_POWER_1,False,2,2.4142480847564528e+17
1,1,0,0.5,1.0,0.6666666666666666,-1,1.404996,2_peak_close,2,NO_FOLD,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_PSD_POWER_2,False,2,2.4142480847564528e+17
2,2,0,1.0,1.0,1.0,0,1.400064;1.404973,2_peak_close,2,REF7_2p5,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_POWER_1,True,2,139043087645231.14
2,2,0,1.0,1.0,1.0,0,1.400064;1.404973,2_peak_close,2,REF7_2p5,PRINTED_LITERAL_CONTROL,2,STANDARD_PSD_POWER_2,True,2,139043087645231.14
2,2,0,1.0,1.0,1.0,0,1.400064;1.404973,2_peak_close,2,REF7_2p5,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_POWER_1,True,2,1.1538426891353566e+17
2,2,0,1.0,1.0,1.0,0,1.400064;1.404973,2_peak_close,2,REF7_2p5,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_PSD_POWER_2,True,2,1.1538426891353566e+17
3,3,0,1.0,1.0,1.0,0,1.399910;1.403979;1.408048,3_peak_close,3,NO_FOLD,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_POWER_1,True,3,231189290155099.75
1,1,0,0.3333333333333333,1.0,0.5,-2,1.403979,3_peak_close,3,NO_FOLD,PRINTED_LITERAL_CONTROL,2,STANDARD_PSD_POWER_2,False,3,231189290155099.75
3,3,0,1.0,1.0,1.0,0,1.399910;1.403979;1.408048,3_peak_close,3,NO_FOLD,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_POWER_1,True,3,1.93668988944713e+17
1,1,0,0.3333333333333333,1.0,0.5,-2,1.403979,3_peak_close,3,NO_FOLD,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_PSD_POWER_2,False,3,1.93668988944713e+17
3,3,0,1.0,1.0,1.0,0,1.400064;1.404053;1.408041,3_peak_close,3,REF7_2p5,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_POWER_1,True,3,120614757884479.47
3,3,0,1.0,1.0,1.0,0,1.400064;1.404053;1.408041,3_peak_close,3,REF7_2p5,PRINTED_LITERAL_CONTROL,2,STANDARD_PSD_POWER_2,True,3,120614757884479.47
3,3,0,1.0,1.0,1.0,0,1.400064;1.404053;1.408041,3_peak_close,3,REF7_2p5,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_POWER_1,True,3,4.663178867314212e+16
3,3,0,1.0,1.0,1.0,0,1.400064;1.404053;1.408041,3_peak_close,3,REF7_2p5,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_PSD_POWER_2,True,3,4.663178867314212e+16
5,5,0,1.0,1.0,1.0,0,1.379972;1.389941;1.399910;1.410082;1.420051,5_peak_close,5,NO_FOLD,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_POWER_1,True,5,143124384207612.75
5,5,0,1.0,1.0,1.0,0,1.379972;1.389941;1.399910;1.410082;1.420051,5_peak_close,5,NO_FOLD,PRINTED_LITERAL_CONTROL,2,STANDARD_PSD_POWER_2,True,5,143124384207612.75
5,5,0,1.0,1.0,1.0,0,1.379972;1.389941;1.399910;1.410082;1.420051,5_peak_close,5,NO_FOLD,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_POWER_1,True,5,2.3423493497711812e+16
5,5,0,1.0,1.0,1.0,0,1.379972;1.389941;1.399910;1.410082;1.420051,5_peak_close,5,NO_FOLD,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_PSD_POWER_2,True,5,2.3423493497711812e+16
5,5,0,1.0,1.0,1.0,0,1.379969;1.389940;1.400064;1.410035;1.420006,5_peak_close,5,REF7_2p5,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_POWER_1,True,5,80395280595498.22
4,4,0,0.8,1.0,0.888888888888889,-1,1.389940;1.400064;1.410035;1.420006,5_peak_close,5,REF7_2p5,PRINTED_LITERAL_CONTROL,2,STANDARD_PSD_POWER_2,False,5,80395280595498.22
5,5,0,1.0,1.0,1.0,0,1.379969;1.389940;1.400064;1.410035;1.420006,5_peak_close,5,REF7_2p5,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_POWER_1,True,5,4.243755836611673e+16
4,4,0,0.8,1.0,0.888888888888889,-1,1.389940;1.400064;1.410035;1.420006,5_peak_close,5,REF7_2p5,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_PSD_POWER_2,False,5,4.243755836611673e+16
