env,z,c
E0_nominal,1780.0,1503.9163
E0_nominal,1800.0,1504.299
E0_nominal,1820.0,1504.7044
E0_nominal,1840.0,1505.133
E0_nominal,1860.0,1505.5857
E0_nominal,1880.0,1506.0631
E0_nominal,1900.0,1506.5661
E0_nominal,1920.0,1507.0954
E0_nominal,1940.0,1507.6519
E0_nominal,1960.0,1508.2364
E0_nominal,1980.0,1508.8498
E0_nominal,2000.0,1509.493
E0_nominal,2020.0,1510.167
E0_nominal,2040.0,1510.8726
E0_nominal,2060.0,1511.6109
E0_nominal,2080.0,1512.3829
E0_nominal,2100.0,1513.1896
E0_nominal,2120.0,1514.0322
E0_nominal,2140.0,1514.9118
E0_nominal,2160.0,1515.8294
E0_nominal,2180.0,1516.7864
E0_nominal,2200.0,1517.7839
E0_nominal,2220.0,1518.8232
E0_nominal,2240.0,1519.9056
E0_nominal,2260.0,1521.0324
E0_nominal,2280.0,1522.2051
E0_nominal,2300.0,1523.4251
E0_nominal,2320.0,1524.6938
E0_nominal,2340.0,1526.0128
E0_nominal,2360.0,1527.3836
E0_nominal,2380.0,1528.8079
E0_nominal,2400.0,1530.2873
E0_nominal,2420.0,1531.8236
E0_nominal,2440.0,1533.4185
E0_nominal,2460.0,1535.0739
E0_nominal,2480.0,1536.7916
E0_nominal,2500.0,1538.5737
E0_nominal,2520.0,1540.422
E0_nominal,2540.0,1542.3388
E0_nominal,2560.0,1544.326
E0_nominal,2580.0,1546.386
E0_nominal,2600.0,1548.521
E0_nominal,2620.0,1550.7333
E0_nominal,2640.0,1553.0254
E0_nominal,2660.0,1555.3998
E0_nominal,2680.0,1557.8589
E0_nominal,2700.0,1560.4056
E0_nominal,2720.0,1563.0424
E0_nominal,2740.0,1565.7723
E0_nominal,2760.0,1568.5981
E0_nominal,2780.0,1571.5228
E0_nominal,2800.0,1574.5495
E0_nominal,2820.0,1577.6815
E0_nominal,2840.0,1580.9219
E0_nominal,2860.0,1584.2742
E0_nominal,2880.0,1587.7419
E0_nominal,2900.0,1591.3286
E0_nominal,2920.0,1595.038
E0_nominal,2940.0,1598.8739
E0_nominal,2960.0,1602.8404
E0_nominal,2980.0,1606.9414
E0_nominal,3000.0,1611.1811
E0_nominal,3020.0,1611.4211
E0_nominal,3040.0,1611.6611
E0_nominal,3060.0,1611.9011
E0_nominal,3080.0,1612.1411
E0_nominal,3100.0,1612.3811
E0_nominal,3120.0,1612.6211
E0_nominal,3140.0,1612.8611
E0_nominal,3160.0,1613.1011
E0_nominal,3180.0,1613.3411
E0_nominal,3200.0,1613.5811
E0_nominal,3220.0,1613.8211
E0_nominal,3240.0,1614.0611
E0_nominal,3260.0,1614.3011
E0_nominal,3280.0,1614.5411
E0_nominal,3300.0,1614.7811
E0_nominal,3320.0,1615.0211
E0_nominal,3340.0,1615.2611
E0_nominal,3360.0,1615.5011
E0_nominal,3380.0,1615.7411
E0_nominal,3400.0,1615.9811
E0_nominal,3420.0,1616.2211
E0_nominal,3440.0,1616.4611
E0_nominal,3460.0,1616.7011
E0_nominal,3480.0,1616.9411
E0_nominal,3500.0,1617.1811
E0_nominal,3520.0,1617.4211
E0_nominal,3540.0,1617.6611
E0_nominal,3560.0,1617.9011
E0_nominal,3580.0,1618.1411
E0_nominal,3600.0,1618.3811
E0_nominal,3620.0,1618.6211
E0_nominal,3640.0,1618.8611
E0_nominal,3660.0,1619.1011
E0_nominal,3680.0,1619.3411
E0_nominal,3700.0,1619.5811
E0_nominal,3720.0,1619.8211
E0_nominal,3740.0,1620.0611
E0_nominal,3760.0,1620.3011
E0_nominal,3780.0,1620.5411
E0_nominal,3800.0,1620.7811
E0_nominal,3820.0,1621.0211
E0_nominal,3840.0,1621.2611
E0_nominal,3860.0,1621.5011
E0_nominal,3880.0,1621.7411
E0_nominal,3900.0,1621.9811
E0_nominal,3920.0,1622.2211
E0_nominal,3940.0,1622.4611
E0_nominal,3960.0,1622.7011
E0_nominal,3980.0,1622.9411
E0_nominal,4000.0,1623.1811
E0_nominal,4020.0,1623.4211
E0_nominal,4040.0,1623.6611
E0_nominal,4060.0,1623.9011
E0_nominal,4080.0,1624.1411
E0_nominal,4100.0,1624.3811
E0_nominal,4120.0,1624.6211
E0_nominal,4140.0,1624.8611
E0_nominal,4160.0,1625.1011
E0_nominal,4180.0,1625.3411
E0_nominal,4200.0,1625.5811
E0_nominal,4220.0,1625.8211
E0_nominal,4240.0,1626.0611
E0_nominal,4260.0,1626.3011
E0_nominal,4280.0,1626.5411
E0_nominal,4300.0,1626.7811
E0_nominal,4320.0,1627.0211
E0_nominal,4340.0,1627.2611
E0_nominal,4360.0,1627.5011
E0_nominal,4380.0,1627.7411
E0_nominal,4400.0,1627.9811
E0_nominal,4420.0,1628.2211
E0_nominal,4440.0,1628.4611
E0_nominal,4460.0,1628.7011
E0_nominal,4480.0,1628.9411
E0_nominal,4500.0,1629.1811
E0_nominal,4520.0,1629.4211
E0_nominal,4540.0,1629.6611
E0_nominal,4560.0,1629.9011
E0_nominal,4580.0,1630.1411
E0_nominal,4600.0,1630.3811
E0_nominal,4620.0,1630.6211
E0_nominal,4640.0,1630.8611
E0_nominal,4660.0,1631.1011
E0_nominal,4680.0,1631.3411
E0_nominal,4700.0,1631.5811
E0_nominal,4720.0,1631.8211
E0_nominal,4740.0,1632.0611
E0_nominal,4760.0,1632.3011
E0_nominal,4780.0,1632.5411
E0_nominal,4800.0,1632.7811
E0_nominal,4820.0,1633.0211
E0_nominal,4840.0,1633.2611
E0_nominal,4860.0,1633.5011
E0_nominal,4880.0,1633.7411
E0_nominal,4900.0,1633.9811
E0_nominal,4920.0,1634.2211
E0_nominal,4940.0,1634.4611
E0_nominal,4960.0,1634.7011
E0_nominal,4980.0,1634.9411
E0_nominal,5000.0,1635.1811
E0_nominal,1500.0,1800.0
E1_shift50m,0.0,1512.5511
E1_shift50m,20.0,1512.5511
E1_shift50m,40.0,1512.5511
E1_shift50m,60.0,1512.4044
E1_shift50m,80.0,1512.11175
E1_shift50m,100.0,1511.82055
E1_shift50m,120.0,1511.5309000000002
E1_shift50m,140.0,1511.24285
E1_shift50m,160.0,1510.9564
E1_shift50m,180.0,1510.6716000000001
E1_shift50m,200.0,1510.3885500000001
E1_shift50m,220.0,1510.1073000000001
E1_shift50m,240.0,1509.8278500000001
E1_shift50m,260.0,1509.55035
E1_shift50m,280.0,1509.2748000000001
E1_shift50m,300.0,1509.00125
E1_shift50m,320.0,1508.7298
E1_shift50m,340.0,1508.46045
E1_shift50m,360.0,1508.1933
E1_shift50m,380.0,1507.9285
E1_shift50m,400.0,1507.66605
E1_shift50m,420.0,1507.406
E1_shift50m,440.0,1507.14845
E1_shift50m,460.0,1506.8935
E1_shift50m,480.0,1506.6412
E1_shift50m,500.0,1506.39165
E1_shift50m,520.0,1506.1449499999999
E1_shift50m,540.0,1505.9011500000001
E1_shift50m,560.0,1505.66035
E1_shift50m,580.0,1505.42265
E1_shift50m,600.0,1505.18815
E1_shift50m,620.0,1504.95695
E1_shift50m,640.0,1504.7292
E1_shift50m,660.0,1504.50495
E1_shift50m,680.0,1504.2843
E1_shift50m,700.0,1504.0674
E1_shift50m,720.0,1503.85435
E1_shift50m,740.0,1503.64525
E1_shift50m,760.0,1503.44025
E1_shift50m,780.0,1503.2395000000001
E1_shift50m,800.0,1503.0430999999999
E1_shift50m,820.0,1502.85115
E1_shift50m,840.0,1502.66385
E1_shift50m,860.0,1502.48135
E1_shift50m,880.0,1502.30375
E1_shift50m,900.0,1502.13125
E1_shift50m,920.0,1501.964
E1_shift50m,940.0,1501.80215
E1_shift50m,960.0,1501.6458499999999
E1_shift50m,980.0,1501.4953
E1_shift50m,1000.0,1501.3506499999999
E1_shift50m,1020.0,1501.2121
E1_shift50m,1040.0,1501.0799
E1_shift50m,1060.0,1500.9542000000001
E1_shift50m,1080.0,1500.8352
E1_shift50m,1100.0,1500.7231
E1_shift50m,1120.0,1500.6181
E1_shift50m,1140.0,1500.52045
E1_shift50m,1160.0,1500.4304000000002
E1_shift50m,1180.0,1500.3482
E1_shift50m,1200.0,1500.27405
E1_shift50m,1220.0,1500.20815
E1_shift50m,1240.0,1500.15085
E1_shift50m,1260.0,1500.1024
E1_shift50m,1280.0,1500.06305
E1_shift50m,1300.0,1500.0331
E1_shift50m,1320.0,1500.01285
E1_shift50m,1340.0,1500.0026
E1_shift50m,1360.0,1500.00265
E1_shift50m,1380.0,1500.0133500000002
E1_shift50m,1400.0,1500.035
E1_shift50m,1420.0,1500.06795
E1_shift50m,1440.0,1500.1125499999998
E1_shift50m,1460.0,1500.16915
E1_shift50m,1480.0,1500.2382
E1_shift50m,1500.0,1500.32005
E1_shift50m,1520.0,1500.41505
E1_shift50m,1540.0,1500.52365
E1_shift50m,1560.0,1800.0
E1_shift50m,1580.0,1800.0
E1_shift50m,1600.0,1800.0
E1_shift50m,1620.0,1800.0
E1_shift50m,1640.0,1800.0
E1_shift50m,1660.0,1800.0
E1_shift50m,1680.0,1800.0
E1_shift50m,1700.0,1800.0
E1_shift50m,1720.0,1800.0
E1_shift50m,1740.0,1800.0
E1_shift50m,1760.0,1800.0
E1_shift50m,1780.0,1800.0
E1_shift50m,1800.0,1800.0
E1_shift50m,1820.0,1800.0
E1_shift50m,1840.0,1800.0
E1_shift50m,1860.0,1800.0
E1_shift50m,1880.0,1800.0
E1_shift50m,1900.0,1800.0
E1_shift50m,1920.0,1800.0
E1_shift50m,1940.0,1800.0
E1_shift50m,1960.0,1800.0
E1_shift50m,1980.0,1800.0
E1_shift50m,2000.0,1800.0
E1_shift50m,2020.0,1800.0
E1_shift50m,2040.0,1800.0
E1_shift50m,2060.0,1800.0
E1_shift50m,2080.0,1800.0
E1_shift50m,2100.0,1800.0
E1_shift50m,2120.0,1800.0
E1_shift50m,2140.0,1800.0
E1_shift50m,2160.0,1800.0
E1_shift50m,2180.0,1800.0
E1_shift50m,2200.0,1800.0
E1_shift50m,2220.0,1800.0
E1_shift50m,2240.0,1800.0
E1_shift50m,2260.0,1800.0
E1_shift50m,2280.0,1800.0
E1_shift50m,2300.0,1800.0
E1_shift50m,2320.0,1800.0
E1_shift50m,2340.0,1800.0
E1_shift50m,2360.0,1800.0
E1_shift50m,2380.0,1800.0
E1_shift50m,2400.0,1800.0
E1_shift50m,2420.0,1800.0
E1_shift50m,2440.0,1800.0
E1_shift50m,2460.0,1800.0
E1_shift50m,2480.0,1800.0
E1_shift50m,2500.0,1800.0
E1_shift50m,2520.0,1800.0
E1_shift50m,2540.0,1800.0
E1_shift50m,2560.0,1800.0
E1_shift50m,2580.0,1800.0
E1_shift50m,2600.0,1800.0
E1_shift50m,2620.0,1800.0
E1_shift50m,2640.0,1800.0
E1_shift50m,2660.0,1800.0
E1_shift50m,2680.0,1800.0
E1_shift50m,2700.0,1800.0
E1_shift50m,2720.0,1800.0
E1_shift50m,2740.0,1800.0
E1_shift50m,2760.0,1800.0
E1_shift50m,2780.0,1800.0
E1_shift50m,2800.0,1800.0
E1_shift50m,2820.0,1800.0
E1_shift50m,2840.0,1800.0
E1_shift50m,2860.0,1800.0
E1_shift50m,2880.0,1800.0
E1_shift50m,2900.0,1800.0
E1_shift50m,2920.0,1800.0
E1_shift50m,2940.0,1800.0
E1_shift50m,2960.0,1800.0
E1_shift50m,2980.0,1800.0
E1_shift50m,3000.0,1800.0
E1_shift50m,3020.0,1800.0
E1_shift50m,3040.0,1800.0
E1_shift50m,3060.0,1800.0
E1_shift50m,3080.0,1800.0
E1_shift50m,3100.0,1800.0
E1_shift50m,3120.0,1800.0
E1_shift50m,3140.0,1800.0
E1_shift50m,3160.0,1800.0
E1_shift50m,3180.0,1800.0
E1_shift50m,3200.0,1800.0
E1_shift50m,3220.0,1800.0
E1_shift50m,3240.0,1800.0
E1_shift50m,3260.0,1800.0
E1_shift50m,3280.0,1800.0
E1_shift50m,3300.0,1800.0
E1_shift50m,3320.0,1800.0
E1_shift50m,3340.0,1800.0
E1_shift50m,3360.0,1800.0
E1_shift50m,3380.0,1800.0
E1_shift50m,3400.0,1800.0
E1_shift50m,3420.0,1800.0
E1_shift50m,3440.0,1800.0
E1_shift50m,3460.0,1800.0
E1_shift50m,3480.0,1800.0
E1_shift50m,3500.0,1800.0
E1_shift50m,3520.0,1800.0
E1_shift50m,3540.0,1800.0
E1_shift50m,3560.0,1800.0
E1_shift50m,3580.0,1800.0
E1_shift50m,3600.0,1800.0
E1_shift50m,3620.0,1800.0
E1_shift50m,3640.0,1800.0
E1_shift50m,3660.0,1800.0
E1_shift50m,3680.0,1800.0
E1_shift50m,3700.0,1800.0
E1_shift50m,3720.0,1800.0
E1_shift50m,3740.0,1800.0
E1_shift50m,3760.0,1800.0
E1_shift50m,3780.0,1800.0
E1_shift50m,3800.0,1800.0
E1_shift50m,3820.0,1800.0
E1_shift50m,3840.0,1800.0
E1_shift50m,3860.0,1800.0
E1_shift50m,3880.0,1800.0
E1_shift50m,3900.0,1800.0
E1_shift50m,3920.0,1800.0
E1_shift50m,3940.0,1800.0
E1_shift50m,3960.0,1800.0
E1_shift50m,3980.0,1800.0
E1_shift50m,4000.0,1800.0
E1_shift50m,4020.0,1800.0
E1_shift50m,4040.0,1800.0
E1_shift50m,4060.0,1800.0
E1_shift50m,4080.0,1800.0
E1_shift50m,4100.0,1800.0
E1_shift50m,4120.0,1800.0
E1_shift50m,4140.0,1800.0
E1_shift50m,4160.0,1800.0
E1_shift50m,4180.0,1800.0
E1_shift50m,4200.0,1800.0
E1_shift50m,4220.0,1800.0
E1_shift50m,4240.0,1800.0
E1_shift50m,4260.0,1800.0
E1_shift50m,4280.0,1800.0
E1_shift50m,4300.0,1800.0
E1_shift50m,4320.0,1800.0
E1_shift50m,4340.0,1800.0
E1_shift50m,4360.0,1800.0
E1_shift50m,4380.0,1800.0
E1_shift50m,4400.0,1800.0
E1_shift50m,4420.0,1800.0
E1_shift50m,4440.0,1800.0
E1_shift50m,4460.0,1800.0
E1_shift50m,4480.0,1800.0
E1_shift50m,4500.0,1800.0
E1_shift50m,4520.0,1800.0
E1_shift50m,4540.0,1800.0
E1_shift50m,4560.0,1800.0
E1_shift50m,4580.0,1800.0
E1_shift50m,4600.0,1800.0
E1_shift50m,4620.0,1800.0
E1_shift50m,4640.0,1800.0
E1_shift50m,4660.0,1800.0
E1_shift50m,4680.0,1800.0
E1_shift50m,4700.0,1800.0
E1_shift50m,4720.0,1800.0
E1_shift50m,4740.0,1800.0
E1_shift50m,4760.0,1800.0
E1_shift50m,4780.0,1800.0
E1_shift50m,4800.0,1800.0
E1_shift50m,4820.0,1800.0
E1_shift50m,4840.0,1800.0
E1_shift50m,4860.0,1800.0
E1_shift50m,4880.0,1800.0
E1_shift50m,4900.0,1800.0
E1_shift50m,4920.0,1800.0
E1_shift50m,4940.0,1800.0
E1_shift50m,4960.0,1800.0
E1_shift50m,4980.0,1800.0
E1_shift50m,5000.0,1800.0
E1_shift50m,1500.0,1500.32005
E2_shift150m_plus2,0.0,1514.5511
E2_shift150m_plus2,20.0,1514.5511
E2_shift150m_plus2,40.0,1514.5511
E2_shift150m_plus2,60.0,1514.5511
E2_shift150m_plus2,80.0,1514.5511
E2_shift150m_plus2,100.0,1514.5511
E2_shift150m_plus2,120.0,1514.5511
E2_shift150m_plus2,140.0,1514.5511
E2_shift150m_plus2,160.0,1514.4044
E2_shift150m_plus2,180.0,1514.11175
E2_shift150m_plus2,200.0,1513.82055
E2_shift150m_plus2,220.0,1513.5309000000002
E2_shift150m_plus2,240.0,1513.24285
E2_shift150m_plus2,260.0,1512.9564
E2_shift150m_plus2,280.0,1512.6716000000001
E2_shift150m_plus2,300.0,1512.3885500000001
E2_shift150m_plus2,320.0,1512.1073000000001
E2_shift150m_plus2,340.0,1511.8278500000001
E2_shift150m_plus2,360.0,1511.55035
E2_shift150m_plus2,380.0,1511.2748000000001
E2_shift150m_plus2,400.0,1511.00125
E2_shift150m_plus2,420.0,1510.7298
E2_shift150m_plus2,440.0,1510.46045
E2_shift150m_plus2,460.0,1510.1933
E2_shift150m_plus2,480.0,1509.9285
E2_shift150m_plus2,500.0,1509.66605
E2_shift150m_plus2,520.0,1509.406
E2_shift150m_plus2,540.0,1509.14845
E2_shift150m_plus2,560.0,1508.8935
E2_shift150m_plus2,580.0,1508.6412
E2_shift150m_plus2,600.0,1508.39165
E2_shift150m_plus2,620.0,1508.1449499999999
E2_shift150m_plus2,640.0,1507.9011500000001
E2_shift150m_plus2,660.0,1507.66035
E2_shift150m_plus2,680.0,1507.42265
E2_shift150m_plus2,700.0,1507.18815
E2_shift150m_plus2,720.0,1506.95695
E2_shift150m_plus2,740.0,1506.7292
E2_shift150m_plus2,760.0,1506.50495
E2_shift150m_plus2,780.0,1506.2843
E2_shift150m_plus2,800.0,1506.0674
E2_shift150m_plus2,820.0,1505.85435
E2_shift150m_plus2,840.0,1505.64525
E2_shift150m_plus2,860.0,1505.44025
E2_shift150m_plus2,880.0,1505.2395000000001
E2_shift150m_plus2,900.0,1505.0430999999999
E2_shift150m_plus2,920.0,1504.85115
E2_shift150m_plus2,940.0,1504.66385
E2_shift150m_plus2,960.0,1504.48135
E2_shift150m_plus2,980.0,1504.30375
E2_shift150m_plus2,1000.0,1504.13125
E2_shift150m_plus2,1020.0,1503.964
E2_shift150m_plus2,1040.0,1503.80215
E2_shift150m_plus2,1060.0,1503.6458499999999
E2_shift150m_plus2,1080.0,1503.4953
E2_shift150m_plus2,1100.0,1503.3506499999999
E2_shift150m_plus2,1120.0,1503.2121
E2_shift150m_plus2,1140.0,1503.0799
E2_shift150m_plus2,1160.0,1502.9542000000001
E2_shift150m_plus2,1180.0,1502.8352
E2_shift150m_plus2,1200.0,1502.7231
E2_shift150m_plus2,1220.0,1502.6181
E2_shift150m_plus2,1240.0,1502.52045
E2_shift150m_plus2,1260.0,1502.4304000000002
E2_shift150m_plus2,1280.0,1502.3482
E2_shift150m_plus2,1300.0,1502.27405
E2_shift150m_plus2,1320.0,1502.20815
E2_shift150m_plus2,1340.0,1502.15085
E2_shift150m_plus2,1360.0,1502.1024
E2_shift150m_plus2,1380.0,1502.06305
E2_shift150m_plus2,1400.0,1502.0331
E2_shift150m_plus2,1420.0,1502.01285
E2_shift150m_plus2,1440.0,1502.0026
E2_shift150m_plus2,1460.0,1502.00265
E2_shift150m_plus2,1480.0,1502.0133500000002
E2_shift150m_plus2,1500.0,1502.035
E2_shift150m_plus2,1520.0,1502.06795
E2_shift150m_plus2,1540.0,1502.1125499999998
E2_shift150m_plus2,1560.0,1502.16915
E2_shift150m_plus2,1580.0,1502.2382
E2_shift150m_plus2,1600.0,1502.32005
E2_shift150m_plus2,1620.0,1502.41505
E2_shift150m_plus2,1640.0,1502.52365
E2_shift150m_plus2,1660.0,1802.0
E2_shift150m_plus2,1680.0,1802.0
E2_shift150m_plus2,1700.0,1802.0
E2_shift150m_plus2,1720.0,1802.0
E2_shift150m_plus2,1740.0,1802.0
E2_shift150m_plus2,1760.0,1802.0
E2_shift150m_plus2,1780.0,1802.0
E2_shift150m_plus2,1800.0,1802.0
E2_shift150m_plus2,1820.0,1802.0
E2_shift150m_plus2,1840.0,1802.0
E2_shift150m_plus2,1860.0,1802.0
E2_shift150m_plus2,1880.0,1802.0
E2_shift150m_plus2,1900.0,1802.0
E2_shift150m_plus2,1920.0,1802.0
E2_shift150m_plus2,1940.0,1802.0
E2_shift150m_plus2,1960.0,1802.0
E2_shift150m_plus2,1980.0,1802.0
E2_shift150m_plus2,2000.0,1802.0
E2_shift150m_plus2,2020.0,1802.0
E2_shift150m_plus2,2040.0,1802.0
E2_shift150m_plus2,2060.0,1802.0
E2_shift150m_plus2,2080.0,1802.0
E2_shift150m_plus2,2100.0,1802.0
E2_shift150m_plus2,2120.0,1802.0
E2_shift150m_plus2,2140.0,1802.0
E2_shift150m_plus2,2160.0,1802.0
E2_shift150m_plus2,2180.0,1802.0
E2_shift150m_plus2,2200.0,1802.0
E2_shift150m_plus2,2220.0,1802.0
E2_shift150m_plus2,2240.0,1802.0
E2_shift150m_plus2,2260.0,1802.0
E2_shift150m_plus2,2280.0,1802.0
E2_shift150m_plus2,2300.0,1802.0
E2_shift150m_plus2,2320.0,1802.0
E2_shift150m_plus2,2340.0,1802.0
E2_shift150m_plus2,2360.0,1802.0
E2_shift150m_plus2,2380.0,1802.0
E2_shift150m_plus2,2400.0,1802.0
E2_shift150m_plus2,2420.0,1802.0
E2_shift150m_plus2,2440.0,1802.0
E2_shift150m_plus2,2460.0,1802.0
E2_shift150m_plus2,2480.0,1802.0
E2_shift150m_plus2,2500.0,1802.0
E2_shift150m_plus2,2520.0,1802.0
E2_shift150m_plus2,2540.0,1802.0
E2_shift150m_plus2,2560.0,1802.0
E2_shift150m_plus2,2580.0,1802.0
E2_shift150m_plus2,2600.0,1802.0
E2_shift150m_plus2,2620.0,1802.0
E2_shift150m_plus2,2640.0,1802.0
E2_shift150m_plus2,2660.0,1802.0
E2_shift150m_plus2,2680.0,1802.0
E2_shift150m_plus2,2700.0,1802.0
E2_shift150m_plus2,2720.0,1802.0
E2_shift150m_plus2,2740.0,1802.0
E2_shift150m_plus2,2760.0,1802.0
E2_shift150m_plus2,2780.0,1802.0
E2_shift150m_plus2,2800.0,1802.0
E2_shift150m_plus2,2820.0,1802.0
E2_shift150m_plus2,2840.0,1802.0
E2_shift150m_plus2,2860.0,1802.0
E2_shift150m_plus2,2880.0,1802.0
E2_shift150m_plus2,2900.0,1802.0
E2_shift150m_plus2,2920.0,1802.0
E2_shift150m_plus2,2940.0,1802.0
E2_shift150m_plus2,2960.0,1802.0
E2_shift150m_plus2,2980.0,1802.0
E2_shift150m_plus2,3000.0,1802.0
E2_shift150m_plus2,3020.0,1802.0
E2_shift150m_plus2,3040.0,1802.0
E2_shift150m_plus2,3060.0,1802.0
E2_shift150m_plus2,3080.0,1802.0
E2_shift150m_plus2,3100.0,1802.0
E2_shift150m_plus2,3120.0,1802.0
E2_shift150m_plus2,3140.0,1802.0
E2_shift150m_plus2,3160.0,1802.0
E2_shift150m_plus2,3180.0,1802.0
E2_shift150m_plus2,3200.0,1802.0
E2_shift150m_plus2,3220.0,1802.0
E2_shift150m_plus2,3240.0,1802.0
E2_shift150m_plus2,3260.0,1802.0
E2_shift150m_plus2,3280.0,1802.0
E2_shift150m_plus2,3300.0,1802.0
E2_shift150m_plus2,3320.0,1802.0
E2_shift150m_plus2,3340.0,1802.0
E2_shift150m_plus2,3360.0,1802.0
E2_shift150m_plus2,3380.0,1802.0
E2_shift150m_plus2,3400.0,1802.0
E2_shift150m_plus2,3420.0,1802.0
E2_shift150m_plus2,3440.0,1802.0
E2_shift150m_plus2,3460.0,1802.0
E2_shift150m_plus2,3480.0,1802.0
E2_shift150m_plus2,3500.0,1802.0
E2_shift150m_plus2,3520.0,1802.0
E2_shift150m_plus2,3540.0,1802.0
E2_shift150m_plus2,3560.0,1802.0
E2_shift150m_plus2,3580.0,1802.0
E2_shift150m_plus2,3600.0,1802.0
E2_shift150m_plus2,3620.0,1802.0
E2_shift150m_plus2,3640.0,1802.0
E2_shift150m_plus2,3660.0,1802.0
E2_shift150m_plus2,3680.0,1802.0
E2_shift150m_plus2,3700.0,1802.0
E2_shift150m_plus2,3720.0,1802.0
E2_shift150m_plus2,3740.0,1802.0
E2_shift150m_plus2,3760.0,1802.0
E2_shift150m_plus2,3780.0,1802.0
E2_shift150m_plus2,3800.0,1802.0
E2_shift150m_plus2,3820.0,1802.0
E2_shift150m_plus2,3840.0,1802.0
E2_shift150m_plus2,3860.0,1802.0
E2_shift150m_plus2,3880.0,1802.0
E2_shift150m_plus2,3900.0,1802.0
E2_shift150m_plus2,3920.0,1802.0
E2_shift150m_plus2,3940.0,1802.0
E2_shift150m_plus2,3960.0,1802.0
E2_shift150m_plus2,3980.0,1802.0
E2_shift150m_plus2,4000.0,1802.0
E2_shift150m_plus2,4020.0,1802.0
E2_shift150m_plus2,4040.0,1802.0
E2_shift150m_plus2,4060.0,1802.0
E2_shift150m_plus2,4080.0,1802.0
E2_shift150m_plus2,4100.0,1802.0
E2_shift150m_plus2,4120.0,1802.0
E2_shift150m_plus2,4140.0,1802.0
E2_shift150m_plus2,4160.0,1802.0
E2_shift150m_plus2,4180.0,1802.0
E2_shift150m_plus2,4200.0,1802.0
E2_shift150m_plus2,4220.0,1802.0
E2_shift150m_plus2,4240.0,1802.0
E2_shift150m_plus2,4260.0,1802.0
E2_shift150m_plus2,4280.0,1802.0
E2_shift150m_plus2,4300.0,1802.0
E2_shift150m_plus2,4320.0,1802.0
E2_shift150m_plus2,4340.0,1802.0
E2_shift150m_plus2,4360.0,1802.0
