pair_id,mechanism,source,snr_db,ref_r0_km,ref_v,ref_psi_deg,alt_r0_km,alt_v,alt_psi_deg,delta_r_km,delta_v,delta_psi_deg,rc2_bearing_rmse_deg,T_s,turn_deg,layer,available,reject_rate_wrong,retain_rate_true,mean_margin,mean_c_ref,mean_c_alt
A03,A,S0,-10.0,50.0,,,60.0,,,10.0,0.2000000000000001,0.0,0.0,300.0,0.0,RC2+CZ+Doppler,True,0.0,0.5,2.648181870366917e-05,0.9688969446133228,0.9689234264320266
A04,A,S0,noiseless,50.0,2.0,0.0,60.0,2.2,0.0,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2,True,0.0,1.0,0.0,0.0,0.0
A04,A,S0,noiseless,50.0,2.0,0.0,60.0,2.2,0.0,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2+CZ,True,1.0,1.0,8.00772966929437e-05,1.9524266245406375e-21,8.00772966929437e-05
A04,A,S0,noiseless,50.0,2.0,0.0,60.0,2.2,0.0,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2+Doppler,False,,,,,
A04,A,S0,noiseless,50.0,2.0,0.0,60.0,2.2,0.0,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2+CZ+Doppler,True,1.0,1.0,8.00772966929437e-05,1.9524266245406375e-21,8.00772966929437e-05
A04,A,S0,20.0,50.0,,,60.0,,,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2,True,0.0,1.0,0.0,6.897543623668409e-07,6.897543623668409e-07
A04,A,S0,20.0,50.0,,,60.0,,,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2+CZ,True,0.0,1.0,8.38835054183982e-05,0.010342635153466976,0.010426518658885374
A04,A,S0,20.0,50.0,,,60.0,,,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2+Doppler,False,,,,,
A04,A,S0,20.0,50.0,,,60.0,,,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2+CZ+Doppler,True,0.0,1.0,8.38835054183982e-05,0.010342635153466976,0.010426518658885374
A04,A,S0,10.0,50.0,,,60.0,,,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2,True,0.0,1.0,0.0,7.757763259897527e-07,7.757763259897527e-07
A04,A,S0,10.0,50.0,,,60.0,,,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2+CZ,True,0.0,1.0,0.0002084583122900028,0.09561319698978715,0.09582165530207716
A04,A,S0,10.0,50.0,,,60.0,,,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2+Doppler,False,,,,,
A04,A,S0,10.0,50.0,,,60.0,,,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2+CZ+Doppler,True,0.0,1.0,0.0002084583122900028,0.09561319698978715,0.09582165530207716
A04,A,S0,0.0,50.0,,,60.0,,,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2,True,0.0,1.0,0.0,3.0941194014799633e-06,3.0941194014799633e-06
A04,A,S0,0.0,50.0,,,60.0,,,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2+CZ,True,0.0,0.5,-4.120780414685471e-05,0.4923123895024698,0.49227118169832296
A04,A,S0,0.0,50.0,,,60.0,,,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2+Doppler,False,,,,,
A04,A,S0,0.0,50.0,,,60.0,,,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2+CZ+Doppler,True,0.0,0.5,-4.120780414685471e-05,0.4923123895024698,0.49227118169832296
A04,A,S0,-10.0,50.0,,,60.0,,,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2,True,0.0,1.0,0.0,1.169837047382377e-05,1.169837047382377e-05
A04,A,S0,-10.0,50.0,,,60.0,,,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2+CZ,True,0.0,0.75,5.087949606949471e-05,0.9177573095710191,0.9178081890670886
A04,A,S0,-10.0,50.0,,,60.0,,,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2+Doppler,False,,,,,
A04,A,S0,-10.0,50.0,,,60.0,,,10.0,0.1999999999999997,0.0,0.0,1200.0,0.0,RC2+CZ+Doppler,True,0.0,0.75,5.087949606949471e-05,0.9177573095710191,0.9178081890670886
A05,A,S0,noiseless,50.0,2.0,0.0,57.0,2.0,0.0,7.0,2.220446049250313e-16,0.0,0.0,300.0,0.0,RC2,True,0.0,1.0,0.0,0.0,0.0
A05,A,S0,noiseless,50.0,2.0,0.0,57.0,2.0,0.0,7.0,2.220446049250313e-16,0.0,0.0,300.0,0.0,RC2+CZ,True,0.0,1.0,3.3130258265634246e-19,2.9745562843117456e-20,3.610481454994599e-19
