span,zs,shading,k_hat,ar_peak_level_NOT_amplitude,g_re,g_im,g_abs,g_phase,matched_mode_id,k_model,abs_k_err,theory_contrib_r0,note
sufficient_4990m,50.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.43258466,3.6478381335409146e-13,-1.0062802648042194e-05,0.0001664827655310515,0.0001667866038265679,1.631166388931243,9,1.4351578950881958,0.0025732517,6.49926464371526e-05,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,50.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.3973031,1.752442831587225e-13,0.013852353143256273,0.014772216012035488,0.020251075366797676,0.8175225393730123,13,1.4000681638717651,0.0027650595,0.00039390903778339014,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
sufficient_4990m,50.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.37137882,1.0848286455452201e-13,-0.00317658090264946,0.008710800115021932,0.009271931021903872,1.9204813071334987,15,1.375969648361206,0.004590869,0.0003818097638057096,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,4.0,CURRENT_DATA_SHADING,1.44332252,8.883311007289664e-08,68.40011760170546,-26.73762863493361,73.440294613698,-0.3726373053860446,8,1.44283926486969,0.00048327446,6.96524028119169e-05,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,4.0,CURRENT_DATA_SHADING,1.43105068,3.2685401570574134e-07,-75.95661023989767,3.2154764718957094,76.02464026930376,3.0992848449867383,10,1.4275851249694824,0.0034655333,0.0003168018846118247,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,4.0,CURRENT_DATA_SHADING,1.41755165,1.5795263376904586e-07,52.03158162876047,27.774854718143917,58.98074297094235,0.49032650731963295,11,1.4195870161056519,0.0020353794,0.0002194117086859582,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,4.0,CURRENT_DATA_SHADING,1.39331475,3.7294296183962093e-07,87.73736052185791,-10.780111260089217,88.39714492064986,-0.12225521575240805,14,1.3885791301727295,0.004735589,0.0007022655079464326,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,4.0,CURRENT_DATA_SHADING,1.37613416,2.394840627219793e-07,-119.01967561746345,-182.04335958720293,217.49820218540174,-2.1498372137601462,15,1.375969648361206,0.00016450882,0.0006506568227358199,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,4.0,CURRENT_DATA_SHADING,1.35220406,2.6362873774295877e-08,0.008613790514734801,-5.042726558400716,5.042733915267289,-1.5690881671242947,17,1.3477357625961304,0.004468322,9.609069874192602e-05,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,4.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.44347592,1.1083215210536064e-14,0.02304341026058973,0.014716396796819997,0.02734174630705409,0.5683463420836085,8,1.44283926486969,0.0006366968,6.96524028119169e-05,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,4.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.43120408,4.160887388381254e-14,-0.01924482633946975,-0.01635764185430654,0.02525739075736268,-2.43711248227698,10,1.4275851249694824,0.0036189556,0.0003168018846118247,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,4.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.41770504,2.1266724960489334e-14,0.00880952362294155,0.024922888322384845,0.0264340323975218,1.2310324639735228,11,1.4195870161056519,0.001881957,0.0002194117086859582,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,4.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.39346815,5.0522896988685984e-14,0.02039675252393612,0.01952438687431934,0.028235247410653017,0.763549417462704,14,1.3885791301727295,0.0048890114,0.0007022655079464326,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,4.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.37628756,3.116455490593946e-14,0.025608688299232945,-0.0759913319970452,0.08019032020819232,-1.2457540260077427,15,1.375969648361206,0.00031793118,0.0006506568227358199,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,4.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.35281766,3.570289567359012e-15,-0.0008352411608428521,0.001245626838840197,0.001499737983250787,2.1614748688254872,17,1.3477357625961304,0.005081892,9.609069874192602e-05,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,50.0,CURRENT_DATA_SHADING,1.48612059,1.5384971320474238e-06,-105.04668772539925,375.6762299437206,390.08644727394056,1.8434528688838656,1,1.486930251121521,0.0008096695,0.0007257784260517969,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,50.0,CURRENT_DATA_SHADING,1.47553612,1.0318551888155912e-06,-20.9864486317372,-60.04125697264954,63.60332982657654,-1.9070557617757349,4,1.4730875492095947,0.0024485588,0.0006645734476758531,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,50.0,CURRENT_DATA_SHADING,1.45881573,3.35193880979151e-07,-11.960382614631618,15.438574216733203,19.529473268215952,2.229923764931354,6,1.4583847522735596,0.00043094158,0.00010566499875587694,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,50.0,CURRENT_DATA_SHADING,1.43151087,3.280372383226178e-07,-14.647676554638158,-16.550225213557304,22.101230351923043,-2.2952866950149162,9,1.4351578950881958,0.0036469698,6.49926464371526e-05,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,50.0,CURRENT_DATA_SHADING,1.39576912,1.8529094781742767e-07,12.851093280566893,-10.540475887118637,16.620837236215298,-0.6869376536210882,13,1.4000681638717651,0.0042990446,0.00039390903778339014,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,50.0,CURRENT_DATA_SHADING,1.37030504,1.2415041669530887e-07,-5.4089404704183455,0.24591074226828769,5.414527597648051,3.0961601840006594,15,1.375969648361206,0.005664587,0.0003818097638057096,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,50.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.48612059,1.3401805735336014e-12,-0.12064120827324747,0.43774454093340776,0.4540645155158339,1.839717746663858,1,1.486930251121521,0.0008096695,0.0007257784260517969,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,50.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.47568952,1.49519414153161e-12,0.021783018326750583,-0.05547945218973798,0.05960259644257936,-1.1966576095905705,4,1.4730875492095947,0.0026019812,0.0006645734476758531,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,50.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.45896913,4.999219215215788e-13,-0.016128005301060212,-0.0023905882859243228,0.01630421624438982,-2.9944382058233567,6,1.4583847522735596,0.00058436394,0.00010566499875587694,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,50.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.43166427,4.916614023682329e-13,0.0062971755934444675,-0.028065760669652114,0.028763541896311452,-1.350079543408028,9,1.4351578950881958,0.0034936666,6.49926464371526e-05,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,50.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.39592252,2.6684663875049407e-13,0.018339063888155635,0.0026359820765967587,0.018527538039415637,0.14275814239569073,13,1.4000681638717651,0.0041456223,0.00039390903778339014,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
insufficient_1990m,50.0,ORACLE_SQRT_R_SPREADING_CONTROL,1.37045844,1.7083822909372512e-13,-0.004890343049752325,-0.0032481027514596026,0.005870743277328716,-2.5553086405860057,15,1.375969648361206,0.0055111647,0.0003818097638057096,AR_PEAK_LEVEL_NOT_MODAL_AMPLITUDE
