scenario_base,turn_deg,T_s,psi_deg,n_obs,fim_min,fim_max,sv_min,sv_max,cond,rank_tol,crlb_r_km,crlb_v,crlb_psi_deg,crlb_theta_deg,geom_sv_min,geom_cond,mean_v_los,mean_v_cross,bearing_span_rad,bearing_span_deg,crlb_r_note
LIN,0.0,600.0,15.0,61,6.569989943604097e-23,20043734.77990465,4.4322019651774415e-20,4477.02298183789,1.0101125844473231e+23,3,,37.61467218324079,281.5741161244295,0.0371758543626435,8.079043111185451e-23,9.671787938888723e+22,-0.0665393412812178,0.5178465009807115,0.0062166609239014,0.3561884336034528,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,900.0,-15.0,91,0.0,29917717.59502761,1.6088446937134128e-19,5469.7090960148535,3.399774457651402e+22,3,,13.83348571345648,102.24006900728276,0.0307579946512221,1.2487464603842118e-22,7.644821097019928e+22,-0.0657338795298088,-0.5179482850538689,0.0093286585288268,0.5344927622204989,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,900.0,-10.0,91,0.0,29898581.18738108,7.005158450341339e-20,5467.959508571828,7.805618598542038e+22,3,,21.02047886044637,102.3080146117502,0.0307645431840934,1.0237141089232625e-22,9.322319186426611e+22,-0.0292983745630872,-0.3473890846320794,0.0062546736881414,0.3583664045620276,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,900.0,-5.0,91,0.0,29887063.21375705,4.400103586878027e-20,5466.906183003055,1.242449427624032e+23,3,,42.36443034705246,102.34897891158997,0.0307684901124327,1.6251204071001912e-22,5.871288821072348e+22,-0.0073371063766165,-0.1743231384522496,0.0031380263209706,0.1797956641925841,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,900.0,-3.0,91,0.0,29884602.545819707,2.3362381038623705e-20,5466.681127139182,2.339950332160676e+23,3,,70.72226380945477,102.35773711198416,0.0307693338545748,3.4437891134116504e-23,2.770540868883006e+23,-0.002642319803811,-0.1046744323787273,0.0018841851547069,0.1079558571859108,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,900.0,0.0,91,0.0,29883217.87968555,0.0,5466.554479714393,inf,2,,0.0,0.9976880425082956,0.0207940783220429,0.0,inf,0.0,0.0,0.0,0.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,900.0,3.0,91,0.0,29884602.545819707,2.335229881099956e-20,5466.681127139181,2.340960592952085e+23,3,,70.72226380945477,102.35773711198416,0.0307693338545748,3.423971731570749e-23,2.786576301009452e+23,-0.002642319803811,0.1046744323787273,0.0018841851547069,0.1079558571859108,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,900.0,5.0,91,0.0,29887063.21375705,4.509683625795763e-20,5466.906183003056,1.2122593593333024e+23,3,,42.36443034705246,102.34897891158997,0.0307684901124327,1.6401353153005825e-22,5.81753907137549e+22,-0.0073371063766165,0.1743231384522496,0.0031380263209706,0.1797956641925841,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,900.0,10.0,91,0.0,29898581.18738108,7.092976210854499e-20,5467.959508571828,7.70897765060049e+22,3,,21.02047886044637,102.3080146117502,0.0307645431840934,9.879296419829856e-23,9.65998920720238e+22,-0.0292983745630872,0.3473890846320794,0.0062546736881414,0.3583664045620276,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,900.0,15.0,91,0.0,29917717.59502761,1.5949937516668111e-19,5469.7090960148535,3.429298133800752e+22,3,,13.83348571345648,102.24006900728276,0.0307579946512221,1.2518875579106322e-22,7.625639559120588e+22,-0.0657338795298088,0.5179482850538689,0.0093286585288268,0.5344927622204989,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,1200.0,-15.0,121,2.1076708495853928e-22,39804769.29683475,1.7396374780471212e-19,6309.102099097361,3.626676349936897e+22,3,,6.784718321949068,49.50088581339893,0.0268142616759887,3.2286915089892447e-22,3.410502495117793e+22,-0.0649277932554464,-0.5180484490910351,0.0124430243128567,0.7129327775053627,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,1200.0,-10.0,121,0.0,39771518.028904825,1.1187899527115316e-19,6306.466366270797,5.636863605171162e+22,3,,10.309364256691742,49.54440757042061,0.0268219144102275,3.3701522049707284e-22,3.2659831237107025e+22,-0.0289360816354752,-0.3474190016343499,0.0083410017202358,0.477904195480873,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,1200.0,-5.0,121,0.0,39751516.66735723,5.3717432782932086e-20,6304.880384857211,1.1737121560396856e+23,3,,20.777141412774284,49.57064459948155,0.0268265260786737,1.1176325234416827e-22,9.845894724081676e+22,-0.0072459246101543,-0.1743268960536263,0.0041842155033256,0.2397378889137686,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,1200.0,-3.0,121,1.985226332543249e-23,39747244.81722019,3.932707255654981e-20,6304.541602465649,1.60310472980162e+23,3,,34.6848406570027,49.57625388561556,0.0268275118470967,5.693825484669375e-23,1.932532162923754e+23,-0.0026094475035769,-0.1046752448503976,0.0025122858785207,0.1439433777695576,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,1200.0,0.0,121,0.0,39744841.146724805,0.0,6304.350969507069,inf,2,,0.0,0.6506799253566669,0.0180696990149303,0.0,inf,0.0,0.0,0.0,0.0,UNDEFINED/UNBOUNDED (FIM rank-deficient)
LIN,0.0,1200.0,3.0,121,1.985226332543249e-23,39747244.81722019,3.942420422905719e-20,6304.541602465649,1.5991550687582312e+23,3,,34.6848406570027,49.57625388561556,0.0268275118470967,5.701092262258319e-23,1.93006890136519e+23,-0.0026094475035769,0.1046752448503976,0.0025122858785207,0.1439433777695576,UNDEFINED/UNBOUNDED (FIM rank-deficient)
