pair_id,mechanism,z_true,prior_halfwidth_m,rho_prior,label
B01,B,180.0,50.0,0.5965113233159933,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B01,B,180.0,25.0,0.5965113233159933,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B01,B,180.0,10.0,0.6564233921462593,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B01,B,200.0,50.0,0.6537959822148013,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B01,B,200.0,25.0,0.6537959822148013,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B01,B,200.0,10.0,0.6537959822148013,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B01,B,220.0,50.0,0.758508046312973,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B01,B,220.0,25.0,0.758508046312973,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B01,B,220.0,10.0,0.9222906218663457,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B02,B,180.0,50.0,0.70207437159113,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B02,B,180.0,25.0,0.70207437159113,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B02,B,180.0,10.0,0.70207437159113,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B02,B,200.0,50.0,0.5353315705501603,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B02,B,200.0,25.0,0.5353315705501603,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B02,B,200.0,10.0,0.7977179154057781,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B02,B,220.0,50.0,0.6885455104295366,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B02,B,220.0,25.0,0.9620247451120292,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B02,B,220.0,10.0,0.9620247451120292,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B03,B,180.0,50.0,0.5384190102932039,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B03,B,180.0,25.0,0.5384190102932039,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B03,B,180.0,10.0,0.5384190102932039,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B03,B,200.0,50.0,0.6135360926050849,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B03,B,200.0,25.0,0.6135360926050849,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B03,B,200.0,10.0,0.6135360926050849,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B03,B,220.0,50.0,0.6991458537723636,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B03,B,220.0,25.0,0.7651239975218518,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B03,B,220.0,10.0,0.7651239975218518,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B04,B,180.0,50.0,0.6017035664002082,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B04,B,180.0,25.0,0.6414082594071773,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B04,B,180.0,10.0,0.6414082594071773,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B04,B,200.0,50.0,0.7106738426644145,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B04,B,200.0,25.0,0.7106738426644145,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B04,B,200.0,10.0,0.7106738426644145,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B04,B,220.0,50.0,0.9534171448383396,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B04,B,220.0,25.0,0.9534171448383396,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B04,B,220.0,10.0,0.9534171448383396,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B05,B,180.0,50.0,0.6040859715895647,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B05,B,180.0,25.0,0.6040859715895647,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B05,B,180.0,10.0,0.6804048020750353,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B05,B,200.0,50.0,0.6540560118029254,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B05,B,200.0,25.0,0.6540560118029254,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B05,B,200.0,10.0,0.6540560118029254,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B05,B,220.0,50.0,0.7758550670999125,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B05,B,220.0,25.0,0.7758550670999125,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B05,B,220.0,10.0,0.928906747191676,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B06,B,180.0,50.0,0.856515908012595,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B06,B,180.0,25.0,0.856515908012595,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B06,B,180.0,10.0,1.0,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B06,B,200.0,50.0,0.6569737953558068,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B06,B,200.0,25.0,0.6569737953558068,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B06,B,200.0,10.0,0.6569737953558068,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B06,B,220.0,50.0,0.7741289927443284,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B06,B,220.0,25.0,0.7741289927443284,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B06,B,220.0,10.0,1.0,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B07,B,180.0,50.0,0.7577928021850229,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B07,B,180.0,25.0,0.7577928021850229,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B07,B,180.0,10.0,0.8775436858076451,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B07,B,200.0,50.0,0.8023823885859798,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B07,B,200.0,25.0,0.919536040031605,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B07,B,200.0,10.0,0.963352591361391,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B07,B,220.0,50.0,0.928741272533907,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B07,B,220.0,25.0,0.9706353007474938,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B07,B,220.0,10.0,0.9834543402813066,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B08,B,180.0,50.0,0.5399806428854294,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B08,B,180.0,25.0,0.5399806428854294,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B08,B,180.0,10.0,0.5399806428854294,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B08,B,200.0,50.0,0.610541629498558,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B08,B,200.0,25.0,0.610541629498558,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B08,B,200.0,10.0,0.610541629498558,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B08,B,220.0,50.0,0.710984630575127,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B08,B,220.0,25.0,0.7651895947735027,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B08,B,220.0,10.0,0.7651895947735027,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B09,B,180.0,50.0,0.7378056986381748,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B09,B,180.0,25.0,0.7378056986381748,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B09,B,180.0,10.0,0.8405759286271093,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B09,B,200.0,50.0,0.7405773813015333,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B09,B,200.0,25.0,0.7405773813015333,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B09,B,200.0,10.0,0.7405773813015333,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B09,B,220.0,50.0,0.8911957091081925,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B09,B,220.0,25.0,0.8911957091081925,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B09,B,220.0,10.0,1.0,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B10,B,180.0,50.0,0.4871604465671245,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B10,B,180.0,25.0,0.4871604465671245,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B10,B,180.0,10.0,0.6339659610445523,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B10,B,200.0,50.0,0.6899596022303972,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B10,B,200.0,25.0,0.6899596022303972,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B10,B,200.0,10.0,0.6899596022303972,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B10,B,220.0,50.0,0.8813501744286788,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B10,B,220.0,25.0,0.8813501744286788,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
B10,B,220.0,10.0,0.9461796335987387,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
C01,C,180.0,50.0,0.44164105747315807,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
C01,C,180.0,25.0,0.44164105747315807,ORACLE_DEPTH_PRIOR_WIDTH_CONTROL
