r_km,z_m,J
51.0,175.0,9.040096693446742e-08
51.25,175.0,9.266911882299667e-08
51.5,175.0,9.410854473479446e-08
51.75,175.0,9.493194230714153e-08
52.0,175.0,9.503011977329834e-08
52.25,175.0,9.408305845504117e-08
52.5,175.0,9.19073563920847e-08
52.75,175.0,8.868502177072912e-08
53.0,175.0,8.485628888443841e-08
53.25,175.0,8.082746405513319e-08
53.5,175.0,7.678978897196487e-08
53.75,175.0,7.276385527443807e-08
54.0,175.0,6.875635372161071e-08
54.25,175.0,6.485080139562172e-08
54.5,175.0,6.116770567832219e-08
54.75,175.0,5.7776388007191315e-08
55.0,175.0,5.466311003843316e-08
55.25,175.0,5.177557915736486e-08
55.5,175.0,4.908543149717559e-08
55.75,175.0,4.6605311943004324e-08
56.0,175.0,4.4356040618254156e-08
56.25,175.0,4.233019434973784e-08
56.5,175.0,4.049050250642949e-08
56.75,175.0,3.8798481094559634e-08
57.0,175.0,3.723945773970172e-08
57.25,175.0,3.5819334609499265e-08
57.5,175.0,3.4541662419229624e-08
57.75,175.0,3.33920637807239e-08
58.0,175.0,3.23445067396122e-08
58.25,175.0,3.137962933941196e-08
58.5,175.0,3.0494490932397866e-08
58.75,175.0,2.969476764480561e-08
59.0,175.0,2.8980002175771347e-08
59.25,175.0,2.8338019930629343e-08
59.5,175.0,2.7752885767284852e-08
59.75,175.0,2.721643699299392e-08
60.0,175.0,2.6730879953973385e-08
45.0,177.5,1.5888979243428025e-08
45.25,177.5,1.6756939169582097e-08
45.5,177.5,1.772587809867332e-08
45.75,177.5,1.8838907989149334e-08
46.0,177.5,2.011474453667006e-08
46.25,177.5,2.1539628192179805e-08
46.5,177.5,2.3098021939560454e-08
46.75,177.5,2.4812445653665804e-08
47.0,177.5,2.6744484848961747e-08
47.25,177.5,2.8950114749903832e-08
47.5,177.5,3.1438182612752996e-08
47.75,177.5,3.418033633906248e-08
48.0,177.5,3.716922047924953e-08
48.25,177.5,4.046175394734064e-08
48.5,177.5,4.4144728983397385e-08
48.75,177.5,4.824713784046253e-08
49.0,177.5,5.2693557406335856e-08
49.25,177.5,5.736042085757731e-08
49.5,177.5,6.21870490657983e-08
49.75,177.5,6.720153078454416e-08
50.0,177.5,7.238779764495717e-08
50.25,177.5,7.751324460070208e-08
50.5,177.5,8.21231374015241e-08
50.75,177.5,8.577560528522099e-08
51.0,177.5,8.833058329216215e-08
51.25,177.5,8.998415290673023e-08
51.5,177.5,9.09888780986634e-08
51.75,177.5,9.135282941219458e-08
52.0,177.5,9.082219820655268e-08
52.25,177.5,8.915493310279743e-08
52.5,177.5,8.640282089800166e-08
52.75,177.5,8.291981790087277e-08
53.0,177.5,7.912206689830725e-08
53.25,177.5,7.526390166656682e-08
53.5,177.5,7.141080282657697e-08
53.75,177.5,6.756576276245596e-08
54.0,177.5,6.378529293638024e-08
54.25,177.5,6.01795526744553e-08
54.5,177.5,5.6835100625818313e-08
54.75,177.5,5.3763424157082795e-08
55.0,177.5,5.092270372042407e-08
55.25,177.5,4.82767890108704e-08
55.5,177.5,4.58270730252508e-08
55.75,177.5,4.35937199672054e-08
56.0,177.5,4.1578895215721445e-08
56.25,177.5,3.975446172255204e-08
56.5,177.5,3.808231840984888e-08
