r_km,z_m,J
46.5,157.5,2.3357221490272195e-08
46.75,157.5,2.4668790121751272e-08
47.0,157.5,2.623005523894051e-08
47.25,157.5,2.8093795068073746e-08
47.5,157.5,3.019132299719729e-08
47.75,157.5,3.241546309151744e-08
48.0,157.5,3.477113574845703e-08
48.25,157.5,3.742259224726041e-08
48.5,157.5,4.055849300854675e-08
48.75,157.5,4.4223649631192075e-08
49.0,157.5,4.82893044440047e-08
49.25,157.5,5.2615364398711506e-08
49.5,157.5,5.727609753147789e-08
49.75,157.5,6.256969153906056e-08
50.0,157.5,6.874680991142412e-08
50.25,157.5,7.573681459760451e-08
50.5,157.5,8.316045385647897e-08
50.75,157.5,9.06939683353869e-08
51.0,157.5,9.845477155767668e-08
51.25,157.5,1.0686849882812766e-07
51.5,157.5,1.160213556339329e-07
51.75,157.5,1.2513995328866656e-07
52.0,157.5,1.3280659671988104e-07
52.25,157.5,1.3795991904430593e-07
52.5,157.5,1.407940275477415e-07
52.75,157.5,1.4245435286941444e-07
53.0,157.5,1.4380080481934954e-07
53.25,157.5,1.4454523877827086e-07
53.5,157.5,1.43533958718578e-07
53.75,157.5,1.398972435673329e-07
54.0,157.5,1.3394714049042022e-07
54.25,157.5,1.2690425954531293e-07
54.5,157.5,1.198955970060922e-07
54.75,157.5,1.1330885663074497e-07
55.0,157.5,1.0692160956615737e-07
55.25,157.5,1.0047009868507928e-07
55.5,157.5,9.404936585077905e-08
55.75,157.5,8.801444650874402e-08
56.0,157.5,8.262512962708968e-08
56.25,157.5,7.785171463048357e-08
56.5,157.5,7.347666808321662e-08
56.75,157.5,6.933677942910776e-08
57.0,157.5,6.545386022072108e-08
57.25,157.5,6.19498752296721e-08
57.5,157.5,5.8881298392599035e-08
57.75,157.5,5.6171121642911714e-08
58.0,157.5,5.3680838441039214e-08
58.25,157.5,5.1331869421744614e-08
58.5,157.5,4.915036133645856e-08
58.75,157.5,4.720177804173886e-08
59.0,157.5,4.550052079554945e-08
59.25,157.5,4.398599551258542e-08
59.5,157.5,4.257645680461053e-08
59.75,157.5,4.1238860215564443e-08
60.0,157.5,4.000257824987585e-08
45.0,160.0,1.7085503567493276e-08
45.25,160.0,1.7773124305620058e-08
45.5,160.0,1.8623100395132042e-08
45.75,160.0,1.9625363445463506e-08
46.0,160.0,2.0711898640612958e-08
46.25,160.0,2.183801750543779e-08
46.5,160.0,2.3052014963553802e-08
46.75,160.0,2.4462675218828167e-08
47.0,160.0,2.6139272968350724e-08
47.25,160.0,2.8053333100963584e-08
47.5,160.0,3.012011218217481e-08
47.75,160.0,3.2315625619894206e-08
48.0,160.0,3.474734500130694e-08
48.25,160.0,3.757861677389229e-08
48.5,160.0,4.08853925160102e-08
48.75,160.0,4.459714908477963e-08
49.0,160.0,4.8593905566107765e-08
49.25,160.0,5.28909004371414e-08
49.5,160.0,5.769933497656865e-08
49.75,160.0,6.32491363727894e-08
50.0,160.0,6.954725484398239e-08
50.25,160.0,7.632694365433679e-08
50.5,160.0,8.328824230297016e-08
50.75,160.0,9.043026327759662e-08
51.0,160.0,9.80455998611518e-08
51.25,160.0,1.0625888335891176e-07
51.5,160.0,1.1455124759862656e-07
51.75,160.0,1.2180819952689603e-07
52.0,160.0,1.270336249525883e-07
52.25,160.0,1.301499432670994e-07
52.5,160.0,1.319632629837031e-07
52.75,160.0,1.3325827630250586e-07
53.0,160.0,1.3398581988344205e-07
53.25,160.0,1.3331066794908253e-07
53.5,160.0,1.3044964830566386e-07
53.75,160.0,1.2548565375691823e-07
54.0,160.0,1.193294114631982e-07
54.25,160.0,1.1297431734558216e-07
54.5,160.0,1.068839831086521e-07
54.75,160.0,1.009816599228941e-07
55.0,160.0,9.506568843242746e-08
55.25,160.0,8.917422023024812e-08
55.5,160.0,8.357588621166201e-08
55.75,160.0,7.850649363927431e-08
56.0,160.0,7.398355039711646e-08
56.25,160.0,6.985252265501174e-08
56.5,160.0,6.597123136664607e-08
56.75,160.0,6.233366178776123e-08
