f_hz,r_km,beta_eff,L_detrend
193.5483870967742,54.25,0.40850556746273115,-0.8331726767893839
193.5483870967742,54.5,0.20923201400941155,-0.8558747830169207
193.5483870967742,54.75,-1.1949563401175873,-0.866089421661199
193.5483870967742,55.0,1.6222799777106367,-0.8639620160027879
193.5483870967742,55.25,1.0832412117697559,-0.8501426169595367
193.5483870967742,55.5,0.9658497236944521,-0.8257066580187655
193.5483870967742,55.75,0.9294350451172814,-0.7920635101194682
193.5483870967742,56.0,0.9247516212224673,-0.7508376019472212
193.5483870967742,56.25,0.9365002199859006,-0.7037210787900603
193.5483870967742,56.5,0.9576752494533637,-0.6523309843279406
193.5483870967742,56.75,0.9843532534431744,-0.5981152865641965
193.5483870967742,57.0,1.0143196935335346,-0.5423237608093536
193.5483870967742,57.25,1.0464494983788868,-0.4860188239589951
193.5483870967742,57.5,1.0801639761339388,-0.43008972046116667
193.5483870967742,57.75,1.1150372910021116,-0.3752557483704342
193.5483870967742,58.0,1.1507400051048686,-0.3220707178065705
193.5483870967742,58.25,1.1872558732306988,-0.27094462865123514
193.5483870967742,58.5,1.225055477251764,-0.22217980745646515
193.5483870967742,58.75,1.2649848687223315,-0.17600288045123502
193.5483870967742,59.0,1.307960352978641,-0.13257940716129935
193.5483870967742,59.25,1.3547885440563643,-0.09201575964443831
193.5483870967742,59.5,1.406327429330766,-0.05436297763267939
193.5483870967742,59.75,1.4638779781486804,-0.019630755302716685
193.5483870967742,60.0,1.460226354175128,0.012194237339341885
200.80645161290323,45.0,1.6166672202105066,0.6573310834114379
200.80645161290323,45.25,1.5932993757050908,0.6938114722087985
200.80645161290323,45.5,1.6920867863152378,0.7253361050706282
200.80645161290323,45.75,1.8024411213655196,0.7523417220409394
200.80645161290323,46.0,1.93903869009346,0.775253449323908
200.80645161290323,46.25,2.150587949970471,0.7941777389470834
200.80645161290323,46.5,2.531735008033857,0.8089478016719287
200.80645161290323,46.75,3.290124218846874,0.8194514990247077
200.80645161290323,47.0,5.210940096767393,0.8258719203150071
200.80645161290323,47.25,,0.8285727608735387
200.80645161290323,47.5,-6.196386650744133,0.8277881273145224
200.80645161290323,47.75,-1.929425025637095,0.8234744066428243
200.80645161290323,48.0,-0.8139519027472315,0.8154612833261989
200.80645161290323,48.25,-0.31359781799218905,0.803715745993069
200.80645161290323,48.5,-0.028297113283098932,0.7884191145404322
200.80645161290323,48.75,0.16018904982001472,0.7697890966297547
200.80645161290323,49.0,0.2940904894546056,0.7478777156746378
200.80645161290323,49.25,0.3919552161740593,0.7225690256462433
200.80645161290323,49.5,0.4661341179088816,0.6937598731216742
200.80645161290323,49.75,0.5258458321924576,0.6615092703622079
200.80645161290323,50.0,0.5759498598721677,0.6259863327861488
200.80645161290323,50.25,0.6174791681839209,0.587292871030376
200.80645161290323,50.5,0.6504753737410026,0.5453719840539928
200.80645161290323,50.75,0.6764063868877068,0.5000967500581487
200.80645161290323,51.0,0.6979311554475193,0.45143309779744734
200.80645161290323,51.25,0.7169058532926119,0.399494744359721
200.80645161290323,51.5,0.7332582704683424,0.344439565100515
200.80645161290323,51.75,0.7458307625823978,0.2863400728877201
200.80645161290323,52.0,0.7540345341814363,0.22517328976102857
200.80645161290323,52.25,0.7585104361051824,0.16093317402161578
200.80645161290323,52.5,0.7602709995061333,0.09373994462806268
200.80645161290323,52.75,0.7595259532414445,0.023835600543381297
200.80645161290323,53.0,0.7555187485965426,-0.04850480221835096
200.80645161290323,53.25,0.7473620906517574,-0.1230248431362635
200.80645161290323,53.5,0.7348391163429107,-0.19943470358051663
200.80645161290323,53.75,0.7183546789633327,-0.2773058821385259
200.80645161290323,54.0,0.698252689774888,-0.3560159761316437
200.80645161290323,54.25,0.674361112100056,-0.4347815668822519
200.80645161290323,54.5,0.6461976609639674,-0.5127147524963291
200.80645161290323,54.75,0.613447824758705,-0.5888242500130993
