r_km,z_m,J_amp,J_coh
45.5,160.0,0.11174106372072024,0.9362015239091321
45.75,160.0,0.1056528353421714,0.9293163903631977
46.0,160.0,0.09948830983893642,0.883375459203154
46.25,160.0,0.09328681475418366,0.9522424721712374
46.5,160.0,0.08710425219124884,0.9646447485325416
46.75,160.0,0.08099529024193308,0.9181776830474758
47.0,160.0,0.07500027018398836,0.9455390993973685
47.25,160.0,0.06914191552183424,0.508492166338331
47.5,160.0,0.06343085910554458,0.8993925260414676
47.75,160.0,0.057877198824153764,0.9171260535709532
48.0,160.0,0.052502124110948456,0.5379308930308115
48.25,160.0,0.047341320098080786,0.958620055814307
48.5,160.0,0.042437651680294786,0.9155398707648241
48.75,160.0,0.037829783411522766,0.8678632705490696
49.0,160.0,0.0335444751074222,0.9187302982596487
49.25,160.0,0.029595205968082516,0.9410701695665664
49.5,160.0,0.025986273510453906,0.8714935064017733
49.75,160.0,0.02272012668214174,0.9308922739884248
50.0,160.0,0.019804043085095202,0.042707178962339
50.25,160.0,0.01725193560409166,0.948593779267467
50.5,160.0,0.015080702299357984,0.8942789979476186
50.75,160.0,0.013304730845766888,0.9022551076634385
51.0,160.0,0.011932219797891608,0.9057324511315414
51.25,160.0,0.010964502969181167,0.8204993445808885
51.5,160.0,0.010397900709592123,0.8503785515423123
51.75,160.0,0.010226888989007588,0.9546153854724243
52.0,160.0,0.010446749595523164,0.585907195264636
52.25,160.0,0.011054068355536795,0.9118868307516621
52.5,160.0,0.012045124720250877,0.890689165482165
52.75,160.0,0.013413751957218834,0.5363821745985335
53.0,160.0,0.015150135368878215,0.9091311464894264
53.25,160.0,0.017241072511628874,0.8664774584370663
53.5,160.0,0.019671510076879728,0.827371147417774
53.75,160.0,0.02242658488476379,0.9570756385122102
54.0,160.0,0.025492869827426823,0.7497023429753682
54.25,160.0,0.028857841705773546,0.8620916382471584
54.5,160.0,0.03250793452596368,0.898612691498537
54.75,160.0,0.0364265794915839,0.31700949141510537
55.0,160.0,0.04059347572707406,0.9257354244992021
55.25,160.0,0.04498560841573307,0.9450532081425327
55.5,160.0,0.04957977554310533,0.8550552830873803
55.75,160.0,0.054355468019794295,0.9295060741211197
56.0,160.0,0.059296277657442165,0.7201935287599711
56.25,160.0,0.06438870638190464,0.8047472475048998
56.5,160.0,0.06961915221122794,0.9170176732178358
56.75,160.0,0.07497106247177521,0.9092319853260193
57.0,160.0,0.08042388087490293,0.9354803689168889
57.25,160.0,0.08595436051064431,0.9546471478946611
57.5,160.0,0.09153972686029377,0.7912692261366886
57.75,160.0,0.09716104639260492,0.9005239962354972
58.0,160.0,0.1028046344478677,0.8501923103501647
58.25,160.0,0.10846047947789383,0.7434576722100132
58.5,160.0,0.11411883057510175,0.9385808995015745
58.75,160.0,0.11976721050442451,0.8266561999855998
59.0,160.0,0.12538952734410913,0.9015432544349654
59.25,160.0,0.13096770051897122,0.9127310512982022
59.5,160.0,0.13648497205283572,0.7766926684775294
59.75,160.0,0.1419289892032054,0.8817167046041561
60.0,160.0,0.14729256900288978,0.9061992724028932
45.0,162.5,0.1187440931178203,0.9779837088701473
45.25,162.5,0.11282569839978773,0.21612390615052846
