f_hz,L_m,kind,z_i,z_j,D_abs
235.0,600.0,ORACLE_CLUSTER_ENERGY,190,200,0.0
235.0,600.0,OBSERVED_CLUSTER_ENERGY,190,200,0.0
235.0,600.0,ORACLE_CLUSTER_ENERGY,200,210,0.0
235.0,600.0,OBSERVED_CLUSTER_ENERGY,200,210,0.0
235.0,600.0,ORACLE_CLUSTER_ENERGY,210,220,0.0
235.0,600.0,OBSERVED_CLUSTER_ENERGY,210,220,0.0
235.0,600.0,ORACLE_CLUSTER_ENERGY,180,200,0.0
235.0,600.0,OBSERVED_CLUSTER_ENERGY,180,200,0.0
235.0,600.0,ORACLE_CLUSTER_ENERGY,200,220,0.0
235.0,600.0,OBSERVED_CLUSTER_ENERGY,200,220,0.0
235.0,1200.0,ORACLE_CLUSTER_ENERGY,180,190,0.000854396038948213
235.0,1200.0,OBSERVED_CLUSTER_ENERGY,180,190,0.0
235.0,1200.0,ORACLE_CLUSTER_ENERGY,190,200,4.109651340500342e-05
235.0,1200.0,OBSERVED_CLUSTER_ENERGY,190,200,0.0
235.0,1200.0,ORACLE_CLUSTER_ENERGY,200,210,9.298315739925123e-06
235.0,1200.0,OBSERVED_CLUSTER_ENERGY,200,210,0.0
235.0,1200.0,ORACLE_CLUSTER_ENERGY,210,220,0.0007498273315961201
235.0,1200.0,OBSERVED_CLUSTER_ENERGY,210,220,0.0
235.0,1200.0,ORACLE_CLUSTER_ENERGY,180,200,0.001163962263510454
235.0,1200.0,OBSERVED_CLUSTER_ENERGY,180,200,0.0
235.0,1200.0,ORACLE_CLUSTER_ENERGY,200,220,0.0008582895145203828
235.0,1200.0,OBSERVED_CLUSTER_ENERGY,200,220,0.0
235.0,2400.0,ORACLE_CLUSTER_ENERGY,180,190,0.0045078059146688165
235.0,2400.0,OBSERVED_CLUSTER_ENERGY,180,190,0.0
235.0,2400.0,ORACLE_CLUSTER_ENERGY,190,200,0.0005635975773466972
235.0,2400.0,OBSERVED_CLUSTER_ENERGY,190,200,0.0
235.0,2400.0,ORACLE_CLUSTER_ENERGY,200,210,0.00047955486360129473
235.0,2400.0,OBSERVED_CLUSTER_ENERGY,200,210,0.0
235.0,2400.0,ORACLE_CLUSTER_ENERGY,210,220,0.003918976360417714
235.0,2400.0,OBSERVED_CLUSTER_ENERGY,210,220,0.0
235.0,2400.0,ORACLE_CLUSTER_ENERGY,180,200,0.006927407898071114
235.0,2400.0,OBSERVED_CLUSTER_ENERGY,180,200,0.0
235.0,2400.0,ORACLE_CLUSTER_ENERGY,200,220,0.006097847823710478
235.0,2400.0,OBSERVED_CLUSTER_ENERGY,200,220,0.0
283.0,600.0,ORACLE_CLUSTER_ENERGY,180,190,0.0
283.0,600.0,OBSERVED_CLUSTER_ENERGY,180,190,0.0
283.0,600.0,ORACLE_CLUSTER_ENERGY,190,200,0.0
283.0,600.0,OBSERVED_CLUSTER_ENERGY,190,200,0.0
283.0,600.0,ORACLE_CLUSTER_ENERGY,200,210,0.0
283.0,600.0,OBSERVED_CLUSTER_ENERGY,200,210,0.0
283.0,600.0,ORACLE_CLUSTER_ENERGY,210,220,0.0
283.0,600.0,OBSERVED_CLUSTER_ENERGY,210,220,0.0
283.0,600.0,ORACLE_CLUSTER_ENERGY,180,200,0.0
283.0,600.0,OBSERVED_CLUSTER_ENERGY,180,200,0.0
283.0,600.0,ORACLE_CLUSTER_ENERGY,200,220,0.0
283.0,600.0,OBSERVED_CLUSTER_ENERGY,200,220,0.0
283.0,1200.0,ORACLE_CLUSTER_ENERGY,180,190,0.00037091840245029317
283.0,1200.0,OBSERVED_CLUSTER_ENERGY,180,190,0.0
283.0,1200.0,ORACLE_CLUSTER_ENERGY,190,200,9.823386565033232e-05
283.0,1200.0,OBSERVED_CLUSTER_ENERGY,190,200,0.0
283.0,1200.0,ORACLE_CLUSTER_ENERGY,200,210,0.00014179961233407035
283.0,1200.0,OBSERVED_CLUSTER_ENERGY,200,210,0.0
283.0,1200.0,ORACLE_CLUSTER_ENERGY,210,220,0.00019120260765770336
283.0,1200.0,OBSERVED_CLUSTER_ENERGY,210,220,0.0
283.0,1200.0,ORACLE_CLUSTER_ENERGY,180,200,0.0008508393001293024
283.0,1200.0,OBSERVED_CLUSTER_ENERGY,180,200,0.0
283.0,1200.0,ORACLE_CLUSTER_ENERGY,200,220,0.0006622648982855805
283.0,1200.0,OBSERVED_CLUSTER_ENERGY,200,220,0.0
283.0,2400.0,ORACLE_CLUSTER_ENERGY,180,190,0.0021573242374141044
283.0,2400.0,OBSERVED_CLUSTER_ENERGY,180,190,0.0
283.0,2400.0,ORACLE_CLUSTER_ENERGY,190,200,0.0004266103073333749
283.0,2400.0,OBSERVED_CLUSTER_ENERGY,190,200,0.0
283.0,2400.0,ORACLE_CLUSTER_ENERGY,200,210,0.00046151653407178195
283.0,2400.0,OBSERVED_CLUSTER_ENERGY,200,210,0.0
283.0,2400.0,ORACLE_CLUSTER_ENERGY,210,220,0.0019072495064472728
283.0,2400.0,OBSERVED_CLUSTER_ENERGY,210,220,0.0
283.0,2400.0,ORACLE_CLUSTER_ENERGY,180,200,0.0033598111429679056
283.0,2400.0,OBSERVED_CLUSTER_ENERGY,180,200,0.0
283.0,2400.0,ORACLE_CLUSTER_ENERGY,200,220,0.0031376601561081685
283.0,2400.0,OBSERVED_CLUSTER_ENERGY,200,220,0.0
338.0,600.0,ORACLE_CLUSTER_ENERGY,180,190,0.0
338.0,600.0,OBSERVED_CLUSTER_ENERGY,180,190,0.0
338.0,600.0,ORACLE_CLUSTER_ENERGY,190,200,0.0
338.0,600.0,OBSERVED_CLUSTER_ENERGY,190,200,0.0
338.0,600.0,ORACLE_CLUSTER_ENERGY,200,210,0.0
338.0,600.0,OBSERVED_CLUSTER_ENERGY,200,210,0.0
338.0,600.0,ORACLE_CLUSTER_ENERGY,210,220,0.0
338.0,600.0,OBSERVED_CLUSTER_ENERGY,210,220,0.0
338.0,600.0,ORACLE_CLUSTER_ENERGY,180,200,0.0
338.0,600.0,OBSERVED_CLUSTER_ENERGY,180,200,0.0
338.0,600.0,ORACLE_CLUSTER_ENERGY,200,220,0.0
338.0,600.0,OBSERVED_CLUSTER_ENERGY,200,220,0.0
338.0,1200.0,ORACLE_CLUSTER_ENERGY,180,190,0.0
338.0,1200.0,OBSERVED_CLUSTER_ENERGY,180,190,0.0
338.0,1200.0,ORACLE_CLUSTER_ENERGY,190,200,0.0
338.0,1200.0,OBSERVED_CLUSTER_ENERGY,190,200,0.0
338.0,1200.0,ORACLE_CLUSTER_ENERGY,200,210,0.0
338.0,1200.0,OBSERVED_CLUSTER_ENERGY,200,210,0.0
338.0,1200.0,ORACLE_CLUSTER_ENERGY,210,220,0.0
338.0,1200.0,OBSERVED_CLUSTER_ENERGY,210,220,0.0
338.0,1200.0,ORACLE_CLUSTER_ENERGY,180,200,0.0
338.0,1200.0,OBSERVED_CLUSTER_ENERGY,180,200,0.0
338.0,1200.0,ORACLE_CLUSTER_ENERGY,200,220,0.0
338.0,1200.0,OBSERVED_CLUSTER_ENERGY,200,220,0.0
338.0,2400.0,ORACLE_CLUSTER_ENERGY,180,190,0.0016405503857940262
338.0,2400.0,OBSERVED_CLUSTER_ENERGY,180,190,0.0
338.0,2400.0,ORACLE_CLUSTER_ENERGY,190,200,0.0006565318864958369
338.0,2400.0,OBSERVED_CLUSTER_ENERGY,190,200,0.0
338.0,2400.0,ORACLE_CLUSTER_ENERGY,200,210,0.0004889498109359458
338.0,2400.0,OBSERVED_CLUSTER_ENERGY,200,210,0.0
338.0,2400.0,ORACLE_CLUSTER_ENERGY,210,220,0.001894879304508934
338.0,2400.0,OBSERVED_CLUSTER_ENERGY,210,220,0.0
338.0,2400.0,ORACLE_CLUSTER_ENERGY,180,200,0.003136887196220739
338.0,2400.0,OBSERVED_CLUSTER_ENERGY,180,200,0.0
338.0,2400.0,ORACLE_CLUSTER_ENERGY,200,220,0.003387780418744324
338.0,2400.0,OBSERVED_CLUSTER_ENERGY,200,220,0.0
