f_hz,L_m,kind,z_i,z_j,n_modes,D_abs
283.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,180,190,0,
283.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,190,200,0,
283.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,200,210,0,
283.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,210,220,0,
283.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,180,200,0,
283.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,200,220,0,
283.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,180,190,0,
283.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,190,200,0,
283.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,200,210,0,
283.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,210,220,0,
283.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,180,200,0,
283.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,200,220,0,
283.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,180,190,0,
283.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,190,200,0,
283.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,200,210,0,
283.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,210,220,0,
283.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,180,200,0,
283.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,200,220,0,
338.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,180,190,0,
338.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,190,200,0,
338.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,200,210,0,
338.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,210,220,0,
338.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,180,200,0,
338.0,600.0,RAYLEIGH_RESOLVABLE_ONLY,200,220,0,
338.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,180,190,0,
338.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,190,200,0,
338.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,200,210,0,
338.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,210,220,0,
338.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,180,200,0,
338.0,1200.0,RAYLEIGH_RESOLVABLE_ONLY,200,220,0,
338.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,180,190,1,0.0
338.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,190,200,1,0.0
338.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,200,210,1,0.0
338.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,210,220,1,0.0
338.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,180,200,1,0.0
338.0,2400.0,RAYLEIGH_RESOLVABLE_ONLY,200,220,1,0.0
