f_hz,z_s_m,mode_id,k_r,adj_delta_k_r,phi_m_zs,phi_m_zr,A_m,A_norm,effective_A0p1,effective_A0p2
201.0,210.0,15,0.8417315847815299,2.818642931534665e-05,-0.006631536082263686,-0.010319468742039678,6.843392931262837e-05,0.15784724415415674,True,False
201.0,210.0,16,0.8417033983522145,2.9922011653082947e-05,-0.021132143979323198,-0.02051591598412307,0.0004335452904441869,1.0,True,True
201.0,210.0,17,0.8416734763405614,3.1657779100968675e-05,-0.003959439370600952,0.0006447029842475529,-2.5526623781736865e-06,0.005887879385238778,False,False
201.0,210.0,18,0.8416418185614605,3.339374242572468e-05,0.019548936129360237,0.021315890413259993,0.00041670298022926177,0.9611521320006281,True,True
201.0,210.0,19,0.8416084248190348,,0.01392274794310016,0.00966208206299779,0.00013452273316866742,0.31028530613455113,True,True
201.0,220.0,0,0.841946204326595,2.1676006776161216e-06,0.0006153163113168505,0.0005237540769531433,3.2227442666796997e-07,0.0007384153719446838,False,False
201.0,220.0,1,0.8419440367259173,3.901695282859663e-06,-0.0017465253496513273,-0.0016514066359001366,2.884223552182008e-06,0.006608513834237054,False,False
201.0,220.0,2,0.8419401350306345,5.635813996263117e-06,-0.004562860256578233,-0.004059042473297842,1.8520843581173735e-05,0.042436118010107514,False,False
201.0,220.0,3,0.8419344992166382,7.369967534254229e-06,0.0013278450821749008,0.0018546379119299637,2.462671830571329e-06,0.005642628099754701,False,False
201.0,220.0,4,0.841927129249104,9.104166613260745e-06,0.009511386590893255,0.009027294303960265,8.586208599473472e-05,0.19673259470590757,True,False
201.0,220.0,5,0.8419180250824907,1.0838421951930854e-05,0.0039739917553168365,0.002317560752389678,9.209967322442464e-06,0.02110245456430952,False,False
201.0,220.0,6,0.8419071866605388,1.2572744270133995e-05,-0.010869949696500989,-0.01151590352583367,0.00012517729203557037,0.28681405972278673,True,True
201.0,220.0,7,0.8418946139162686,1.4307144290071072e-05,-0.011517470422509533,-0.009231745194877662,0.00010632635223014797,0.2436216045477163,True,True
201.0,220.0,8,0.8418803067719786,1.604163273638548e-05,0.006646893767752569,0.009331753797180889,6.202717615668303e-05,0.14212055491329387,True,False
201.0,220.0,9,0.8418642651392422,1.7776220336163107e-05,0.017180169849450033,0.01567286342252771,0.0002692624556262588,0.616951020214983,True,True
201.0,220.0,10,0.841846488918906,1.9510917819820506e-05,0.001993902430641221,-0.002690870162928867,-5.365332558403807e-06,0.012293386346793327,False,False
201.0,220.0,11,0.8418269780010862,2.1245735921215925e-05,-0.017828396093145307,-0.01872714370885239,0.0003338749357346747,0.7649951856326739,True,True
201.0,220.0,12,0.841805732265165,2.2980685377760324e-05,-0.011818023907677926,-0.00635142407769848,7.506128159804186e-05,0.1719851144967421,True,False
201.0,220.0,13,0.8417827515797872,2.4715776930861466e-05,0.012569990406958461,0.01688437389983999,0.00021223641794848849,0.486289387339763,True,True
201.0,220.0,14,0.8417580358028564,2.645102132647903e-05,0.019153306742358857,0.014963020199708665,0.00028659131567713173,0.6566559908269576,True,True
201.0,220.0,15,0.8417315847815299,2.818642931534665e-05,-0.002812160252591121,-0.010319468742039678,2.9019999824220477e-05,0.06649244305727649,False,False
201.0,220.0,16,0.8417033983522145,2.9922011653082947e-05,-0.021273267616950597,-0.02051591598412307,0.0004364405711371244,1.0,True,True
201.0,220.0,17,0.8416734763405614,3.1657779100968675e-05,-0.008448029975030706,0.0006447029842475529,-5.446470135915076e-06,0.012479293851450534,False,False
201.0,220.0,18,0.8416418185614605,3.339374242572468e-05,0.0172444063014164,0.021315890413259993,0.00036757987496272205,0.8422220555825293,True,True
201.0,220.0,19,0.8416084248190348,,0.017723317729474095,0.00966208206299779,0.00017124415033076235,0.3923653336915818,True,True
235.0,180.0,0,0.9843651183178075,1.8539894379721034e-06,0.00044508104085142934,0.0005237540769531433,2.3311300972048462e-07,0.0005276606574026051,False,False
235.0,180.0,1,0.9843632643283695,3.3371897878442525e-06,-0.001552317215414195,-0.0016514066359001366,2.5635069505570234e-06,0.0058026009119310105,False,False
235.0,180.0,2,0.9843599271385817,4.820405222982771e-06,-0.003586654228233287,-0.004059042473297842,1.4558381849432203e-05,0.032953481861010485,False,False
235.0,180.0,3,0.9843551067333587,6.303642448246549e-06,0.0022834549616843826,0.0018546379119299637,4.234982142124438e-06,0.00958605212073373,False,False
235.0,180.0,4,0.9843488030909104,7.786908169049589e-06,0.008439458148023016,0.009027294303960265,7.618547246815922e-05,0.1724488759133567,True,False
235.0,180.0,5,0.9843410161827414,9.270209091583048e-06,0.0007701283235729386,0.002317560752389678,1.7848191770163012e-06,0.004040009870828072,False,False
235.0,180.0,6,0.9843317459736498,1.0753551922704219e-05,-0.01176271460268643,-0.01151590352583367,0.00013545828656645186,0.30661527053332693,True,True
235.0,180.0,7,0.9843209924217271,1.2236943370380615e-05,-0.006760883547094082,-0.009231745194877662,6.241475419901324e-05,0.14127830219241214,True,False
235.0,180.0,8,0.9843087554783567,1.3720390143467931e-05,0.01139394689246636,0.009331753797180889,0.00010632550717865034,0.24067205465633854,True,True
235.0,180.0,9,0.9842950350882133,1.5203898952043104e-05,0.013324984570439284,0.01567286342252771,0.00020884066327978395,0.47271922665637234,True,True
235.0,180.0,10,0.9842798311892612,1.668747650795943e-05,-0.0069422697244711,-0.002690870162928867,1.8680746464583692e-05,0.04228461968764774,False,False
