f_hz,L_m,kind,z_i,z_j,n_modes,D_abs
283.0,2400.0,ACTUALLY_RECOVERED_ONLY,180,200,3,0.9674767300917727
283.0,2400.0,ACTUALLY_RECOVERED_ONLY,200,220,3,0.8933255679685356
338.0,600.0,ACTUALLY_RECOVERED_ONLY,180,190,1,1.4876988529977098e-14
338.0,600.0,ACTUALLY_RECOVERED_ONLY,190,200,1,1.1657341758564144e-14
338.0,600.0,ACTUALLY_RECOVERED_ONLY,200,210,1,9.880984919163893e-15
338.0,600.0,ACTUALLY_RECOVERED_ONLY,210,220,1,1.2545520178264269e-14
338.0,600.0,ACTUALLY_RECOVERED_ONLY,180,200,1,6.994405055138486e-15
338.0,600.0,ACTUALLY_RECOVERED_ONLY,200,220,1,6.439293542825908e-15
338.0,1200.0,ACTUALLY_RECOVERED_ONLY,180,190,1,1.4876988529977098e-14
338.0,1200.0,ACTUALLY_RECOVERED_ONLY,190,200,1,1.1657341758564144e-14
338.0,1200.0,ACTUALLY_RECOVERED_ONLY,200,210,1,9.880984919163893e-15
338.0,1200.0,ACTUALLY_RECOVERED_ONLY,210,220,1,1.2545520178264269e-14
338.0,1200.0,ACTUALLY_RECOVERED_ONLY,180,200,1,6.994405055138486e-15
338.0,1200.0,ACTUALLY_RECOVERED_ONLY,200,220,1,6.439293542825908e-15
338.0,2400.0,ACTUALLY_RECOVERED_ONLY,180,190,5,0.12279731076727707
338.0,2400.0,ACTUALLY_RECOVERED_ONLY,190,200,5,0.12179902565281497
338.0,2400.0,ACTUALLY_RECOVERED_ONLY,200,210,5,0.3740807418190475
338.0,2400.0,ACTUALLY_RECOVERED_ONLY,210,220,5,0.29166468956904956
338.0,2400.0,ACTUALLY_RECOVERED_ONLY,180,200,5,0.44599201901192964
338.0,2400.0,ACTUALLY_RECOVERED_ONLY,200,220,5,0.9050185117612674
