f_hz,L_m,kind,z_i,z_j,D_abs
283.0,2400.0,OBSERVED_CLUSTER_COHERENT,200,210,0.0
283.0,2400.0,ORACLE_MODE,210,220,0.3116044943491222
283.0,2400.0,ORACLE_CLUSTER_COHERENT,210,220,0.2418447005606783
283.0,2400.0,OBSERVED_CLUSTER_COHERENT,210,220,0.0
283.0,2400.0,ORACLE_MODE,180,200,0.4262951730839355
283.0,2400.0,ORACLE_CLUSTER_COHERENT,180,200,0.02215640754264081
283.0,2400.0,OBSERVED_CLUSTER_COHERENT,180,200,0.0
283.0,2400.0,ORACLE_MODE,200,220,0.46074038348081825
283.0,2400.0,ORACLE_CLUSTER_COHERENT,200,220,0.013500351330909877
283.0,2400.0,OBSERVED_CLUSTER_COHERENT,200,220,0.0
338.0,600.0,ORACLE_MODE,180,190,0.29565636278044605
338.0,600.0,ORACLE_CLUSTER_COHERENT,180,190,0.0
338.0,600.0,OBSERVED_CLUSTER_COHERENT,180,190,0.0
338.0,600.0,ORACLE_MODE,190,200,0.2813579670513525
338.0,600.0,ORACLE_CLUSTER_COHERENT,190,200,0.0
338.0,600.0,OBSERVED_CLUSTER_COHERENT,190,200,0.0
338.0,600.0,ORACLE_MODE,200,210,0.2894185324079326
338.0,600.0,ORACLE_CLUSTER_COHERENT,200,210,0.0
338.0,600.0,OBSERVED_CLUSTER_COHERENT,200,210,0.0
338.0,600.0,ORACLE_MODE,210,220,0.32786712290345976
338.0,600.0,ORACLE_CLUSTER_COHERENT,210,220,0.0
338.0,600.0,OBSERVED_CLUSTER_COHERENT,210,220,0.0
338.0,600.0,ORACLE_MODE,180,200,0.4397315073809981
338.0,600.0,ORACLE_CLUSTER_COHERENT,180,200,0.0
338.0,600.0,OBSERVED_CLUSTER_COHERENT,180,200,0.0
338.0,600.0,ORACLE_MODE,200,220,0.49012941168830504
338.0,600.0,ORACLE_CLUSTER_COHERENT,200,220,0.0
338.0,600.0,OBSERVED_CLUSTER_COHERENT,200,220,0.0
338.0,1200.0,ORACLE_MODE,180,190,0.29565636278044605
338.0,1200.0,ORACLE_CLUSTER_COHERENT,180,190,0.0
338.0,1200.0,OBSERVED_CLUSTER_COHERENT,180,190,0.0
338.0,1200.0,ORACLE_MODE,190,200,0.2813579670513525
338.0,1200.0,ORACLE_CLUSTER_COHERENT,190,200,0.0
338.0,1200.0,OBSERVED_CLUSTER_COHERENT,190,200,0.0
338.0,1200.0,ORACLE_MODE,200,210,0.2894185324079326
338.0,1200.0,ORACLE_CLUSTER_COHERENT,200,210,0.0
338.0,1200.0,OBSERVED_CLUSTER_COHERENT,200,210,0.0
338.0,1200.0,ORACLE_MODE,210,220,0.32786712290345976
338.0,1200.0,ORACLE_CLUSTER_COHERENT,210,220,0.0
338.0,1200.0,OBSERVED_CLUSTER_COHERENT,210,220,0.0
338.0,1200.0,ORACLE_MODE,180,200,0.4397315073809981
338.0,1200.0,ORACLE_CLUSTER_COHERENT,180,200,0.0
338.0,1200.0,OBSERVED_CLUSTER_COHERENT,180,200,0.0
338.0,1200.0,ORACLE_MODE,200,220,0.49012941168830504
338.0,1200.0,ORACLE_CLUSTER_COHERENT,200,220,0.0
338.0,1200.0,OBSERVED_CLUSTER_COHERENT,200,220,0.0
338.0,2400.0,ORACLE_MODE,180,190,0.29565636278044605
338.0,2400.0,ORACLE_CLUSTER_COHERENT,180,190,0.0652950517935611
338.0,2400.0,OBSERVED_CLUSTER_COHERENT,180,190,0.0
338.0,2400.0,ORACLE_MODE,190,200,0.2813579670513525
338.0,2400.0,ORACLE_CLUSTER_COHERENT,190,200,0.14826592118539728
338.0,2400.0,OBSERVED_CLUSTER_COHERENT,190,200,0.0
338.0,2400.0,ORACLE_MODE,200,210,0.2894185324079326
338.0,2400.0,ORACLE_CLUSTER_COHERENT,200,210,0.14681588468896345
338.0,2400.0,OBSERVED_CLUSTER_COHERENT,200,210,0.0
338.0,2400.0,ORACLE_MODE,210,220,0.32786712290345976
338.0,2400.0,ORACLE_CLUSTER_COHERENT,210,220,0.06742001310175183
338.0,2400.0,OBSERVED_CLUSTER_COHERENT,210,220,0.0
338.0,2400.0,ORACLE_MODE,180,200,0.4397315073809981
338.0,2400.0,ORACLE_CLUSTER_COHERENT,180,200,0.02351852837270796
338.0,2400.0,OBSERVED_CLUSTER_COHERENT,180,200,0.0
338.0,2400.0,ORACLE_MODE,200,220,0.49012941168830504
338.0,2400.0,ORACLE_CLUSTER_COHERENT,200,220,0.025454120501299582
338.0,2400.0,OBSERVED_CLUSTER_COHERENT,200,220,0.0
