mode_index,true_k_r,A_signed,A_norm,recovered,peak_k,delta_k,merged_with_modes,status,f_hz,L_m,dr_name
17.0,0.8330439477356839,0.0006137308557690708,0.0006137308557690708,False,,,0,MISSED,201.0,1200.0,lam/4
18.0,0.832885679668682,0.0009620052847748809,0.0009620052847748809,False,,,0,MISSED,201.0,1200.0,lam/4
19.0,0.8327257964179359,0.0010621750068470263,0.0010621750068470263,False,,,0,MISSED,201.0,1200.0,lam/4
20.0,0.8325643337629997,0.0008743925134989418,0.0008743925134989418,False,,,0,MISSED,201.0,1200.0,lam/4
21.0,0.8324013245373121,0.00051233909399639,0.00051233909399639,False,,,0,MISSED,201.0,1200.0,lam/4
22.0,0.8315640663954357,0.0006905365081768331,0.0006905365081768331,False,,,0,MISSED,201.0,1200.0,lam/4
23.0,0.8313923436934003,0.0009246630212983642,0.0009246630212983642,False,,,0,MISSED,201.0,1200.0,lam/4
24.0,0.8312192474035012,0.0009655253812407367,0.0009655253812407367,False,,,0,MISSED,201.0,1200.0,lam/4
25.0,0.8310447965394029,0.000803727229591109,0.000803727229591109,False,,,0,MISSED,201.0,1200.0,lam/4
26.0,0.8308690090959748,0.0005139397100038138,0.0005139397100038138,False,,,0,MISSED,201.0,1200.0,lam/4
27.0,0.8297871165756169,0.0007034009186419728,0.0007034009186419728,False,,,0,MISSED,201.0,1200.0,lam/4
28.0,0.8296024081133314,0.0008732708947562284,0.0008732708947562284,False,,,0,MISSED,201.0,1200.0,lam/4
29.0,0.8294164793699095,0.0008911257491054487,0.0008911257491054487,False,,,0,MISSED,201.0,1200.0,lam/4
30.0,0.8292293422383448,0.0007553720370627716,0.0007553720370627716,False,,,0,MISSED,201.0,1200.0,lam/4
31.0,0.8290410081560634,0.0005170545986294354,0.0005170545986294354,False,,,0,MISSED,201.0,1200.0,lam/4
32.0,0.827886457647601,0.0004997515086646896,0.0004997515086646896,False,,,0,MISSED,201.0,1200.0,lam/4
33.0,0.8276900324284511,0.0007106201028968697,0.0007106201028968697,False,,,0,MISSED,201.0,1200.0,lam/4
34.0,0.8274924883808046,0.0008310945987397805,0.0008310945987397805,False,,,0,MISSED,201.0,1200.0,lam/4
35.0,0.8272938338946435,0.000826899059713171,0.000826899059713171,False,,,0,MISSED,201.0,1200.0,lam/4
36.0,0.8270940771065636,0.0007022457958856329,0.0007022457958856329,False,,,0,MISSED,201.0,1200.0,lam/4
37.0,0.8268932259122842,0.0004965229277211598,0.0004965229277211598,False,,,0,MISSED,201.0,1200.0,lam/4
38.0,0.8254572418506371,0.0005672208347945025,0.0005672208347945025,False,,,0,MISSED,201.0,1200.0,lam/4
39.0,0.8252478942382505,0.0007257738850984313,0.0007257738850984313,False,,,0,MISSED,201.0,1200.0,lam/4
