f_hz,mode_id,class,k_r,k2,kr_max_allowed,phi_180,phi_190,phi_200,phi_210,phi_220,A_norm_zs200,effective_0p1,effective_0p2,residual,n_z
235.0,1283,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.34057906241625985,0.11599409775633862,0.9843656981248018,-0.007120136175652403,0.0016154595303562566,0.004089483785515498,-0.009348999841031252,0.01355732256857275,0.006351839366796906,False,False,6.622043371745139e-15,4001
235.0,1284,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.3395738562965748,0.11531040388012687,0.9843656981248018,0.005826879616313653,-0.0001455393927331892,-0.005571127890233204,0.010657031990197739,-0.01450895545802405,0.011788234913443874,False,False,6.658859111185679e-15,4001
235.0,1285,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.3385667740302974,0.11462746047728246,0.9843656981248018,0.004497973422474271,0.0013216360978312183,-0.007002870431427374,0.011864574141092495,-0.015313074995360642,0.018625790228403098,False,False,6.377631173074138e-15,4001
235.0,1286,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.33755780555663767,0.1139452720922128,0.9843656981248018,0.003142507208954989,0.0027751336240783974,-0.008373139230441496,0.012961151994123033,-0.015962414780271144,0.026628036956959058,False,False,6.169427718590542e-15,4001
235.0,1287,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.3365469409345767,0.11326384345242146,0.9843656981248018,0.0017696790302501168,0.004204206361408744,-0.00967096021007966,0.01393738402215337,-0.016451312601534367,0.03552235239292534,False,False,4.7561981276266865e-15,4001
235.0,1288,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.33553417055084206,0.11258317960724157,0.9843656981248018,0.0003887327749210938,0.0055983718519341304,-0.010886041333032647,0.01478505494055452,-0.016775749734076507,0.04500932327821349,False,False,5.90506963481154e-15,4001
235.0,1289,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.33451948550940686,0.11190328618547826,0.9843656981248018,-0.0009911031636682251,0.0069474858947435915,-0.012008848731361557,0.015497176601068734,-0.016933372543001896,0.054772841778073476,False,False,6.230994879912499e-15,4001
235.0,1290,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.3335028783440144,0.11122416986374246,0.9843656981248018,-0.0023606748397857506,0.008241811186065017,-0.013030673810270389,0.0160680354395676,-0.016923496243248393,0.06449057844494495,False,False,6.211065483864187e-15,4001
235.0,1291,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.3324843442905636,0.11054583919832604,0.9843656981248018,0.0037109577827804103,-0.009472079056595549,0.013943689882140004,-0.016493225618129315,0.016747090950864293,0.07384446625428674,False,False,6.1698568763118775e-15,4001
235.0,1292,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.33146388350336214,0.10986830606713044,0.9843656981248018,0.005033105893791476,-0.010629542136709498,0.01474099664459146,-0.016769667125924245,0.016406750677561647,0.08253083139014858,False,False,5.149063173543084e-15,4001
