cluster_id,n_modes,k_min,k_max,k_center,k_span,k_span_over_dkr,E_C,E_C_norm,f_hz,alpha,grid
15,6,1.1651797025453883,1.1675001997137275,1.1665703471919968,0.002320497168339264,0.8863646274526557,3.683498887372067e-06,0.04382281844919609,283.0,1.0,4001
16,8,1.1687971528140868,1.171086182942891,1.1699493092403497,0.0022890301288041037,0.8743451037250825,5.696394231444162e-06,0.06777036123871925,283.0,1.0,4001
17,9,1.1719219361658433,1.1744025011662653,1.1729077499002143,0.0024805650004220414,0.9475060355470017,7.387471816601848e-06,0.08788921786493671,283.0,1.0,4001
18,12,1.1745461716182932,1.1771079545620715,1.1758621036045005,0.00256178294377829,0.9785290047139726,1.5425910763437184e-05,0.18352303271140494,283.0,1.0,4001
19,7,1.177230292109161,1.1779671926322601,1.177598398569831,0.0007369005230990489,0.2814752659637209,2.8443902509601692e-05,0.33839890109324766,283.0,1.0,4001
0,1,1.3409478468778948,1.3409478468778948,1.3409478468778948,0.0,0.0,3.6034832606718304e-07,0.003819034404883804,338.0,0.5,4001
1,2,1.3458029664883049,1.346102243797789,1.3459526051430468,0.0002992773094840917,0.1143155115831268,7.300781496074235e-07,0.007737495556132614,338.0,0.5,4001
2,2,1.3505321800754628,1.3508235459101505,1.3506778629928067,0.0002913658346876957,0.11129355081274273,7.590701032998337e-07,0.008044757337599778,338.0,0.5,4001
3,3,1.3548502696899414,1.3554174956214755,1.3551339665453288,0.0005672259315341321,0.21666434604854912,1.1442870454576076e-06,0.01212735367293114,338.0,0.5,4001
4,2,1.359331451943219,1.3596072084566078,1.3594693301999135,0.0002757565133888473,0.10533122926949154,8.197025476280167e-07,0.008687350556968199,338.0,0.5,4001
5,3,1.3634139166278338,1.3639494710621265,1.3636817803796213,0.000535554434292651,0.2045667252299018,1.2254613846571507e-06,0.01298765347667982,338.0,0.5,4001
6,4,1.3671189569602589,1.3678995022319695,1.3675094939310866,0.0007805452717106753,0.29814633191942524,1.6269069900229775e-06,0.017242244014990415,338.0,0.5,4001
7,3,1.3709738063959576,1.3714786822350273,1.3712263342759379,0.0005048758390697738,0.19284836504549466,1.3394579561406852e-06,0.014195809022414884,338.0,0.5,4001
8,3,1.3744622841935403,1.3749518753140881,1.3747071718099315,0.0004895911205478054,0.1870100326297998,1.401359990354863e-06,0.01485185757681323,338.0,0.5,4001
9,4,1.3776048461953403,1.378316581955505,1.3779609973621505,0.0007117357601647001,0.2718630345731513,1.8418313599297146e-06,0.019520049970355873,338.0,0.5,4001
10,4,1.3806519122157923,1.381341245732123,1.3809968703204851,0.0006893335163307146,0.26330600775108237,1.9058578688413963e-06,0.020198614078109557,338.0,0.5,4001
11,4,1.3836008009430605,1.3842670480041683,1.3839342253612519,0.0006662470611078497,0.2544876314298296,2.0164122330787593e-06,0.021370288511124207,338.0,0.5,4001
12,4,1.38644834048137,1.3870906860250478,1.3867698255809335,0.0006423455436779246,0.24535792427854242,2.106495553977275e-06,0.02232500725665677,338.0,0.5,4001
13,4,1.3889836103555366,1.389603022919642,1.3892936417403672,0.0006194125641054704,0.2365981713374667,2.215587847364855e-06,0.023481186407818332,338.0,0.5,4001
14,4,1.3912258403383864,1.3918233419488655,1.3915249304672663,0.000597501610479112,0.22822880355148534,2.381241589304565e-06,0.02523681365512667,338.0,0.5,4001
