f_hz,n_z_ref,n_z_other,i_ref,j_new,k_ref,k_new,delta_k,overlap,phi180_ref,phi180_new,phi200_ref,phi200_new,phi220_ref,phi220_new
201.0,4001,8001,4,4,0.8361653086417628,0.8361672582597436,1.9496179808342617e-06,0.9999561899587663,-0.047339191688491086,0.04726098893712354,-0.049537544764115544,0.049583375666002655,-0.039525371956905433,0.03974249816110584
201.0,4001,8001,5,5,0.8360430387428817,0.8360450693035351,2.030560653398794e-06,0.9999520029396483,0.049868460850793855,-0.04988231403261779,0.042781193971524974,-0.04296709754132212,0.022005061022421193,-0.022353561169998783
201.0,4001,8001,6,6,0.8359209464019431,0.8359230596487005,2.1132467573625746e-06,0.9999475456658586,-0.04544479508971258,0.04559523008063087,-0.027557859156999886,0.02788808434481162,0.0010059550990816305,-0.0005954289147435584
201.0,4001,8001,7,7,0.8355551322105673,0.8355575144725087,2.38226194138047e-06,0.9999334605561581,0.010183380578611595,-0.009752692737828944,0.03423086235466017,-0.034009610100822395,0.03663165867401677,-0.03679793096387264
201.0,4001,8001,8,8,0.8354327251213997,0.8354352130619411,2.487940541473499e-06,0.9999293780600983,0.029486966751534678,0.029184362363399836,0.038680001327330155,0.03874067015621528,0.020952189418478637,0.021379325550287535
201.0,4001,8001,9,9,0.8353094268352108,0.8353120351794387,2.6083442279389857e-06,0.9999262296173004,-0.0387636182594537,0.03870515538537409,-0.02855754613759711,0.028897635569844735,0.0032559305842407332,-0.002744690061740245
201.0,4001,8001,10,10,0.8349288902019406,0.8349319593478254,3.0691458847709185e-06,0.9999228654867847,-0.0003506980220189504,0.0008168851633162799,0.030796982970316775,-0.03054378961403873,0.03129708846560292,-0.0315444381000505
201.0,4001,8001,11,11,0.8347973079094249,0.8348005567879151,3.248878490236251e-06,0.9999227887235731,-0.01856461220286859,0.01817721340366234,-0.03610405084433778,0.03611835437115666,-0.015477284250028927,0.01592454238369342
201.0,4001,8001,12,12,0.8346631743569254,0.8346666116192306,3.437262305228117e-06,0.9999226791318611,0.03150919207188845,-0.03129389866798164,0.030179594508642663,-0.030435671256146418,-0.004923207093476141,0.004444915500199093
201.0,4001,8001,13,13,0.8341027084127943,0.8341069671674136,4.2587546192907055e-06,0.9999194748125679,0.008733008277355658,-0.009125961715036391,-0.029261485870829728,0.02903964618360453,-0.02535877922947388,0.025663938421849417
201.0,4001,8001,14,14,0.8339571222464239,0.8339616026758999,4.480429475983705e-06,0.9999178125899555,0.005972900512514378,-0.005584344841261864,0.034190004926514084,-0.034154373537055235,0.011322065671339263,-0.01174142348911111
201.0,4001,8001,15,15,0.8338095342447263,0.8338142431593248,4.708914598583469e-06,0.9999157903443119,0.01902763060659872,0.01870723381192484,0.03213384236340567,0.03228093997752385,-0.004793749089547123,-0.004362264696243809
201.0,4001,8001,16,16,0.8336600205125265,0.8336649649272123,4.944414685792431e-06,0.9999134013453318,-0.028535115679484403,0.028329026710965398,-0.024124128926237658,0.024417167896400572,0.019270139247881866,-0.01892105056241696
201.0,4001,8001,17,17,0.8330439477356839,0.8330499081233386,5.960387654657673e-06,0.999899928297393,-0.020548014201624564,-0.02084305962904949,0.024773591902852336,0.024519994678657193,0.022216331359912078,0.022525484792535567
201.0,4001,8001,18,18,0.832885679668682,0.8328919134081637,6.233739481720235e-06,0.9998954908171993,0.010060936163894035,-0.010410355968375673,-0.031016210032415,0.030896328355655478,-0.010375204636729364,0.010768016290977064
