f_hz,L_m,dr_name,status,recovered_k,pred_k,peak_err
201.0,2400.0,lam/8,OK,0.688746552396961,0.6885615373001882,0.00018501509677282257
201.0,2400.0,lam/8,OK,0.6992217851330366,0.6991746456189045,4.713951413204409e-05
201.0,2400.0,lam/4,OK,0.6049446905083575,0.6047215377098767,0.00022315279848084124
201.0,2400.0,lam/4,OK,0.6180387314284518,0.6181844481182335,0.00014571668978169416
201.0,2400.0,lam/4,OK,0.631132772348546,0.6312728542385899,0.00014008189004388605
201.0,2400.0,lam/4,OK,0.6442268132686404,0.6439955138114563,0.00023129945718414202
201.0,2400.0,lam/4,OK,0.6573208541887348,0.6573742791346356,5.342494590088176e-05
201.0,2400.0,lam/4,OK,0.6677960869248102,0.6678786613921576,8.257446734738494e-05
201.0,2400.0,lam/4,OK,0.6782713196608856,0.6781173116640457,0.00015400799683995547
201.0,2400.0,lam/4,OK,0.688746552396961,0.6885615373001882,0.00018501509677282257
201.0,2400.0,lam/2,OK,0.5604249513800368,0.5601145782365132,0.0003103731435235568
201.0,2400.0,lam/2,OK,0.57613780048415,0.5760276039351852,0.00011019654896482489
201.0,2400.0,lam/2,OK,0.5918506495882632,0.5920428763504515,0.00019222676218833001
201.0,2400.0,lam/2,OK,0.6049446905083575,0.6047215377098767,0.00022315279848084124
201.0,2400.0,lam/2,OK,0.6180387314284518,0.6181844481182335,0.00014571668978169416
201.0,2400.0,lam/2,OK,0.631132772348546,0.6312728542385899,0.00014008189004388605
201.0,2400.0,lam/2,OK,0.6442268132686404,0.6439955138114563,0.00023129945718414202
201.0,2400.0,lam/2,OK,0.6573208541887348,0.6573742791346356,5.342494590088176e-05
235.0,600.0,lam/8,OK,0.3560471674068432,0.35641519302995966,0.0003680256231164414
235.0,600.0,lam/8,OK,0.38746309394274114,0.3877256045938426,0.0002625106511014441
235.0,600.0,lam/8,OK,0.41887902047863906,0.41918666419201916,0.0003076437133801013
235.0,600.0,lam/8,OK,0.4398229715025711,0.43984706165866694,2.409015609583509e-05
235.0,600.0,lam/8,OK,0.471238898038469,0.4712136230322124,2.527500625659762e-05
235.0,600.0,lam/8,OK,0.49218284906240095,0.49181384382928317,0.00036900523311778066
235.0,600.0,lam/8,OK,0.5131268000863328,0.5132864316653276,0.00015963157899478997
235.0,600.0,lam/8,OK,0.5340707511102649,0.5340742112779947,3.4601677297851907e-06
235.0,600.0,lam/4,OK,0.3560471674068432,0.35641519302995966,0.0003680256231164414
235.0,600.0,lam/4,OK,0.38746309394274114,0.3877256045938426,0.0002625106511014441
235.0,600.0,lam/4,OK,0.41887902047863906,0.41918666419201916,0.0003076437133801013
235.0,600.0,lam/4,OK,0.4398229715025711,0.43984706165866694,2.409015609583509e-05
235.0,600.0,lam/4,OK,0.471238898038469,0.4712136230322124,2.527500625659762e-05
235.0,600.0,lam/4,OK,0.49218284906240095,0.49181384382928317,0.00036900523311778066
235.0,600.0,lam/4,OK,0.5131268000863328,0.5132864316653276,0.00015963157899478997
235.0,600.0,lam/4,OK,0.5340707511102649,0.5340742112779947,3.4601677297851907e-06
235.0,600.0,lam/2,OK,0.3246312408709453,0.3242711154595267,0.0003601254114186103
235.0,600.0,lam/2,OK,0.3560471674068432,0.35641519302995966,0.0003680256231164414
235.0,600.0,lam/2,OK,0.38746309394274114,0.3877256045938426,0.0002625106511014441
235.0,600.0,lam/2,OK,0.41887902047863906,0.41918666419201916,0.0003076437133801013
235.0,600.0,lam/2,OK,0.4398229715025711,0.43984706165866694,2.409015609583509e-05
235.0,600.0,lam/2,OK,0.471238898038469,0.4712136230322124,2.527500625659762e-05
235.0,600.0,lam/2,OK,0.49218284906240095,0.49181384382928317,0.00036900523311778066
235.0,600.0,lam/2,OK,0.5131268000863328,0.5132864316653276,0.00015963157899478997
235.0,1200.0,lam/8,OK,0.6754424205218056,0.6754882676513944,4.5847129588771907e-05
235.0,1200.0,lam/8,OK,0.7173303225696696,0.7174749660132921,0.00014464344362252746
235.0,1200.0,lam/8,OK,0.7435102613495844,0.7436968814473012,0.0001866200977167498
235.0,1200.0,lam/8,OK,0.7539822368615504,0.7540513293976528,6.909253610243304e-05
235.0,1200.0,lam/8,OK,0.7644542123735164,0.7642075468717318,0.00024666550178464863
235.0,1200.0,lam/8,OK,0.7801621756414654,0.7800501967260894,0.00011197891537595428
235.0,1200.0,lam/8,OK,0.7906341511534314,0.7906542478333567,2.0096679925307726e-05
235.0,1200.0,lam/8,OK,0.8011061266653973,0.8010257953343605,8.033133103679813e-05
235.0,1200.0,lam/4,OK,0.6597344572538566,0.6600210722950349,0.0002866150411783286
235.0,1200.0,lam/4,OK,0.6754424205218056,0.6754882676513944,4.5847129588771907e-05
235.0,1200.0,lam/4,OK,0.6911503837897545,0.691150193098532,1.906912224791668e-07
235.0,1200.0,lam/4,OK,0.7016223593017206,0.7013708012449739,0.0002515580567467035
235.0,1200.0,lam/4,OK,0.7173303225696696,0.7174749660132921,0.00014464344362252746
235.0,1200.0,lam/4,OK,0.7278022980816354,0.7277882136446029,1.4084437032546582e-05
235.0,1200.0,lam/4,OK,0.7435102613495844,0.7436968814473012,0.0001866200977167498
235.0,1200.0,lam/4,OK,0.7539822368615504,0.7540513293976528,6.909253610243304e-05
235.0,1200.0,lam/2,OK,0.6126105674500096,0.6125186754206593,9.18920293503378e-05
235.0,1200.0,lam/2,OK,0.6283185307179586,0.6285349295868374,0.00021639886887880877
235.0,1200.0,lam/2,OK,0.6440264939859076,0.6441635351457299,0.00013704115982227094
235.0,1200.0,lam/2,OK,0.6597344572538566,0.6600210722950349,0.0002866150411783286
235.0,1200.0,lam/2,OK,0.6754424205218056,0.6754882676513944,4.5847129588771907e-05
235.0,1200.0,lam/2,OK,0.6911503837897545,0.691150193098532,1.906912224791668e-07
235.0,1200.0,lam/2,OK,0.7016223593017206,0.7013708012449739,0.0002515580567467035
235.0,1200.0,lam/2,OK,0.7173303225696696,0.7174749660132921,0.00014464344362252746
235.0,2400.0,lam/8,OK,0.730420291959627,0.7304713919642497,5.110000462271724e-05
235.0,2400.0,lam/8,OK,0.7435102613495844,0.7436968814473012,0.0001866200977167498
235.0,2400.0,lam/8,OK,0.7539822368615504,0.7540513293976528,6.909253610243304e-05
235.0,2400.0,lam/8,OK,0.7670722062515078,0.7672160732834821,0.0001438670319742208
235.0,2400.0,lam/8,OK,0.7775441817634738,0.7776075954776747,6.341371420082176e-05
235.0,2400.0,lam/8,OK,0.7880161572754398,0.7877853544909622,0.00023080278447762392
235.0,2400.0,lam/8,OK,0.7984881327874058,0.7986889703375785,0.00020083755017263893
235.0,2400.0,lam/8,OK,0.8089601082993717,0.8088817301412294,7.837815814226712e-05
235.0,2400.0,lam/4,OK,0.7173303225696696,0.7174749660132921,0.00014464344362252746
235.0,2400.0,lam/4,OK,0.730420291959627,0.7304713919642497,5.110000462271724e-05
235.0,2400.0,lam/4,OK,0.7435102613495844,0.7436968814473012,0.0001866200977167498
235.0,2400.0,lam/4,OK,0.7539822368615504,0.7540513293976528,6.909253610243304e-05
235.0,2400.0,lam/4,OK,0.7670722062515078,0.7672160732834821,0.0001438670319742208
235.0,2400.0,lam/4,OK,0.7775441817634738,0.7776075954776747,6.341371420082176e-05
235.0,2400.0,lam/4,OK,0.7880161572754398,0.7877853544909622,0.00023080278447762392
235.0,2400.0,lam/4,OK,0.7984881327874058,0.7986889703375785,0.00020083755017263893
235.0,2400.0,lam/2,OK,0.6597344572538566,0.6600210722950349,0.0002866150411783286
235.0,2400.0,lam/2,OK,0.6754424205218056,0.6754882676513944,4.5847129588771907e-05
235.0,2400.0,lam/2,OK,0.688532389911763,0.6882800454971054,0.0002523444146576015
