pair_id,mechanism,z_true,eps_db,seed,J_true_star,J_alt_star,delta_J,delta_J_gt_0,delta_J_gt_0p5,static_blind,blind_label
A01,A,200.0,0.0,1,0.0,4.361081417975073,4.361081417975073,True,True,False,
A01,A,200.0,0.0,2,0.0,4.361081417975073,4.361081417975073,True,True,False,
A01,A,200.0,0.0,3,0.0,4.361081417975073,4.361081417975073,True,True,False,
A01,A,200.0,0.0,4,0.0,4.361081417975073,4.361081417975073,True,True,False,
A01,A,200.0,0.25,0,0.2516015740004633,4.375295557595869,4.123693983595406,True,True,False,
A01,A,200.0,0.25,1,0.2534792108621711,4.355203115766374,4.101723904904203,True,True,False,
A01,A,200.0,0.25,2,0.25113731606673767,4.365125510211349,4.113988194144611,True,True,False,
A01,A,200.0,0.25,3,0.24635485768052065,4.365064803746369,4.118709946065849,True,True,False,
A01,A,200.0,0.25,4,0.2533627010511538,4.372361757830774,4.11899905677962,True,True,False,
A01,A,200.0,0.5,0,0.5142021451676467,4.374369373004429,3.860167227836782,True,True,False,
A01,A,200.0,0.5,1,0.5061420546380762,4.375547296715903,3.8694052420778267,True,True,False,
A01,A,200.0,0.5,2,0.5006538291742805,4.384160949900634,3.8835071207263536,True,True,False,
A01,A,200.0,0.5,3,0.49950739290007734,4.377597663194875,3.8780902702947975,True,True,False,
A01,A,200.0,0.5,4,0.49366035443614914,4.399469230263963,3.905808875827814,True,True,False,
A01,A,200.0,1.0,0,0.9670842051837819,4.478646834461804,3.511562629278022,True,True,False,
A01,A,200.0,1.0,1,1.0086298415551527,4.473278178341446,3.4646483367862935,True,True,False,
A01,A,200.0,1.0,2,0.9926338604261732,4.498847465873591,3.506213605447418,True,True,False,
A01,A,200.0,1.0,3,0.9684371903832233,4.447375328913616,3.4789381385303932,True,True,False,
A01,A,200.0,1.0,4,0.9954994093114948,4.524665988585175,3.5291665792736806,True,True,False,
A01,A,200.0,1.5,0,1.461087712892384,4.627003116655538,3.1659154037631536,True,True,False,
A01,A,200.0,1.5,1,1.4667282555913075,4.578074799415027,3.111346543823719,True,True,False,
A01,A,200.0,1.5,2,1.508876818737859,4.602207916605545,3.0933310978676865,True,True,False,
A01,A,200.0,1.5,3,1.4957594231874292,4.53887084368038,3.043111420492951,True,True,False,
A01,A,200.0,1.5,4,1.545704129802236,4.574917646426641,3.029213516624405,True,True,False,
A01,A,200.0,2.0,0,2.04439234752575,4.805288402012997,2.760896054487247,True,True,False,
A01,A,200.0,2.0,1,1.9270083722606384,4.750187818566512,2.8231794463058737,True,True,False,
