pair_id,mechanism,z_true,J_true,J_alt_fixed_z,J_alt_profiled,z_alt_star,z_star_label,wrong_rejected_fixed_z_thr0.5,wrong_rejected_profiled_thr0.5,wrong_rejected_fixed_z_thr1.0,wrong_rejected_profiled_thr1.0,wrong_rejected_fixed_z_thr1.5,wrong_rejected_profiled_thr1.5
C03,C,220.0,0.0,3.510228797159231,2.7094090474547547,230.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C04,C,180.0,0.0,2.986021543328453,2.8792529147003405,235.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C04,C,200.0,0.0,3.775741238659198,2.8659047623925873,235.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C04,C,220.0,0.0,3.6122269786057633,2.8851412656722526,235.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C05,C,180.0,0.0,4.605545108329066,3.593690068433402,230.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C05,C,200.0,0.0,5.171868746213633,3.6189852515572065,230.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C05,C,220.0,0.0,4.213585592011114,3.5683873197449794,230.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
C06,C,180.0,0.0,3.026086669136771,1.327894377116004,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,False
C06,C,200.0,0.0,2.1380297654233575,1.3549074445040408,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,False
C06,C,220.0,0.0,2.6406545091150737,1.3728786844689804,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,False
C07,C,180.0,0.0,3.0744174747771424,1.7505759668063485,195.0,WRONG_TRAJECTORY_DEPTH_COMPENSATION_DIAGNOSTIC,True,True,True,True,True,True
