pair_id,mechanism,z_true,dJ_201,dJ_235,dJ_283,dJ_338,dJ_min,dJ_max,dJ_range
A07,A,220.0,2.4844250090036106,3.0176895653755444,1.6890288816248282,3.5246961056862602,1.6890288816248282,3.5246961056862602,1.835667224061432
A08,A,180.0,2.7203509696042167,1.9223439683713643,3.904496299067034,3.0050133293922037,1.9223439683713643,3.904496299067034,1.9821523306956699
A08,A,200.0,2.7203509696042167,1.9223439683713641,3.9044962990670338,3.0050133293922037,1.9223439683713641,3.9044962990670338,1.9821523306956697
A08,A,220.0,2.7203509696042167,1.9223439683713643,3.904496299067034,3.0050133293922037,1.9223439683713643,3.904496299067034,1.9821523306956699
A09,A,180.0,1.785184257985327,2.3811258371167083,3.213738252326124,1.842971785449313,1.785184257985327,3.213738252326124,1.4285539943407972
A09,A,200.0,1.785184257985327,2.3811258371167083,3.2137382523261246,1.842971785449313,1.785184257985327,3.2137382523261246,1.4285539943407977
A09,A,220.0,1.785184257985327,2.381125837116708,3.2137382523261246,1.842971785449313,1.785184257985327,3.2137382523261246,1.4285539943407977
A10,A,180.0,0.3365362702550957,0.1400399798551017,0.8551827448160462,0.7136085692553186,0.1400399798551017,0.8551827448160462,0.7151427649609445
A10,A,200.0,0.3365362702550957,0.1400399798551017,0.8551827448160462,0.7136085692553187,0.1400399798551017,0.8551827448160462,0.7151427649609445
A10,A,220.0,0.3365362702550957,0.14003997985510167,0.8551827448160463,0.7136085692553186,0.14003997985510167,0.8551827448160463,0.7151427649609446
B01,B,180.0,1.5397725244966303,1.8506291492335736,1.9897710215586868,0.9995750939667711,0.9995750939667711,1.9897710215586868,0.9901959275919157
B01,B,200.0,1.529320805135051,1.8669384358759296,1.9924046830933204,0.9962868651734541,0.9962868651734541,1.9924046830933204,0.9961178179198663
B01,B,220.0,1.5327868392605857,1.8520757199290916,1.9898370859931367,1.008657924392614,1.008657924392614,1.9898370859931367,0.9811791616005228
B02,B,180.0,1.9272348933138523,2.1150079709514706,3.1909454787778975,1.8642986854830184,1.8642986854830184,3.1909454787778975,1.3266467932948791
B02,B,200.0,1.9475564173335649,2.300383509468421,3.2019838666638125,1.8630697693519063,1.8630697693519063,3.2019838666638125,1.3389140973119062
B02,B,220.0,1.9396441408363003,2.15906886966388,3.18537983425573,1.8704085901183756,1.8704085901183756,3.18537983425573,1.3149712441373544
B03,B,180.0,0.5210763166713608,0.5029309056955937,1.241542036581551,1.2305857728170584,0.5029309056955937,1.241542036581551,0.7386111308859573
B03,B,200.0,0.5220144630302195,0.5772193151258289,1.1529537576654154,1.1957142443307773,0.5220144630302195,1.1957142443307773,0.6736997813005579
B03,B,220.0,0.5566837075252946,0.47510679068040573,1.2046891366681347,1.0744623466138425,0.47510679068040573,1.2046891366681347,0.729582345987729
B04,B,180.0,0.7886689944030265,1.079062092233735,1.919531928890797,1.9808963999500233,0.7886689944030265,1.9808963999500233,1.1922274055469968
B04,B,200.0,0.827506808263715,0.9968022758566908,1.173988377112114,1.9471437278146884,0.827506808263715,1.9471437278146884,1.1196369195509734
B04,B,220.0,0.9636424144885487,0.9752118818295873,1.1043780687080993,2.2840631928084316,0.9636424144885487,2.2840631928084316,1.320420778319883
B05,B,180.0,1.5705614836451456,2.230528927933885,1.997645709115686,1.013161606414536,1.013161606414536,2.230528927933885,1.217367321519349
B05,B,200.0,1.668552497694692,1.942326094186806,1.8505009980576024,1.1072292164399762,1.1072292164399762,1.942326094186806,0.8350968777468297
B05,B,220.0,1.6378432420825728,1.970982928827257,1.9838783690713848,0.9728494262630871,0.9728494262630871,1.9838783690713848,1.0110289428082977
B06,B,180.0,1.686936801700927,1.2741412885323378,1.252943673282875,2.0259321869078875,1.252943673282875,2.0259321869078875,0.7729885136250125
B06,B,200.0,1.6796074305188642,1.082379766562953,1.2778096648387096,2.0722386812244347,1.082379766562953,2.0722386812244347,0.9898589146614816
B06,B,220.0,1.6696167629168683,1.1725199930911114,1.2231083465618735,1.9274501448420607,1.1725199930911114,1.9274501448420607,0.7549301517509492
