pair_id,mechanism,z_true,n_lines,frequencies,J_true_star,J_alt_star,delta_J,delta_J_gt_0,delta_J_gt_0p5,static_blind
B06,B,220.0,1,235,0.0,1.1725199930911114,1.1725199930911114,True,True,False
B06,B,220.0,1,283,0.0,1.2231083465618735,1.2231083465618735,True,True,False
B06,B,220.0,1,338,0.0,1.9274501448420607,1.9274501448420607,True,True,False
B06,B,220.0,2,201;235,0.0,1.8752697517180108,1.8752697517180108,True,True,False
B06,B,220.0,2,201;283,0.0,2.431555991425497,2.431555991425497,True,True,False
B06,B,220.0,2,201;338,0.0,2.230769165607103,2.230769165607103,True,True,False
B06,B,220.0,2,235;283,0.0,1.8165231275817344,1.8165231275817344,True,True,False
B06,B,220.0,2,235;338,0.0,1.9393344490364768,1.9393344490364768,True,True,False
B06,B,220.0,2,283;338,0.0,2.768442866137291,2.768442866137291,True,True,False
B06,B,220.0,3,201;235;283,0.0,2.3235878682250126,2.3235878682250126,True,True,False
B06,B,220.0,3,201;235;338,0.0,2.1495687597155237,2.1495687597155237,True,True,False
B06,B,220.0,3,201;283;338,0.0,2.670199664742167,2.670199664742167,True,True,False
B06,B,220.0,3,235;283;338,0.0,2.562603134272247,2.562603134272247,True,True,False
B06,B,220.0,4,201;235;283;338,0.0,2.5378214778614967,2.5378214778614967,True,True,False
B07,B,180.0,1,201,0.0,2.387716895689644,2.387716895689644,True,True,False
B07,B,180.0,1,235,0.0,1.9150406122659014,1.9150406122659014,True,True,False
B07,B,180.0,1,283,0.0,2.5707026637610575,2.5707026637610575,True,True,False
B07,B,180.0,1,338,0.0,1.8386264938526735,1.8386264938526735,True,True,False
B07,B,180.0,2,201;235,0.0,2.2147220634777054,2.2147220634777054,True,True,False
B07,B,180.0,2,201;283,0.0,2.9218989161522013,2.9218989161522013,True,True,False
B07,B,180.0,2,201;338,0.0,2.486472061872229,2.486472061872229,True,True,False
B07,B,180.0,2,235;283,0.0,3.087931520277406,3.087931520277406,True,True,False
B07,B,180.0,2,235;338,0.0,2.4218956786021195,2.4218956786021195,True,True,False
B07,B,180.0,2,283;338,0.0,2.6135696810437294,2.6135696810437294,True,True,False
B07,B,180.0,3,201;235;283,0.0,3.140820232934744,3.140820232934744,True,True,False
B07,B,180.0,3,201;235;338,0.0,3.179633741492616,3.179633741492616,True,True,False
B07,B,180.0,3,201;283;338,0.0,2.680222818371236,2.680222818371236,True,True,False
B07,B,180.0,3,235;283;338,0.0,3.2613419363961356,3.2613419363961356,True,True,False
B07,B,180.0,4,201;235;283;338,0.0,3.154296426752716,3.154296426752716,True,True,False
B07,B,200.0,1,201,0.0,2.403417178312463,2.403417178312463,True,True,False
B07,B,200.0,1,235,0.0,1.8446481079887525,1.8446481079887525,True,True,False
B07,B,200.0,1,283,0.0,2.559996744341901,2.559996744341901,True,True,False
B07,B,200.0,1,338,0.0,1.8461390122437504,1.8461390122437504,True,True,False
B07,B,200.0,2,201;235,0.0,2.201424261058577,2.201424261058577,True,True,False
B07,B,200.0,2,201;283,0.0,2.9175742665948423,2.9175742665948423,True,True,False
B07,B,200.0,2,201;338,0.0,2.477406474432632,2.477406474432632,True,True,False
B07,B,200.0,2,235;283,0.0,3.1374071083909567,3.1374071083909567,True,True,False
B07,B,200.0,2,235;338,0.0,2.471120869387365,2.471120869387365,True,True,False
B07,B,200.0,2,283;338,0.0,2.6133855525921437,2.6133855525921437,True,True,False
B07,B,200.0,3,201;235;283,0.0,3.1737303916992174,3.1737303916992174,True,True,False
B07,B,200.0,3,201;235;338,0.0,3.170038483881733,3.170038483881733,True,True,False
B07,B,200.0,3,201;283;338,0.0,2.675790630022866,2.675790630022866,True,True,False
B07,B,200.0,3,235;283;338,0.0,3.3089993750754734,3.3089993750754734,True,True,False
B07,B,200.0,4,201;235;283;338,0.0,3.188590166002423,3.188590166002423,True,True,False
B07,B,220.0,1,201,0.0,2.3981934442468504,2.3981934442468504,True,True,False
B07,B,220.0,1,235,0.0,1.893003347755817,1.893003347755817,True,True,False
B07,B,220.0,1,283,0.0,2.5788903258521056,2.5788903258521056,True,True,False
B07,B,220.0,1,338,0.0,1.8248075227917733,1.8248075227917733,True,True,False
B07,B,220.0,2,201;235,0.0,2.213038746912949,2.213038746912949,True,True,False
B07,B,220.0,2,201;283,0.0,2.917113728935274,2.917113728935274,True,True,False
B07,B,220.0,2,201;338,0.0,2.486252317110374,2.486252317110374,True,True,False
B07,B,220.0,2,235;283,0.0,3.1053885092280678,3.1053885092280678,True,True,False
B07,B,220.0,2,235;338,0.0,2.4343820252622037,2.4343820252622037,True,True,False
B07,B,220.0,2,283;338,0.0,2.616765819636726,2.616765819636726,True,True,False
B07,B,220.0,3,201;235;283,0.0,3.152507727609162,3.152507727609162,True,True,False
B07,B,220.0,3,201;235;338,0.0,3.177646671162366,3.177646671162366,True,True,False
B07,B,220.0,3,201;283;338,0.0,2.6794568135288435,2.6794568135288435,True,True,False
B07,B,220.0,3,235;283;338,0.0,3.275855758034888,3.275855758034888,True,True,False
B07,B,220.0,4,201;235;283;338,0.0,3.1637490647731252,3.1637490647731252,True,True,False
B08,B,180.0,1,201,0.0,0.5214777615094449,0.5214777615094449,True,True,False
B08,B,180.0,1,235,0.0,0.44751551393726763,0.44751551393726763,True,False,False
B08,B,180.0,1,283,0.0,1.2344037709641653,1.2344037709641653,True,True,False
B08,B,180.0,1,338,0.0,1.2374217719586538,1.2374217719586538,True,True,False
B08,B,180.0,2,201;235,0.0,0.6606087527359092,0.6606087527359092,True,True,False
B08,B,180.0,2,201;283,0.0,0.9475472878752419,0.9475472878752419,True,True,False
B08,B,180.0,2,201;338,0.0,0.9816749807965859,0.9816749807965859,True,True,False
B08,B,180.0,2,235;283,0.0,1.1118048524700996,1.1118048524700996,True,True,False
B08,B,180.0,2,235;338,0.0,0.9778823729833012,0.9778823729833012,True,True,False
B08,B,180.0,2,283;338,0.0,1.4129665876000754,1.4129665876000754,True,True,False
B08,B,180.0,3,201;235;283,0.0,0.9855948573825136,0.9855948573825136,True,True,False
