k_true,dr,N,p,power,label,n_omega_peaks,abs_err,k_rec,status,unique_in_band,dr_tag,p_tag,power_tag,alias_class
1.41,1.8849555921538759,200,7,2,NO_FOLD_CONTROL|PRINTED_LITERAL_CONTROL|STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,7,8.789062499992006e-05,1.409912109375,FOLDED_BUT_BRANCH_RECOVERABLE,True,NO_FOLD_CONTROL,PRINTED_LITERAL_CONTROL,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,FOLDED_BUT_BRANCH_RECOVERABLE
1.41,1.8849555921538759,200,133,1,NO_FOLD_CONTROL|OUR_MOVING_SAMPLE_INTERPRETATION|PRINTED_EQ19_MODULUS_POWER_1,133,8.789062499992006e-05,1.409912109375,FOLDED_BUT_BRANCH_RECOVERABLE,True,NO_FOLD_CONTROL,OUR_MOVING_SAMPLE_INTERPRETATION,PRINTED_EQ19_MODULUS_POWER_1,FOLDED_BUT_BRANCH_RECOVERABLE
1.41,1.8849555921538759,200,133,2,NO_FOLD_CONTROL|OUR_MOVING_SAMPLE_INTERPRETATION|STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,133,8.789062499992006e-05,1.409912109375,FOLDED_BUT_BRANCH_RECOVERABLE,True,NO_FOLD_CONTROL,OUR_MOVING_SAMPLE_INTERPRETATION,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,FOLDED_BUT_BRANCH_RECOVERABLE
1.41,0.5,200,7,1,AUX_CONTROL|PRINTED_LITERAL_CONTROL|PRINTED_EQ19_MODULUS_POWER_1,7,0.0002716559330957491,1.4097283440669042,FOLDED_BUT_BRANCH_RECOVERABLE,True,AUX_CONTROL,PRINTED_LITERAL_CONTROL,PRINTED_EQ19_MODULUS_POWER_1,FOLDED_BUT_BRANCH_RECOVERABLE
1.41,0.5,200,7,2,AUX_CONTROL|PRINTED_LITERAL_CONTROL|STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,7,0.0002716559330957491,1.4097283440669042,FOLDED_BUT_BRANCH_RECOVERABLE,True,AUX_CONTROL,PRINTED_LITERAL_CONTROL,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,FOLDED_BUT_BRANCH_RECOVERABLE
1.41,0.5,200,133,1,AUX_CONTROL|OUR_MOVING_SAMPLE_INTERPRETATION|PRINTED_EQ19_MODULUS_POWER_1,133,0.0002716559330957491,1.4097283440669042,FOLDED_BUT_BRANCH_RECOVERABLE,True,AUX_CONTROL,OUR_MOVING_SAMPLE_INTERPRETATION,PRINTED_EQ19_MODULUS_POWER_1,FOLDED_BUT_BRANCH_RECOVERABLE
1.41,0.5,200,133,2,AUX_CONTROL|OUR_MOVING_SAMPLE_INTERPRETATION|STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,133,0.0002716559330957491,1.4097283440669042,FOLDED_BUT_BRANCH_RECOVERABLE,True,AUX_CONTROL,OUR_MOVING_SAMPLE_INTERPRETATION,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,FOLDED_BUT_BRANCH_RECOVERABLE
1.41,2.5,200,7,1,REF7_CONSISTENT_SAMPLING_ASSUMPTION|PRINTED_LITERAL_CONTROL|PRINTED_EQ19_MODULUS_POWER_1,7,3.5140224481589044e-05,1.4100351402244815,FOLDED_BUT_BRANCH_RECOVERABLE,True,REF7_CONSISTENT_SAMPLING_ASSUMPTION,PRINTED_LITERAL_CONTROL,PRINTED_EQ19_MODULUS_POWER_1,FOLDED_BUT_BRANCH_RECOVERABLE
1.41,2.5,200,7,2,REF7_CONSISTENT_SAMPLING_ASSUMPTION|PRINTED_LITERAL_CONTROL|STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,7,3.5140224481589044e-05,1.4100351402244815,FOLDED_BUT_BRANCH_RECOVERABLE,True,REF7_CONSISTENT_SAMPLING_ASSUMPTION,PRINTED_LITERAL_CONTROL,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,FOLDED_BUT_BRANCH_RECOVERABLE
1.41,2.5,200,133,1,REF7_CONSISTENT_SAMPLING_ASSUMPTION|OUR_MOVING_SAMPLE_INTERPRETATION|PRINTED_EQ19_MODULUS_POWER_1,133,3.5140224481589044e-05,1.4100351402244815,FOLDED_BUT_BRANCH_RECOVERABLE,True,REF7_CONSISTENT_SAMPLING_ASSUMPTION,OUR_MOVING_SAMPLE_INTERPRETATION,PRINTED_EQ19_MODULUS_POWER_1,FOLDED_BUT_BRANCH_RECOVERABLE
1.41,2.5,200,133,2,REF7_CONSISTENT_SAMPLING_ASSUMPTION|OUR_MOVING_SAMPLE_INTERPRETATION|STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,133,3.5140224481589044e-05,1.4100351402244815,FOLDED_BUT_BRANCH_RECOVERABLE,True,REF7_CONSISTENT_SAMPLING_ASSUMPTION,OUR_MOVING_SAMPLE_INTERPRETATION,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,FOLDED_BUT_BRANCH_RECOVERABLE
1.5,1.8849555921538759,200,7,1,NO_FOLD_CONTROL|PRINTED_LITERAL_CONTROL|PRINTED_EQ19_MODULUS_POWER_1,7,0.00016276041666674068,1.4998372395833333,FOLDED_BUT_BRANCH_RECOVERABLE,True,NO_FOLD_CONTROL,PRINTED_LITERAL_CONTROL,PRINTED_EQ19_MODULUS_POWER_1,FOLDED_BUT_BRANCH_RECOVERABLE
1.5,1.8849555921538759,200,7,2,NO_FOLD_CONTROL|PRINTED_LITERAL_CONTROL|STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,7,0.00016276041666674068,1.4998372395833333,FOLDED_BUT_BRANCH_RECOVERABLE,True,NO_FOLD_CONTROL,PRINTED_LITERAL_CONTROL,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,FOLDED_BUT_BRANCH_RECOVERABLE
1.5,1.8849555921538759,200,133,1,NO_FOLD_CONTROL|OUR_MOVING_SAMPLE_INTERPRETATION|PRINTED_EQ19_MODULUS_POWER_1,133,0.00016276041666674068,1.4998372395833333,FOLDED_BUT_BRANCH_RECOVERABLE,True,NO_FOLD_CONTROL,OUR_MOVING_SAMPLE_INTERPRETATION,PRINTED_EQ19_MODULUS_POWER_1,FOLDED_BUT_BRANCH_RECOVERABLE
1.5,1.8849555921538759,200,133,2,NO_FOLD_CONTROL|OUR_MOVING_SAMPLE_INTERPRETATION|STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,133,0.00016276041666674068,1.4998372395833333,FOLDED_BUT_BRANCH_RECOVERABLE,True,NO_FOLD_CONTROL,OUR_MOVING_SAMPLE_INTERPRETATION,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,FOLDED_BUT_BRANCH_RECOVERABLE
1.5,0.5,200,7,1,AUX_CONTROL|PRINTED_LITERAL_CONTROL|PRINTED_EQ19_MODULUS_POWER_1,7,,,NO_PEAK,False,AUX_CONTROL,PRINTED_LITERAL_CONTROL,PRINTED_EQ19_MODULUS_POWER_1,FOLDED_BRANCH_AMBIGUOUS
1.5,0.5,200,7,2,AUX_CONTROL|PRINTED_LITERAL_CONTROL|STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,7,,,NO_PEAK,False,AUX_CONTROL,PRINTED_LITERAL_CONTROL,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,FOLDED_BRANCH_AMBIGUOUS
1.5,0.5,200,133,1,AUX_CONTROL|OUR_MOVING_SAMPLE_INTERPRETATION|PRINTED_EQ19_MODULUS_POWER_1,133,0.05805805938749753,1.4419419406125025,NO_FOLD_DIRECT_RECOVERY,True,AUX_CONTROL,OUR_MOVING_SAMPLE_INTERPRETATION,PRINTED_EQ19_MODULUS_POWER_1,FOLDED_BRANCH_AMBIGUOUS
1.5,0.5,200,133,2,AUX_CONTROL|OUR_MOVING_SAMPLE_INTERPRETATION|STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,133,0.05805805938749753,1.4419419406125025,NO_FOLD_DIRECT_RECOVERY,True,AUX_CONTROL,OUR_MOVING_SAMPLE_INTERPRETATION,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,FOLDED_BRANCH_AMBIGUOUS
1.5,2.5,200,7,1,REF7_CONSISTENT_SAMPLING_ASSUMPTION|PRINTED_LITERAL_CONTROL|PRINTED_EQ19_MODULUS_POWER_1,7,7.358560542014558e-05,1.4999264143945799,FOLDED_BUT_BRANCH_RECOVERABLE,True,REF7_CONSISTENT_SAMPLING_ASSUMPTION,PRINTED_LITERAL_CONTROL,PRINTED_EQ19_MODULUS_POWER_1,FOLDED_BUT_BRANCH_RECOVERABLE
1.5,2.5,200,7,2,REF7_CONSISTENT_SAMPLING_ASSUMPTION|PRINTED_LITERAL_CONTROL|STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,7,7.358560542014558e-05,1.4999264143945799,FOLDED_BUT_BRANCH_RECOVERABLE,True,REF7_CONSISTENT_SAMPLING_ASSUMPTION,PRINTED_LITERAL_CONTROL,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,FOLDED_BUT_BRANCH_RECOVERABLE
1.5,2.5,200,133,1,REF7_CONSISTENT_SAMPLING_ASSUMPTION|OUR_MOVING_SAMPLE_INTERPRETATION|PRINTED_EQ19_MODULUS_POWER_1,133,7.358560542014558e-05,1.4999264143945799,FOLDED_BUT_BRANCH_RECOVERABLE,True,REF7_CONSISTENT_SAMPLING_ASSUMPTION,OUR_MOVING_SAMPLE_INTERPRETATION,PRINTED_EQ19_MODULUS_POWER_1,FOLDED_BUT_BRANCH_RECOVERABLE
1.5,2.5,200,133,2,REF7_CONSISTENT_SAMPLING_ASSUMPTION|OUR_MOVING_SAMPLE_INTERPRETATION|STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,133,7.358560542014558e-05,1.4999264143945799,FOLDED_BUT_BRANCH_RECOVERABLE,True,REF7_CONSISTENT_SAMPLING_ASSUMPTION,OUR_MOVING_SAMPLE_INTERPRETATION,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,FOLDED_BUT_BRANCH_RECOVERABLE
