case,n_true,dr,dr_tag,p,p_tag,power,power_tag,n_rec_in_band,mean_abs_err,max_abs_err,all_recovered_within_1e-3,status
3_peak_close,3,2.5,REF7_CONSISTENT_SAMPLING_ASSUMPTION,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,3,5.2615151727423516e-05,6.426510322476986e-05,True,OK
3_peak_close,3,2.5,REF7_CONSISTENT_SAMPLING_ASSUMPTION,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,19,5.2615151727423516e-05,6.426510322476986e-05,True,OK
3_peak_close,3,2.5,REF7_CONSISTENT_SAMPLING_ASSUMPTION,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,19,5.2615151727423516e-05,6.426510322476986e-05,True,OK
5_peak_close,5,1.8849555921538759,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,5,5.2083333333330375e-05,8.789062499992006e-05,True,OK
5_peak_close,5,1.8849555921538759,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,5,5.2083333333330375e-05,8.789062499992006e-05,True,OK
5_peak_close,5,1.8849555921538759,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,15,5.2083333333330375e-05,8.789062499992006e-05,True,OK
5_peak_close,5,1.8849555921538759,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,15,5.2083333333330375e-05,8.789062499992006e-05,True,OK
5_peak_close,5,2.5,REF7_CONSISTENT_SAMPLING_ASSUMPTION,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,5,3.926239766842699e-05,6.426510322476986e-05,True,OK
5_peak_close,5,2.5,REF7_CONSISTENT_SAMPLING_ASSUMPTION,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,5,3.926239766842699e-05,6.426510322476986e-05,True,OK
5_peak_close,5,2.5,REF7_CONSISTENT_SAMPLING_ASSUMPTION,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,20,3.926239766842699e-05,6.426510322476986e-05,True,OK
5_peak_close,5,2.5,REF7_CONSISTENT_SAMPLING_ASSUMPTION,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,20,3.926239766842699e-05,6.426510322476986e-05,True,OK
