n_detected_peaks_in_band,true_peak_recalled,false_peak_count,recall,precision,f1,peak_count_err,recovered_ks,abs_err_list,max_abs_err,case,n_true,dr,dr_tag,p,p_tag,power,power_tag,backward_dup_forward,rank,complete_success
1,1,0,0.5,1.0,0.6666666666666666,-1,1.404996,4.996e-03;3.804e-06,0.004996196000000008,2_peak_close,2,1.885,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,False,4,False
1,1,0,0.5,1.0,0.6666666666666666,-1,1.404996,4.996e-03;3.804e-06,0.004996196000000008,2_peak_close,2,1.885,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,4,False
2,2,0,1.0,1.0,1.0,0,1.400064;1.404973,6.427e-05;2.700e-05,6.426500000000779e-05,2_peak_close,2,2.5,REF7_2p5,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,False,4,True
2,2,0,1.0,1.0,1.0,0,1.400064;1.404973,6.427e-05;2.700e-05,6.426500000000779e-05,2_peak_close,2,2.5,REF7_2p5,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,4,True
2,2,0,1.0,1.0,1.0,0,1.400064;1.404973,6.427e-05;2.700e-05,6.426500000000779e-05,2_peak_close,2,2.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,False,4,True
2,2,0,1.0,1.0,1.0,0,1.400064;1.404973,6.427e-05;2.700e-05,6.426500000000779e-05,2_peak_close,2,2.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,4,True
3,3,0,1.0,1.0,1.0,0,1.399910;1.403979;1.408048,8.995e-05;2.103e-05;4.788e-05,8.994699999997913e-05,3_peak_close,3,1.885,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,False,6,True
1,1,0,0.3333333333333333,1.0,0.5,-2,1.403979,3.979e-03;2.103e-05;4.021e-03,0.004021031999999813,3_peak_close,3,1.885,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,6,False
3,3,0,1.0,1.0,1.0,0,1.399910;1.403979;1.408048,8.995e-05;2.103e-05;4.788e-05,8.994699999997913e-05,3_peak_close,3,1.885,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,False,6,True
1,1,0,0.3333333333333333,1.0,0.5,-2,1.403979,3.979e-03;2.103e-05;4.021e-03,0.004021031999999813,3_peak_close,3,1.885,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,6,False
3,3,0,1.0,1.0,1.0,0,1.400064;1.404053;1.408041,6.427e-05;5.261e-05;4.097e-05,6.426500000000779e-05,3_peak_close,3,2.5,REF7_2p5,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,False,6,True
3,3,0,1.0,1.0,1.0,0,1.400064;1.404053;1.408041,6.427e-05;5.261e-05;4.097e-05,6.426500000000779e-05,3_peak_close,3,2.5,REF7_2p5,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,6,True
3,3,0,1.0,1.0,1.0,0,1.400064;1.404053;1.408041,6.427e-05;5.261e-05;4.097e-05,6.426500000000779e-05,3_peak_close,3,2.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,False,6,True
3,3,0,1.0,1.0,1.0,0,1.400064;1.404053;1.408041,6.427e-05;5.261e-05;4.097e-05,6.426500000000779e-05,3_peak_close,3,2.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,6,True
3,3,0,0.6,1.0,0.7499999999999999,-2,1.379565;1.399096;1.419848,4.345e-04;9.096e-03;9.037e-04;9.848e-03;1.523e-04,0.009847735000000135,5_peak_close,5,1.885,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,False,7,False
3,3,0,0.6,1.0,0.7499999999999999,-2,1.379565;1.399096;1.419848,4.345e-04;9.096e-03;9.037e-04;9.848e-03;1.523e-04,0.009847735000000135,5_peak_close,5,1.885,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,7,False
5,5,0,1.0,1.0,1.0,0,1.379972;1.389941;1.399910;1.410082;1.420051,2.763e-05;5.879e-05;8.995e-05;8.234e-05;5.118e-05,8.994699999997913e-05,5_peak_close,5,1.885,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,False,10,True
5,5,0,1.0,1.0,1.0,0,1.379972;1.389941;1.399910;1.410082;1.420051,2.763e-05;5.879e-05;8.995e-05;8.234e-05;5.118e-05,8.994699999997913e-05,5_peak_close,5,1.885,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,10,True
3,2,1,0.4,0.6666666666666666,0.5,-2,1.380429;1.402519;1.420159,4.293e-04;9.571e-03;2.519e-03;7.481e-03;1.594e-04,0.009570688999999799,5_peak_close,5,2.5,REF7_2p5,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,False,7,False
2,2,0,0.4,1.0,0.5714285714285715,-3,1.380429;1.420159,4.293e-04;9.571e-03;1.957e-02;1.016e-02;1.594e-04,0.019570688999999808,5_peak_close,5,2.5,REF7_2p5,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,7,False
5,5,0,1.0,1.0,1.0,0,1.379969;1.389940;1.400064;1.410035;1.420006,3.088e-05;6.001e-05;6.427e-05;3.514e-05;6.015e-06,6.426500000000779e-05,5_peak_close,5,2.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,False,10,True
4,4,0,0.8,1.0,0.888888888888889,-1,1.389940;1.400064;1.410035;1.420006,9.940e-03;6.001e-05;6.427e-05;3.514e-05;6.015e-06,0.009939992000000064,5_peak_close,5,2.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,False,10,False
