n_detected_peaks_in_band,true_peak_recalled,false_peak_count,recall,precision,f1,peak_count_err,recovered_ks,abs_err_list,max_abs_err,k_true,dr,dr_tag,p,p_tag,power,power_tag,selected_peak_k,selected_abs_err,alias_class,backward_dup_forward,rank,cond,eq19_peakpos_same_as_power2
1,1,0,1.0,1.0,1.0,0,1.410035,3.514e-05,3.514000000004458e-05,1.41,2.5,REF7_2p5,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,,,FOLDED_BUT_BRANCH_RECOVERABLE,False,2,83028163598703.7,True
1,1,0,1.0,1.0,1.0,0,1.410035,3.514e-05,3.514000000004458e-05,1.41,2.5,REF7_2p5,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,,,FOLDED_BUT_BRANCH_RECOVERABLE,False,2,83028163598703.7,True
1,1,0,1.0,1.0,1.0,0,1.410035,3.514e-05,3.514000000004458e-05,1.41,2.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,,,FOLDED_BUT_BRANCH_RECOVERABLE,False,2,2.2522978859401096e+16,True
1,1,0,1.0,1.0,1.0,0,1.410035,3.514e-05,3.514000000004458e-05,1.41,2.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,,,FOLDED_BUT_BRANCH_RECOVERABLE,False,2,2.2522978859401096e+16,True
0,0,0,0.0,0.0,0.0,-1,,nan,,1.5,1.885,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,,,NO_FOLD_DIRECT_RECOVERY,False,2,178466093084050.1,True
0,0,0,0.0,0.0,0.0,-1,,nan,,1.5,1.885,NO_FOLD_CONTROL,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,,,NO_FOLD_DIRECT_RECOVERY,False,2,178466093084050.1,True
0,0,0,0.0,0.0,0.0,-1,,nan,,1.5,1.885,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,,,NO_FOLD_DIRECT_RECOVERY,False,2,9.073305428185965e+16,True
0,0,0,0.0,0.0,0.0,-1,,nan,,1.5,1.885,NO_FOLD_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,,,NO_FOLD_DIRECT_RECOVERY,False,2,9.073305428185965e+16,True
0,0,0,0.0,0.0,0.0,-1,,nan,,1.5,0.5,AUX_CONTROL,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,,,NO_FOLD_DIRECT_RECOVERY,False,2,3.9157698043628856e+16,True
0,0,0,0.0,0.0,0.0,-1,,nan,,1.5,0.5,AUX_CONTROL,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,,,NO_FOLD_DIRECT_RECOVERY,False,2,3.9157698043628856e+16,True
0,0,0,0.0,0.0,0.0,-1,,nan,,1.5,0.5,AUX_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,,,NO_FOLD_DIRECT_RECOVERY,False,2,2.0830764971673454e+18,True
0,0,0,0.0,0.0,0.0,-1,,nan,,1.5,0.5,AUX_CONTROL,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,,,NO_FOLD_DIRECT_RECOVERY,False,2,2.0830764971673454e+18,True
1,1,0,1.0,1.0,1.0,0,1.499926,7.359e-05,7.358600000006987e-05,1.5,2.5,REF7_2p5,7,PRINTED_LITERAL_CONTROL,1,PRINTED_EQ19_MODULUS_POWER_1,,,FOLDED_BUT_BRANCH_RECOVERABLE,False,2,4.339675514082579e+16,True
1,1,0,1.0,1.0,1.0,0,1.499926,7.359e-05,7.358600000006987e-05,1.5,2.5,REF7_2p5,7,PRINTED_LITERAL_CONTROL,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,,,FOLDED_BUT_BRANCH_RECOVERABLE,False,2,4.339675514082579e+16,True
1,1,0,1.0,1.0,1.0,0,1.499926,7.359e-05,7.358600000006987e-05,1.5,2.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,1,PRINTED_EQ19_MODULUS_POWER_1,,,FOLDED_BUT_BRANCH_RECOVERABLE,False,2,1.706324202513656e+18,True
1,1,0,1.0,1.0,1.0,0,1.499926,7.359e-05,7.358600000006987e-05,1.5,2.5,REF7_2p5,133,OUR_MOVING_SAMPLE_INTERPRETATION,2,STANDARD_AR_PSD_MODULUS_POWER_2_CONTROL,,,FOLDED_BUT_BRANCH_RECOVERABLE,False,2,1.706324202513656e+18,True
