aperture_tag,aperture_m,note,f_hz,theta_rel_deg,phi1_deg,phi2_deg,delta_u,steering_corr,bartlett_dual_peak,crb_sigma_u,L_required_lambda_over_du_m,resolved_corr_lt_0p95,resolved_sigma_u_lt_du,is_pm_mirror
L14m,14.0,理论基准孔径（非装备需求）,200.0,30.0,5.0,20.0,0.048932234313447176,0.9824464099711987,True,0.010442367873665304,153.2731972130467,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,30.0,10.0,15.0,0.016352228214635334,0.9980306220036148,False,0.010442367873665304,458.6530900594611,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,30.0,10.0,20.0,0.039070850603069474,0.9887876298836115,True,0.010442367873665304,191.9589638883057,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,-20.0,2.0,0.029849103116593667,0.9934468262690893,False,0.010442367873665304,251.26383096685447,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,-20.0,5.0,0.02825103865291856,0.9941285520101788,False,0.010442367873665304,265.47696501152143,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,-20.0,10.0,0.022557566113149796,0.9962543020754586,False,0.010442367873665304,332.4826784228251,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,-15.0,2.0,0.016732500365013725,0.9979380170782309,False,0.010442367873665304,448.22948372270054,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,-15.0,5.0,0.015134435901338616,0.9983128887688284,False,0.010442367873665304,495.55860878413296,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,-15.0,10.0,0.009440963361569854,0.9993432873748305,False,0.010442367873665304,794.4104550314547,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,-10.0,2.0,0.007291537003443871,0.9996082448536121,False,0.010442367873665304,1028.589719349661,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,-10.0,5.0,0.0056934725397687624,0.9997611361076624,False,0.010442367873665304,1317.2980018104397,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,-10.0,10.0,0.0,0.9999999999999998,False,0.010442367873665304,inf,False,False,True
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,-5.0,2.0,0.0015980644636751085,0.9999811802999546,False,0.010442367873665304,4693.177384566868,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,-5.0,5.0,0.0,0.9999999999999998,False,0.010442367873665304,inf,False,False,True
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,-5.0,10.0,0.0056934725397687624,0.9997611361076624,False,0.010442367873665304,1317.2980018104397,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,-2.0,2.0,0.0,1.0000000000000002,False,0.010442367873665304,inf,False,False,True
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,-2.0,5.0,0.0015980644636751085,0.9999811802999546,False,0.010442367873665304,4693.177384566868,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,-2.0,10.0,0.007291537003443871,0.9996082448536121,False,0.010442367873665304,1028.589719349661,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,-1.0,2.0,0.00022843406864775373,0.999999615454078,False,0.010442367873665304,32832.23051796635,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,-1.0,5.0,0.0018264985323228622,0.9999754154632721,False,0.010442367873665304,4106.217370162254,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,-1.0,10.0,0.007519971072091625,0.9995833170768358,False,0.010442367873665304,997.3442621121586,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,1.0,2.0,0.00022843406864775373,0.999999615454078,False,0.010442367873665304,32832.23051796635,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,1.0,5.0,0.0018264985323228622,0.9999754154632721,False,0.010442367873665304,4106.217370162254,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,1.0,10.0,0.007519971072091625,0.9995833170768358,False,0.010442367873665304,997.3442621121586,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,2.0,5.0,0.0015980644636751085,0.9999811802999546,False,0.010442367873665304,4693.177384566868,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,2.0,10.0,0.007291537003443871,0.9996082448536121,False,0.010442367873665304,1028.589719349661,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,2.0,15.0,0.016732500365013725,0.9979380170782309,False,0.010442367873665304,448.22948372270054,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,2.0,20.0,0.029849103116593667,0.9934468262690893,True,0.010442367873665304,251.26383096685447,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,5.0,10.0,0.0056934725397687624,0.9997611361076624,False,0.010442367873665304,1317.2980018104397,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,5.0,15.0,0.015134435901338616,0.9983128887688284,False,0.010442367873665304,495.55860878413296,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,5.0,20.0,0.02825103865291856,0.9941285520101788,True,0.010442367873665304,265.47696501152143,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,10.0,15.0,0.009440963361569854,0.9993432873748305,False,0.010442367873665304,794.4104550314547,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,60.0,10.0,20.0,0.022557566113149796,0.9962543020754586,False,0.010442367873665304,332.4826784228251,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,-20.0,2.0,3.655460858915573e-18,0.9999999999999998,False,0.010442367873665304,2.0517248821602609e+18,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,-20.0,5.0,3.4597544058884955e-18,0.9999999999999998,False,0.010442367873665304,2.167783929181509e+18,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,-20.0,10.0,2.7625051137023676e-18,0.9999999999999998,False,0.010442367873665304,2.714927101057323e+18,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,-15.0,2.0,2.0491403013745943e-18,0.9999999999999998,False,0.010442367873665304,3.660071491917311e+18,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,-15.0,5.0,1.853433848347517e-18,0.9999999999999998,False,0.010442367873665304,4.0465431267950807e+18,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,-15.0,10.0,1.156184556161389e-18,0.9999999999999998,False,0.010442367873665304,6.486853642899805e+18,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,-10.0,2.0,8.929557452132053e-19,0.9999999999999998,False,0.010442367873665304,8.399072451467651e+18,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,-10.0,5.0,6.972492921861279e-19,0.9999999999999998,False,0.010442367873665304,1.0756554483525966e+19,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,-10.0,10.0,0.0,0.9999999999999998,False,0.010442367873665304,inf,False,False,True
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,-5.0,2.0,1.9570645302707744e-19,0.9999999999999998,False,0.010442367873665304,3.832270159718402e+19,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,-5.0,5.0,0.0,0.9999999999999998,False,0.010442367873665304,inf,False,False,True
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,-5.0,10.0,6.972492921861279e-19,0.9999999999999998,False,0.010442367873665304,1.0756554483525966e+19,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,-2.0,2.0,0.0,0.9999999999999998,False,0.010442367873665304,inf,False,False,True
L14m,14.0,理论基准孔径（非装备需求）,200.0,90.0,-2.0,5.0,1.9570645302707744e-19,0.9999999999999998,False,0.010442367873665304,3.832270159718402e+19,False,False,False
