z_s_m,branch_i,branch_j,phi_i_deg,phi_j_deg,theta_rel_deg,delta_u,aperture,aperture_m,corr,crb_sigma_u,resolved_corr,resolved_sigma_u,is_pm_mirror
200.0,E2,E5,-13.172148672704868,13.147062056720376,60.0,4.9840755430075045e-05,14m,14.0,0.9999999713967247,0.008353894298932244,False,False,True
200.0,E2,E5,-13.172148672704868,13.147062056720376,60.0,4.9840755430075045e-05,70m,70.0,0.9999992849182654,0.001670778859786449,False,False,True
200.0,E3,E4,14.15881658395179,-0.30359659618399015,0.0,0.03036453859125643,14m,14.0,0.9894165847378609,0.008353894298932244,False,True,False
200.0,E3,E4,14.15881658395179,-0.30359659618399015,0.0,0.03036453859125643,70m,70.0,0.7545380402899121,0.001670778859786449,True,True,False
200.0,E3,E4,14.15881658395179,-0.30359659618399015,30.0,0.02629646179422107,14m,14.0,0.992056248595889,0.008353894298932244,False,True,False
200.0,E3,E4,14.15881658395179,-0.30359659618399015,30.0,0.02629646179422107,70m,70.0,0.8122648759778571,0.001670778859786449,True,True,False
200.0,E3,E4,14.15881658395179,-0.30359659618399015,60.0,0.015182269295628215,14m,14.0,0.997347951725563,0.008353894298932244,False,True,False
200.0,E3,E4,14.15881658395179,-0.30359659618399015,60.0,0.015182269295628215,70m,70.0,0.934928275036256,0.001670778859786449,True,True,False
200.0,E3,E5,14.15881658395179,13.147062056720376,0.0,0.0041680470997541574,14m,14.0,0.9997999740877079,0.008353894298932244,False,False,False
200.0,E3,E5,14.15881658395179,13.147062056720376,0.0,0.0041680470997541574,70m,70.0,0.9950063974492689,0.001670778859786449,False,True,False
200.0,E3,E5,14.15881658395179,13.147062056720376,30.0,0.0036096346725572603,14m,14.0,0.9998499783626762,0.008353894298932244,False,False,False
200.0,E3,E5,14.15881658395179,13.147062056720376,30.0,0.0036096346725572603,70m,70.0,0.9962534227290353,0.001670778859786449,False,True,False
200.0,E3,E5,14.15881658395179,13.147062056720376,60.0,0.0020840235498770787,14m,14.0,0.9999499913187917,0.008353894298932244,False,False,False
200.0,E3,E5,14.15881658395179,13.147062056720376,60.0,0.0020840235498770787,70m,70.0,0.9987502235334844,0.001670778859786449,False,True,False
200.0,E4,E5,-0.30359659618399015,13.147062056720376,0.0,0.026196491491502272,14m,14.0,0.9921163928224832,0.008353894298932244,False,True,False
200.0,E4,E5,-0.30359659618399015,13.147062056720376,0.0,0.026196491491502272,70m,70.0,0.8136065903026002,0.001670778859786449,True,True,False
200.0,E4,E5,-0.30359659618399015,13.147062056720376,30.0,0.02268682712166381,14m,14.0,0.9940838631807611,0.008353894298932244,False,True,False
200.0,E4,E5,-0.30359659618399015,13.147062056720376,30.0,0.02268682712166381,70m,70.0,0.8581558551784266,0.001670778859786449,True,True,False
200.0,E4,E5,-0.30359659618399015,13.147062056720376,60.0,0.013098245745751136,14m,14.0,0.9980256649126118,0.008353894298932244,False,True,False
200.0,E4,E5,-0.30359659618399015,13.147062056720376,60.0,0.013098245745751136,70m,70.0,0.9513243951380119,0.001670778859786449,False,True,False
210.0,E10,E11,0.19969894161056645,-12.330012858527402,0.0,0.02306007584970926,14m,14.0,0.993887947558584,0.008353894298932244,False,True,False
210.0,E10,E11,0.19969894161056645,-12.330012858527402,0.0,0.02306007584970926,70m,70.0,0.8536621536756044,0.001670778859786449,True,True,False
210.0,E10,E11,0.19969894161056645,-12.330012858527402,30.0,0.019970611499044222,14m,14.0,0.9954138994153894,0.008353894298932244,False,True,False
210.0,E10,E11,0.19969894161056645,-12.330012858527402,30.0,0.019970611499044222,70m,70.0,0.8890030056356022,0.001670778859786449,True,True,False
210.0,E10,E11,0.19969894161056645,-12.330012858527402,60.0,0.01153003792485463,14m,14.0,0.9984699247718922,0.008353894298932244,False,True,False
210.0,E10,E11,0.19969894161056645,-12.330012858527402,60.0,0.01153003792485463,70m,70.0,0.9621587327898646,0.001670778859786449,False,True,False
210.0,E10,E9,0.19969894161056645,-13.189884377444073,0.0,0.026374722729777145,14m,14.0,0.9920090068137737,0.008353894298932244,False,True,False
210.0,E10,E9,0.19969894161056645,-13.189884377444073,0.0,0.026374722729777145,70m,70.0,0.8112118249880231,0.001670778859786449,True,True,False
210.0,E10,E9,0.19969894161056645,-13.189884377444073,30.0,0.022841179901757824,14m,14.0,0.9940032294231158,0.008353894298932244,False,True,False
210.0,E10,E9,0.19969894161056645,-13.189884377444073,30.0,0.022841179901757824,70m,70.0,0.8563048133521203,0.001670778859786449,True,True,False
210.0,E10,E9,0.19969894161056645,-13.189884377444073,60.0,0.013187361364888572,14m,14.0,0.9979987240822507,0.008353894298932244,False,True,False
210.0,E10,E9,0.19969894161056645,-13.189884377444073,60.0,0.013187361364888572,70m,70.0,0.9506695789039116,0.001670778859786449,False,True,False
210.0,E11,E9,-12.330012858527402,-13.189884377444073,0.0,0.003314646880067884,14m,14.0,0.9998734958018884,0.008353894298932244,False,False,False
210.0,E11,E9,-12.330012858527402,-13.189884377444073,0.0,0.003314646880067884,70m,70.0,0.9968402136186794,0.001670778859786449,False,True,False
210.0,E11,E9,-12.330012858527402,-13.189884377444073,30.0,0.0028705684027136025,14m,14.0,0.9999051209702425,0.008353894298932244,False,False,False
210.0,E11,E9,-12.330012858527402,-13.189884377444073,30.0,0.0028705684027136025,70m,70.0,0.9976296098809725,0.001670778859786449,False,True,False
210.0,E11,E9,-12.330012858527402,-13.189884377444073,60.0,0.001657323440033942,14m,14.0,0.9999683730692908,0.008353894298932244,False,False,False
210.0,E11,E9,-12.330012858527402,-13.189884377444073,60.0,0.001657323440033942,70m,70.0,0.9992095029524819,0.001670778859786449,False,False,False
