f_hz,zs_true,mode_id,k_r,phi_180,phi_190,phi_200,phi_210,phi_220,A_m_true
235.0,200.0,0,0.9842991002,0.0,0.0,0.0,1.2237861301400695e-06,2.588778352219399e-07,0.0
235.0,200.0,1,0.9841694865583334,0.0,0.0,0.0,6.786141020711513e-07,0.0,0.0
235.0,200.0,2,0.9840398729166666,0.0,0.0,4.0799322391649207e-07,0.0,0.0,1.6645847076177283e-13
235.0,200.0,3,0.983910259275,0.0,6.934356042620511e-08,1.3083690646453666e-08,0.0,0.0,1.7118296093209915e-16
235.0,200.0,4,0.9837806456333333,0.0,3.357173227414016e-08,0.0,0.0,0.0,0.0
235.0,200.0,5,0.9836510319916667,1.862851479472741e-08,0.0,0.0,0.0,0.0,0.0
235.0,200.0,6,0.9835214183500001,4.809906073432915e-10,0.0,0.0,0.0,0.0,0.0
235.0,200.0,7,0.9833918047083333,0.0,0.0,0.0,0.0,0.0,0.0
235.0,200.0,8,0.9832621910666667,0.0,0.0,0.0,0.0,0.0,0.0
235.0,200.0,9,0.983132577425,0.0,0.0,0.0,0.0,0.0,0.0
235.0,200.0,10,0.9830029637833333,0.0,0.0,0.0,0.0,0.0,0.0
235.0,200.0,11,0.9828733501416667,0.0,0.0,0.0,0.0,0.0,0.0
235.0,200.0,12,0.9827437365,0.0,0.0,0.0,0.0,0.0,0.0
235.0,200.0,13,0.9826141228583334,0.0,0.0,0.0,0.0,0.0,0.0
235.0,200.0,14,0.9824845092166667,0.0,0.0,0.0,0.0,0.0,0.0
235.0,200.0,15,0.982354895575,0.0,0.0,0.0,0.0,1.54930414573755e-05,0.0
235.0,200.0,16,0.9822252819333334,0.0,0.0,0.0,2.992708105011842e-06,6.330728683678954e-07,0.0
235.0,220.0,0,0.9842991002,0.0,0.0,0.0,1.2237861301400695e-06,2.131456776078265e-05,0.0
235.0,220.0,1,0.9841694865583334,0.0,0.0,0.0,4.768946178955956e-06,8.65262554725639e-07,0.0
235.0,220.0,2,0.9840398729166666,0.0,0.0,4.0799322391649207e-07,2.359416845138185e-06,0.0,0.0
235.0,220.0,3,0.983910259275,0.0,6.934356042620511e-08,1.4870494078422789e-06,0.0,0.0,0.0
235.0,220.0,4,0.9837806456333333,0.0,2.9362084524109443e-07,4.906587037112299e-08,0.0,0.0,0.0
235.0,220.0,5,0.9836510319916667,1.862851479472741e-08,1.305677133132119e-07,0.0,0.0,0.0,0.0
235.0,220.0,6,0.9835214183500001,7.555257185742913e-08,0.0,0.0,0.0,0.0,0.0
235.0,220.0,7,0.9833918047083333,2.0069406616584766e-09,0.0,0.0,0.0,0.0,0.0
235.0,220.0,8,0.9832621910666667,0.0,0.0,0.0,0.0,0.0,0.0
235.0,220.0,9,0.983132577425,0.0,0.0,0.0,0.0,0.0,0.0
235.0,220.0,10,0.9830029637833333,0.0,0.0,0.0,0.0,0.0,0.0
235.0,220.0,11,0.9828733501416667,0.0,0.0,0.0,0.0,0.0,0.0
235.0,220.0,12,0.9827437365,0.0,0.0,0.0,0.0,0.0,0.0
235.0,220.0,13,0.9826141228583334,0.0,0.0,0.0,0.0,0.0,0.0
235.0,220.0,14,0.9824845092166667,0.0,0.0,0.0,0.0,0.0,0.0
235.0,220.0,15,0.982354895575,0.0,0.0,0.0,0.0,1.54930414573755e-05,0.0
235.0,220.0,16,0.9822252819333334,0.0,0.0,0.0,2.992708105011842e-06,4.8311135677067765e-05,0.0
283.0,180.0,0,1.185360908,5.649474758007136e-10,0.0,0.0,0.0,0.0,0.0
283.0,180.0,1,1.1852313650000001,2.2743690730742146e-10,0.0,0.0,0.0,0.0,0.0
283.0,180.0,2,1.185101822,0.0,0.0,0.0,0.0,0.0,0.0
283.0,180.0,3,1.1849722790000001,0.0,0.0,0.0,0.0,0.0,0.0
283.0,180.0,4,1.184842736,0.0,0.0,0.0,0.0,0.0,0.0
283.0,180.0,5,1.184713193,0.0,0.0,0.0,0.0,0.0,0.0
283.0,180.0,6,1.18458365,0.0,0.0,0.0,0.0,0.0,0.0
283.0,180.0,7,1.184454107,0.0,0.0,0.0,0.0,0.0,0.0
283.0,180.0,8,1.184324564,0.0,0.0,0.0,0.0,4.2387234907437176e-07,0.0
283.0,180.0,9,1.184195021,0.0,0.0,0.0,0.0,1.8824973133177969e-06,0.0
283.0,180.0,10,1.184065478,0.0,0.0,0.0,8.78694431207804e-08,4.153627760388201e-07,0.0
283.0,180.0,11,1.183935935,0.0,0.0,1.5936444697217341e-09,4.073269455773239e-07,0.0,0.0
283.0,180.0,12,1.183806392,0.0,0.0,2.175595909648095e-08,2.984399111483086e-08,0.0,0.0
283.0,180.0,13,1.183676849,0.0,1.2711814845189867e-09,6.987763072174863e-08,0.0,0.0,0.0
283.0,180.0,14,1.183547306,0.0,7.917183848959988e-09,0.0,0.0,0.0,0.0
283.0,180.0,15,1.183417763,2.793661324496095e-10,7.56047407080019e-09,0.0,0.0,0.0,0.0
283.0,180.0,16,1.1832882200000001,1.6503930829192523e-09,0.0,0.0,0.0,0.0,0.0
283.0,200.0,0,1.185360908,2.2743690730742146e-10,0.0,0.0,0.0,0.0,0.0
283.0,200.0,1,1.1852313650000001,0.0,0.0,0.0,0.0,0.0,0.0
283.0,200.0,2,1.185101822,0.0,0.0,0.0,0.0,0.0,0.0
283.0,200.0,3,1.1849722790000001,0.0,0.0,0.0,0.0,0.0,0.0
283.0,200.0,4,1.184842736,0.0,0.0,0.0,0.0,0.0,0.0
283.0,200.0,5,1.184713193,0.0,0.0,0.0,0.0,0.0,0.0
283.0,200.0,6,1.18458365,0.0,0.0,0.0,0.0,0.0,0.0
283.0,200.0,7,1.184454107,0.0,0.0,0.0,0.0,0.0,0.0
283.0,200.0,8,1.184324564,0.0,0.0,0.0,0.0,1.7878740118248946e-06,0.0
283.0,200.0,9,1.184195021,0.0,0.0,0.0,0.0,4.153627760388201e-07,0.0
283.0,200.0,10,1.184065478,0.0,0.0,0.0,4.010320499219229e-07,0.0,0.0
283.0,200.0,11,1.183935935,0.0,0.0,7.555440788564584e-09,2.984399111483086e-08,0.0,5.708468550950543e-17
283.0,200.0,12,1.183806392,0.0,0.0,6.987763072174863e-08,0.0,0.0,4.882883275285068e-15
283.0,200.0,13,1.183676849,0.0,6.487717346459455e-09,0.0,0.0,0.0,0.0
283.0,200.0,14,1.183547306,0.0,7.56047407080019e-09,0.0,0.0,0.0,0.0
283.0,200.0,15,1.183417763,1.53033611738351e-09,0.0,0.0,0.0,0.0,0.0
283.0,200.0,16,1.1832882200000001,6.806374504009235e-10,0.0,0.0,0.0,0.0,0.0
283.0,220.0,0,1.185360908,3.0386169409535267e-09,0.0,0.0,0.0,0.0,0.0
283.0,220.0,1,1.1852313650000001,1.2583567894353127e-09,0.0,0.0,0.0,0.0,0.0
283.0,220.0,2,1.185101822,0.0,0.0,0.0,0.0,0.0,0.0
283.0,220.0,3,1.1849722790000001,0.0,0.0,0.0,0.0,0.0,0.0
283.0,220.0,4,1.184842736,0.0,0.0,0.0,0.0,0.0,0.0
283.0,220.0,5,1.184713193,0.0,0.0,0.0,0.0,0.0,0.0
283.0,220.0,6,1.18458365,0.0,0.0,0.0,0.0,0.0,0.0
283.0,220.0,7,1.184454107,0.0,0.0,0.0,0.0,0.0,0.0
283.0,220.0,8,1.184324564,0.0,0.0,0.0,0.0,1.7878740118248946e-06,0.0
283.0,220.0,9,1.184195021,0.0,0.0,0.0,0.0,7.435454926962839e-06,0.0
283.0,220.0,10,1.184065478,0.0,0.0,0.0,4.010320499219229e-07,1.700603566860086e-06,0.0
283.0,220.0,11,1.183935935,0.0,0.0,7.555440788564584e-09,1.740041626590026e-06,0.0,0.0
283.0,220.0,12,1.183806392,0.0,0.0,1.0340334711145198e-07,1.324265797393317e-07,0.0,0.0
283.0,220.0,13,1.183676849,0.0,6.487717346459455e-09,3.223281328246233e-07,0.0,0.0,0.0
283.0,220.0,14,1.183547306,0.0,3.8643101614610395e-08,0.0,0.0,0.0,0.0
283.0,220.0,15,1.183417763,1.53033611738351e-09,3.75904004670247e-08,0.0,0.0,0.0,0.0
283.0,220.0,16,1.1832882200000001,8.57093308503919e-09,0.0,0.0,0.0,0.0,0.0
338.0,180.0,0,1.415744231,0.0,0.0,0.0,0.0,2.3384466601328187e-08,0.0
338.0,180.0,1,1.4156146197714286,0.0,0.0,0.0,0.0,1.470746804699268e-07,0.0
338.0,180.0,2,1.415485008542857,0.0,0.0,0.0,2.2172660507635337e-09,8.710822680768645e-08,0.0
338.0,180.0,3,1.4153553973142856,0.0,0.0,0.0,1.6348282160904992e-08,0.0,0.0
338.0,180.0,4,1.4152257860857143,0.0,0.0,1.0848467013601871e-10,1.766559973148679e-08,0.0,0.0
338.0,180.0,5,1.4150961748571427,0.0,0.0,1.1717579284642248e-09,0.0,0.0,0.0
338.0,180.0,6,1.4149665636285713,0.0,0.0,3.121156639807063e-09,0.0,0.0,0.0
338.0,180.0,7,1.4148369524,0.0,5.7046903631507835e-11,0.0,0.0,0.0,0.0
338.0,180.0,8,1.4147073411714284,0.0,4.2147003208661714e-10,0.0,0.0,0.0,0.0
338.0,180.0,9,1.414577729942857,5.377721733201815e-12,1.1844460023891352e-11,0.0,0.0,0.0,0.0
338.0,180.0,10,1.4144481187142857,4.303634631910149e-11,0.0,0.0,0.0,0.0,0.0
338.0,180.0,11,1.4143185074857143,4.227933836364935e-12,0.0,0.0,0.0,0.0,0.0
338.0,180.0,12,1.4141888962571427,0.0,0.0,0.0,0.0,0.0,0.0
338.0,180.0,13,1.4140592850285714,0.0,0.0,0.0,0.0,0.0,0.0
338.0,180.0,14,1.4139296738,0.0,0.0,0.0,0.0,0.0,0.0
338.0,180.0,15,1.4138000625714284,0.0,0.0,0.0,0.0,0.0,0.0
338.0,180.0,16,1.413670451342857,0.0,0.0,0.0,0.0,5.691611102065477e-08,0.0
338.0,200.0,0,1.415744231,0.0,0.0,0.0,0.0,1.322759550248513e-07,0.0
338.0,200.0,1,1.4156146197714286,0.0,0.0,0.0,0.0,8.710822680768645e-08,0.0
338.0,200.0,2,1.415485008542857,0.0,0.0,0.0,1.3570168860610334e-08,0.0,0.0
338.0,200.0,3,1.4153553973142856,0.0,0.0,0.0,1.766559973148679e-08,0.0,0.0
338.0,200.0,4,1.4152257860857143,0.0,0.0,7.162006454563888e-10,0.0,0.0,5.129433645521479e-19
338.0,200.0,5,1.4150961748571427,0.0,0.0,3.121156639807063e-09,0.0,0.0,9.741618770211717e-18
338.0,200.0,6,1.4149665636285713,0.0,0.0,0.0,0.0,0.0,0.0
338.0,200.0,7,1.4148369524,0.0,4.19909632454195e-10,0.0,0.0,0.0,0.0
338.0,200.0,8,1.4147073411714284,0.0,1.1844460023891352e-11,0.0,0.0,0.0,0.0
338.0,200.0,9,1.414577729942857,4.2514415474203936e-11,0.0,0.0,0.0,0.0,0.0
338.0,200.0,10,1.4144481187142857,4.227933836364935e-12,0.0,0.0,0.0,0.0,0.0
338.0,200.0,11,1.4143185074857143,0.0,0.0,0.0,0.0,0.0,0.0
338.0,200.0,12,1.4141888962571427,0.0,0.0,0.0,0.0,0.0,0.0
338.0,200.0,13,1.4140592850285714,0.0,0.0,0.0,0.0,0.0,0.0
338.0,200.0,14,1.4139296738,0.0,0.0,0.0,0.0,0.0,0.0
338.0,200.0,15,1.4138000625714284,0.0,0.0,0.0,0.0,0.0,0.0
338.0,200.0,16,1.413670451342857,0.0,0.0,0.0,0.0,3.091260484779906e-07,0.0
338.0,220.0,0,1.415744231,0.0,0.0,0.0,0.0,1.322759550248513e-07,0.0
338.0,220.0,1,1.4156146197714286,0.0,0.0,0.0,0.0,7.743452531485638e-07,0.0
338.0,220.0,2,1.415485008542857,0.0,0.0,0.0,1.3570168860610334e-08,4.718503844287641e-07,0.0
338.0,220.0,3,1.4153553973142856,0.0,0.0,0.0,9.423384779338949e-08,0.0,0.0
338.0,220.0,4,1.4152257860857143,0.0,0.0,7.162006454563888e-10,1.0373757274351221e-07,0.0,0.0
338.0,220.0,5,1.4150961748571427,0.0,0.0,7.494694402865195e-09,0.0,0.0,0.0
338.0,220.0,6,1.4149665636285713,0.0,0.0,1.9805718167731408e-08,0.0,0.0,0.0
338.0,220.0,7,1.4148369524,0.0,4.19909632454195e-10,0.0,0.0,0.0,0.0
338.0,220.0,8,1.4147073411714284,0.0,2.882830016870389e-09,0.0,0.0,0.0,0.0
338.0,220.0,9,1.414577729942857,4.2514415474203936e-11,8.393010664243007e-11,0.0,0.0,0.0,0.0
338.0,220.0,10,1.4144481187142857,3.1669982797355336e-10,0.0,0.0,0.0,0.0,0.0
338.0,220.0,11,1.4143185074857143,3.2146880657446933e-11,0.0,0.0,0.0,0.0,0.0
338.0,220.0,12,1.4141888962571427,0.0,0.0,0.0,0.0,0.0,0.0
338.0,220.0,13,1.4140592850285714,0.0,0.0,0.0,0.0,0.0,0.0
338.0,220.0,14,1.4139296738,0.0,0.0,0.0,0.0,0.0,0.0
338.0,220.0,15,1.4138000625714284,0.0,0.0,0.0,0.0,0.0,0.0
338.0,220.0,16,1.413670451342857,0.0,0.0,0.0,0.0,3.091260484779906e-07,0.0
