f_hz,zs,mode_id,k_mod,k_prt,abs_diff,pass
235.0,220.0,144,0.961592972278595,0.9615929922,1.992140508111362e-08,True
235.0,220.0,168,0.9560465216636658,0.9560465316,9.93633419987816e-09,True
283.0,180.0,0,1.1853609085083008,1.185360908,5.083007348360979e-10,True
283.0,180.0,30,1.1814745664596558,1.181474618,5.154034421472886e-08,True
283.0,180.0,60,1.1777268648147583,1.17772683,3.4814758409495994e-08,True
283.0,180.0,90,1.1738303899765015,1.173830379,1.0976501485515655e-08,True
283.0,180.0,120,1.168839931488037,1.168839961,2.951196287348523e-08,True
283.0,180.0,150,1.1630361080169678,1.163036097,1.1016967782495612e-08,True
283.0,180.0,180,1.1565632820129395,1.156563264,1.8012939362321845e-08,True
283.0,180.0,210,1.1494972705841064,1.149497236,3.458410646750565e-08,True
283.0,200.0,0,1.1853609085083008,1.185360908,5.083007348360979e-10,True
283.0,200.0,30,1.1814745664596558,1.181474618,5.154034421472886e-08,True
283.0,200.0,60,1.1777268648147583,1.17772683,3.4814758409495994e-08,True
283.0,200.0,90,1.1738303899765015,1.173830379,1.0976501485515655e-08,True
283.0,200.0,120,1.168839931488037,1.168839961,2.951196287348523e-08,True
283.0,200.0,150,1.1630361080169678,1.163036097,1.1016967782495612e-08,True
283.0,200.0,180,1.1565632820129395,1.156563264,1.8012939362321845e-08,True
283.0,200.0,210,1.1494972705841064,1.149497236,3.458410646750565e-08,True
283.0,220.0,0,1.1853609085083008,1.185360908,5.083007348360979e-10,True
283.0,220.0,30,1.1814745664596558,1.181474618,5.154034421472886e-08,True
283.0,220.0,60,1.1777268648147583,1.17772683,3.4814758409495994e-08,True
283.0,220.0,90,1.1738303899765015,1.173830379,1.0976501485515655e-08,True
283.0,220.0,120,1.168839931488037,1.168839961,2.951196287348523e-08,True
283.0,220.0,150,1.1630361080169678,1.163036097,1.1016967782495612e-08,True
283.0,220.0,180,1.1565632820129395,1.156563264,1.8012939362321845e-08,True
283.0,220.0,210,1.1494972705841064,1.149497236,3.458410646750565e-08,True
338.0,180.0,0,1.4157441854476929,1.415744231,4.5552307037510786e-08,True
338.0,180.0,35,1.4112077951431274,1.411207838,4.285687249527825e-08,True
338.0,180.0,70,1.406829595565796,1.406829597,1.4342040888237761e-09,True
338.0,180.0,105,1.4023500680923462,1.402350088,1.990765374770831e-08,True
338.0,180.0,140,1.396622896194458,1.396622946,4.9805541912917306e-08,True
338.0,180.0,175,1.3899437189102173,1.38994377,5.108978262668984e-08,True
338.0,180.0,210,1.3824886083602905,1.382488552,5.636029043465385e-08,True
338.0,180.0,245,1.3743475675582886,1.374347537,3.055828856624032e-08,True
338.0,200.0,0,1.4157441854476929,1.415744231,4.5552307037510786e-08,True
338.0,200.0,35,1.4112077951431274,1.411207838,4.285687249527825e-08,True
338.0,200.0,70,1.406829595565796,1.406829597,1.4342040888237761e-09,True
338.0,200.0,105,1.4023500680923462,1.402350088,1.990765374770831e-08,True
338.0,200.0,140,1.396622896194458,1.396622946,4.9805541912917306e-08,True
338.0,200.0,175,1.3899437189102173,1.38994377,5.108978262668984e-08,True
338.0,200.0,210,1.3824886083602905,1.382488552,5.636029043465385e-08,True
338.0,200.0,245,1.3743475675582886,1.374347537,3.055828856624032e-08,True
338.0,220.0,0,1.4157441854476929,1.415744231,4.5552307037510786e-08,True
338.0,220.0,35,1.4112077951431274,1.411207838,4.285687249527825e-08,True
338.0,220.0,70,1.406829595565796,1.406829597,1.4342040888237761e-09,True
338.0,220.0,105,1.4023500680923462,1.402350088,1.990765374770831e-08,True
338.0,220.0,140,1.396622896194458,1.396622946,4.9805541912917306e-08,True
338.0,220.0,175,1.3899437189102173,1.38994377,5.108978262668984e-08,True
338.0,220.0,210,1.3824886083602905,1.382488552,5.636029043465385e-08,True
338.0,220.0,245,1.3743475675582886,1.374347537,3.055828856624032e-08,True
