zs,zr,n,r0,r1,i,r,re,im
50.0,18.0,,,,1485.0,8722.5,-1.8876444300985895e-05,-0.00023893949401099235
50.0,18.0,,,,1584.0,8970.0,6.352708442136645e-05,0.00015478067507501692
50.0,18.0,,,,1683.0,9217.5009765625,0.00016751987277530134,0.00021099543664604425
50.0,18.0,,,,1782.0,9465.0,6.786485755583271e-05,3.8539259548997506e-05
50.0,18.0,,,,1881.0,9712.5,1.4912870938132983e-05,-0.00013094946916680783
50.0,18.0,,,,1980.0,9960.0,-6.107651279307902e-05,-0.00024637996102683246
50.0,70.0,1997.0,5010.0,10000.0,,,,
50.0,70.0,,,,0.0,5010.0,-0.00130142318084836,-0.0008862041286192834
50.0,70.0,,,,99.0,5257.5,0.0012521743774414062,0.0015248218551278114
50.0,70.0,,,,198.0,5505.0,-0.0005057291709817946,0.0002844681730493903
50.0,70.0,,,,297.0,5752.5,0.000914484029635787,0.0015379652613773942
50.0,70.0,,,,396.0,6000.0,-0.0010317504638805985,-0.00041019226773642004
50.0,70.0,,,,495.0,6247.50048828125,0.0008552669314667583,0.00019303361477795988
50.0,70.0,,,,594.0,6495.00048828125,0.0005422491231001914,0.0003564312937669456
50.0,70.0,,,,693.0,6742.50048828125,-0.00011687546066241339,0.00017387505795340985
50.0,70.0,,,,792.0,6990.00048828125,0.0006927218055352569,0.0001990921882679686
50.0,70.0,,,,891.0,7237.5,-0.0007804692140780389,0.00010662656859494746
50.0,70.0,,,,990.0,7485.0,0.0015002683503553271,0.00040033378172665834
50.0,70.0,,,,1089.0,7732.5,-0.0006741522811353207,-4.011519922642037e-05
50.0,70.0,,,,1188.0,7980.00048828125,0.0013909322442486882,-0.0007430025143548846
50.0,70.0,,,,1287.0,8227.5,-0.00019220197282265872,-0.00012271266314201057
50.0,70.0,,,,1386.0,8475.0,0.0005850427551195025,0.00015960265591274947
50.0,70.0,,,,1485.0,8722.5,1.5511972378590144e-05,0.00016311451327055693
50.0,70.0,,,,1584.0,8970.0,-0.00025523011572659016,-0.00024856964591890574
50.0,70.0,,,,1683.0,9217.5009765625,0.0008244850323535502,-0.0007905027596279979
50.0,70.0,,,,1782.0,9465.0,-0.00044829410035163164,0.0004922488587908447
50.0,70.0,,,,1881.0,9712.5,0.0006566920201294124,-0.0008492787019349635
50.0,70.0,,,,1980.0,9960.0,-0.0004738610005006194,0.00024409883189946413
