case,peak_id,k_peak,g_re,g_im,abs_g,prominence
zs4.0_zr70.0,13,1.3930093953653286,0.6706947504635622,2.0422920112858107,2.149601848636445,0.7733869138538441
zs4.0_zr70.0,14,1.394347247948272,-0.10303317842988775,2.01761263177377,2.0202417102293584,0.7743824263908909
zs4.0_zr70.0,15,1.3956064033204538,0.07379041082312328,2.1476336528262006,2.1489009589743904,0.8128274356467164
zs4.0_zr70.0,16,1.396944255903397,-0.9442996045674625,2.4263231491599475,2.6036024595424916,0.958274456726548
zs4.0_zr70.0,17,1.3982821084863404,-2.856326375313915,2.6396810225009872,3.8892822297778524,1.2440568161873813
zs4.0_zr70.0,18,1.4000134471230905,13.145317011264508,-5.884977089909487,14.40251070735237,11.7572852937619
zs4.0_zr70.0,19,1.401823482970602,-2.622123370257994,-1.2915594144907365,2.922953419063122,1.2759320845468018
zs4.0_zr70.0,20,1.4031613355535453,-0.965923819049904,-1.22067894232513,1.5566200257108187,0.9344094236630646
zs4.0_zr70.0,21,1.4056009490871477,-0.7482984345561187,-0.008033535292033038,0.7483415562752254,0.596111828865064
zs4.0_zr70.0,22,1.410558873365114,-3.6266431991716,-1.4470944302491242,3.9046924570515995,3.3034721946049337
zs4.0_zr70.0,23,1.4124476064233868,-0.740897746200447,0.8503323098074923,1.127827339368685,0.9590573456198015
zs4.0_zr70.0,24,1.4138641562170915,-0.7552605716825349,-0.6302385176741818,0.9836763290322582,0.8149063352833745
zs4.0_zr70.0,25,1.4152020088000348,-0.09451016293488101,-1.1556776867197098,1.1595357202259005,1.0539974143633244
zs4.0_zr70.0,26,1.416539861382978,0.8893925275163572,-1.2882970037399153,1.5654801940130632,1.2081402925398752
zs4.0_zr70.0,27,1.41779901675516,1.599315909463728,-1.9505439037794108,2.522386350033399,1.570385176507283
zs4.0_zr70.0,28,1.41953035539191,-9.41123095975055,4.042530844334733,10.24272052753393,9.140901812639852
zs4.0_zr70.0,29,1.4212616940286602,2.0537325125106687,0.21508607481729863,2.0649647097526134,0.9631459948585361
zs4.0_zr70.0,30,1.42354391314074,-0.1616277790633186,-1.0753279011162855,1.087406839174785,0.9009889855492983
zs4.0_zr70.0,31,1.4258261322528196,-2.578122520880579,1.5421905123426987,3.004174979762575,1.892954621136082
zs4.0_zr70.0,32,1.4276361681003311,15.610428403445841,6.530681137433714,16.921444118571593,14.968116844059136
zs4.0_zr70.0,33,1.4293675067370812,-3.3034059510642093,-3.3592456104406074,4.711371557072412,2.758044282559954
zs4.0_zr70.0,34,1.4307053593200245,-0.7581315247854539,-3.2920532650050274,3.3782211455888707,2.172774183727583
