case,peak_id,k_peak,mode_id,k_true,delta_k,status
zs4.0_zr70.0,28,1.41953035539191,11,1.4195870161056519,-5.666071374177406e-05,SELECTED
zs4.0_zr70.0,29,1.4212616940286602,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,30,1.42354391314074,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,31,1.4258261322528196,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,32,1.4276361681003311,10,1.4275851249694824,5.104313084869361e-05,SELECTED
zs4.0_zr70.0,33,1.4293675067370812,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,34,1.4307053593200245,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,35,1.4319645146922064,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,36,1.4333023672751497,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,37,1.4350337059118998,9,1.4351578950881958,-0.0001241891762959746,SELECTED
zs4.0_zr70.0,38,1.4369224389701727,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,39,1.4383389887638773,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,40,1.4395981441360592,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,41,1.4409359967190025,-1,,,UNMATCHED_OR_AMBIGUOUS
zs4.0_zr70.0,42,1.4428247297772754,8,1.44283926486969,-1.4535092414558193e-05,SELECTED
zs4.0_zr70.0,43,1.4507731480641737,7,1.4506748914718628,9.825659231088579e-05,SELECTED
zs50.0_zr18.0,0,1.3624748775899174,16,1.3623950481414795,7.982944843787365e-05,SELECTED
zs50.0_zr18.0,1,1.3759321006301115,15,1.375969648361206,-3.75477310945449e-05,SELECTED
zs50.0_zr18.0,2,1.388602351562692,14,1.3885791301727295,2.322138996246892e-05,SELECTED
zs50.0_zr18.0,3,1.4000134471230905,13,1.4000681638717651,-5.47167486746325e-05,SELECTED
zs50.0_zr18.0,4,1.410558873365114,12,1.4104909896850586,6.788368005539169e-05,SELECTED
zs50.0_zr18.0,5,1.4177203195443986,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,6,1.4196090526026715,11,1.4195870161056519,2.2036497019595203e-05,SELECTED
zs50.0_zr18.0,7,1.421419088450183,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,8,1.4228356382438876,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,9,1.4241734908268309,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,10,1.4255900406205355,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,11,1.4275574708895697,10,1.4275851249694824,-2.7654079912675655e-05,SELECTED
zs50.0_zr18.0,12,1.429524901158604,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,13,1.4308627537415473,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,14,1.4321219091137292,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,15,1.4334597616966724,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,16,1.4349550087011385,9,1.4351578950881958,-0.00020288638705734385,SELECTED
zs50.0_zr18.0,17,1.4372372278132182,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,18,1.4384963831854,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,19,1.439755538557582,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,20,1.4410933911405253,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,21,1.4428247297772754,8,1.44283926486969,-1.4535092414558193e-05,SELECTED
zs50.0_zr18.0,22,1.4446347656247869,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,23,1.4458939209969688,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,24,1.4489631122166622,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,25,1.4506944508534123,7,1.4506748914718628,1.955938154951653e-05,SELECTED
zs50.0_zr18.0,26,1.4524257894901624,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,27,1.4536849448623443,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,28,1.4549441002345262,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,29,1.4584854747187879,6,1.4583847522735596,0.00010072244522829621,SELECTED
zs50.0_zr18.0,30,1.4600594189340153,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,31,1.4613185743061972,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,32,1.4626564268891404,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,33,1.4639155822613223,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr18.0,34,1.4654895264765497,5,1.465836763381958,-0.0003472369054082769,SELECTED
zs50.0_zr18.0,35,1.473437944763448,4,1.4730875492095947,0.0003503955538532999,SELECTED
zs50.0_zr70.0,0,1.3760894950516342,15,1.375969648361206,0.00011984669042819363,SELECTED
zs50.0_zr70.0,1,1.3883662599304079,14,1.3885791301727295,-0.00021287024232163887,SELECTED
zs50.0_zr70.0,2,1.4000134471230905,13,1.4000681638717651,-5.47167486746325e-05,SELECTED
zs50.0_zr70.0,3,1.4198451442349556,11,1.4195870161056519,0.000258128129303703,SELECTED
zs50.0_zr70.0,4,1.4257474350420583,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,5,1.4275574708895697,10,1.4275851249694824,-2.7654079912675655e-05,SELECTED
zs50.0_zr70.0,6,1.4354271919657067,9,1.4351578950881958,0.0002692968775108717,SELECTED
zs50.0_zr70.0,7,1.441014693929764,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,8,1.4428247297772754,8,1.44283926486969,-1.4535092414558193e-05,SELECTED
zs50.0_zr70.0,9,1.4447134628355482,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,10,1.4460513154184915,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,11,1.448727020584378,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,12,1.4505370564318896,7,1.4506748914718628,-0.000137835039973222,SELECTED
zs50.0_zr70.0,13,1.458091988664981,6,1.4583847522735596,-0.0002927636085785501,SELECTED
zs50.0_zr70.0,14,1.4639942794720837,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,15,1.4658043153195952,5,1.465836763381958,-3.2448062362799845e-05,SELECTED
zs50.0_zr70.0,16,1.467693048377868,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,17,1.473201853131164,4,1.4730875492095947,0.00011430392156919211,SELECTED
zs50.0_zr70.0,18,1.4748544945571527,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,19,1.4761136499293346,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,20,1.4773728053015165,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,21,1.479812418835119,3,1.479351282119751,0.0004611367153679602,SELECTED
zs50.0_zr70.0,22,1.4810715742073008,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,23,1.4823307295794828,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,24,1.4839833710054715,2,1.4840487241744995,-6.535316902800403e-05,SELECTED
zs50.0_zr70.0,25,1.4854786180099375,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,26,1.4869738650144035,1,1.486930251121521,4.361389288254358e-05,SELECTED
zs50.0_zr70.0,27,1.4886265064403923,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,28,1.4898856618125742,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,29,1.491144817184756,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,30,1.492403972556938,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,31,1.49366312792912,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,32,1.4949222833013018,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,33,1.4961814386734837,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,34,1.4974405940456657,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,35,1.4986997494178476,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,36,1.4999589047900295,-1,,,UNMATCHED_OR_AMBIGUOUS
zs50.0_zr70.0,37,1.5012180601622114,-1,,,UNMATCHED_OR_AMBIGUOUS
