env,pair_id,mechanism,z_true,J_true_star,J_alt_star,delta_J_env,delta_J_gt_0,delta_J_gt_0p5,static_blind
E1_shift50m,B01,B,180.0,0.09768512451211434,2.6691010683153698,2.5714159438032556,True,True,False
E1_shift50m,B01,B,200.0,0.09768512451211434,2.6691010683153698,2.5714159438032556,True,True,False
E1_shift50m,B01,B,220.0,0.09768512451211434,2.6691010683153698,2.5714159438032556,True,True,False
E2_shift150m_plus2,B01,B,180.0,0.05562182651196468,2.7084072232337726,2.652785396721808,True,True,False
E2_shift150m_plus2,B01,B,200.0,0.05562182651196468,2.7084072232337726,2.652785396721808,True,True,False
E2_shift150m_plus2,B01,B,220.0,0.05562182651196468,2.7084072232337726,2.652785396721808,True,True,False
E0_nominal,B02,B,180.0,0.0,2.7032757466020776,2.7032757466020776,True,True,False
E0_nominal,B02,B,200.0,0.0,2.730490141256918,2.730490141256918,True,True,False
E0_nominal,B02,B,220.0,0.0,2.718138233825739,2.718138233825739,True,True,False
E1_shift50m,B02,B,180.0,0.18012409978329902,2.7809102004510007,2.6007861006677016,True,True,False
E1_shift50m,B02,B,200.0,0.18012409978329902,2.7809102004510007,2.6007861006677016,True,True,False
E1_shift50m,B02,B,220.0,0.18012409978329902,2.7809102004510007,2.6007861006677016,True,True,False
E2_shift150m_plus2,B02,B,180.0,0.09640534276665479,2.71921417599579,2.622808833229135,True,True,False
E2_shift150m_plus2,B02,B,200.0,0.09640534276665479,2.71921417599579,2.622808833229135,True,True,False
E2_shift150m_plus2,B02,B,220.0,0.09640534276665479,2.71921417599579,2.622808833229135,True,True,False
E0_nominal,B03,B,180.0,0.0,1.3488380050264297,1.3488380050264297,True,True,False
E0_nominal,B03,B,200.0,0.0,1.1510264046214609,1.1510264046214609,True,True,False
E0_nominal,B03,B,220.0,0.0,1.3288487988808735,1.3288487988808735,True,True,False
E1_shift50m,B03,B,180.0,0.5634325279129582,1.7291126021365968,1.1656800742236386,True,True,False
E1_shift50m,B03,B,200.0,0.5634325279129582,1.7291126021365968,1.1656800742236386,True,True,False
E1_shift50m,B03,B,220.0,0.5634325279129582,1.7291126021365968,1.1656800742236386,True,True,False
E2_shift150m_plus2,B03,B,180.0,0.2951483860090378,1.3588593524209662,1.0637109664119284,True,True,False
E2_shift150m_plus2,B03,B,200.0,0.2951483860090378,1.3588593524209662,1.0637109664119284,True,True,False
E2_shift150m_plus2,B03,B,220.0,0.2951483860090378,1.3588593524209662,1.0637109664119284,True,True,False
E0_nominal,B04,B,180.0,0.0,1.9580935160971646,1.9580935160971646,True,True,False
E0_nominal,B04,B,200.0,0.0,1.647749845342147,1.647749845342147,True,True,False
E0_nominal,B04,B,220.0,0.0,1.9520133532663924,1.9520133532663924,True,True,False
E1_shift50m,B04,B,180.0,1.261863407461844,2.080675194477288,0.8188117870154439,True,True,False
E1_shift50m,B04,B,200.0,1.261863407461844,2.080675194477288,0.8188117870154439,True,True,False
E1_shift50m,B04,B,220.0,1.261863407461844,2.080675194477288,0.8188117870154439,True,True,False
E2_shift150m_plus2,B04,B,180.0,0.5499846672018445,1.8000449927814257,1.2500603255795812,True,True,False
E2_shift150m_plus2,B04,B,200.0,0.5499846672018445,1.8000449927814257,1.2500603255795812,True,True,False
E2_shift150m_plus2,B04,B,220.0,0.5499846672018445,1.8000449927814257,1.2500603255795812,True,True,False
E0_nominal,B05,B,180.0,0.0,2.7408647737145837,2.7408647737145837,True,True,False
E0_nominal,B05,B,200.0,0.0,2.648319344688156,2.648319344688156,True,True,False
E0_nominal,B05,B,220.0,0.0,2.7535475730894223,2.7535475730894223,True,True,False
E1_shift50m,B05,B,180.0,0.5269402004326146,3.0963060463090337,2.569365845876419,True,True,False
E1_shift50m,B05,B,200.0,0.5269402004326146,3.0963060463090337,2.569365845876419,True,True,False
E1_shift50m,B05,B,220.0,0.5269402004326146,3.0963060463090337,2.569365845876419,True,True,False
