span,zs,snr,method,k_hat,eq24_model_sorted_j,eq24_mode_id_kraken,oracle_sorted_j,oracle_mode_id_kraken,oracle_status,abs_k_err,match
sufficient_4990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.44286233,15,8,15,8,UNIQUE,2.3065130310140347e-05,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.45068563,16,7,16,7,UNIQUE,1.0738528137155257e-05,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.45835554,17,6,17,6,UNIQUE,2.9212273559675594e-05,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.46587204,18,5,18,5,UNIQUE,3.527661804203497e-05,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.47308175,19,4,19,4,UNIQUE,5.799209594758992e-06,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.48443321,21,2,21,2,UNIQUE,0.00038448582550043575,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.48688758,22,1,22,1,UNIQUE,4.267112152089858e-05,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.42752252,13,10,13,10,UNIQUE,6.260496948251593e-05,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.43519243,14,9,14,9,UNIQUE,3.4534911804273705e-05,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.46587204,18,5,18,5,UNIQUE,3.527661804203497e-05,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.47308175,19,4,19,4,UNIQUE,5.799209594758992e-06,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.48443321,21,2,21,2,UNIQUE,0.00038448582550043575,True
sufficient_4990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.48688758,22,1,22,1,UNIQUE,4.267112152089858e-05,True
sufficient_4990m,50.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.47983127,20,3,20,3,UNIQUE,0.00047998788024905537,True
sufficient_4990m,50.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,1.47983127,20,3,20,3,UNIQUE,0.00047998788024905537,True
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.2058623,0,23,0,23,UNIQUE,0.027717454829406796,True
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.21184482,1,22,0,23,UNIQUE,0.021734934829406694,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.21567977,2,21,0,23,UNIQUE,0.0178999848294068,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.21905453,3,20,0,23,UNIQUE,0.014525224829406769,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.22242929,4,19,0,23,UNIQUE,0.011150464829406737,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.29161182,5,18,3,20,UNIQUE,0.005113810760192905,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.31431474,6,17,4,19,UNIQUE,0.0007206031701660898,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.32075746,7,16,4,19,UNIQUE,0.005722116829834034,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.34054581,8,15,6,17,UNIQUE,0.007189952596130311,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.35128368,9,14,6,17,UNIQUE,0.003547917403869727,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.36294193,10,13,7,16,UNIQUE,0.000546881858520587,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.38441766,11,12,9,14,UNIQUE,0.004161470172729498,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.389173,12,11,9,14,UNIQUE,0.000593869827270499,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.39576912,13,10,10,13,UNIQUE,0.0042990438717651625,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.39653611,14,9,10,13,UNIQUE,0.0035320538717651395,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.39883708,15,8,10,13,UNIQUE,0.0012310838717650707,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.39975747,16,7,10,13,UNIQUE,0.0003106938717651886,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.41371669,17,6,11,12,UNIQUE,0.0032257003149414043,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.43902738,18,5,15,8,ORACLE_MODE_ID_AMBIGUOUS,0.0038118848696899743,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.48688758,19,4,22,1,UNIQUE,4.267112152089858e-05,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.50575554,20,3,22,1,UNIQUE,0.018825288878479007,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.52201574,21,2,22,1,UNIQUE,0.035085488878479065,False
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.52753807,22,1,22,1,UNIQUE,0.040607818878479085,True
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.389173,9,14,9,14,UNIQUE,0.000593869827270499,True
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.39975747,10,13,10,13,UNIQUE,0.0003106938717651886,True
sufficient_4990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.52753807,22,1,22,1,UNIQUE,0.040607818878479085,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.35220406,6,17,6,17,UNIQUE,0.00446829740386967,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.37613416,8,15,8,15,UNIQUE,0.0001645116387940515,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.39331475,9,14,9,14,UNIQUE,0.004735619827270554,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.41755165,12,11,12,11,UNIQUE,0.0020353661056518035,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.43105068,13,10,13,10,UNIQUE,0.0034655550305175975,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.44332252,15,8,15,8,UNIQUE,0.0004832551303100008,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,1.37613416,8,15,8,15,UNIQUE,0.0001645116387940515,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,1.39331475,9,14,9,14,UNIQUE,0.004735619827270554,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,1.41755165,12,11,12,11,UNIQUE,0.0020353661056518035,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,1.43105068,13,10,13,10,UNIQUE,0.0034655550305175975,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,1.44332252,15,8,15,8,UNIQUE,0.0004832551303100008,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.37521378,8,15,8,15,UNIQUE,0.0007558683612061134,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.38794582,9,14,9,14,UNIQUE,0.0006333101727293844,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.40006427,10,13,10,13,UNIQUE,3.893871765026091e-06,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.41049533,11,12,11,12,UNIQUE,4.3403149414533715e-06,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.41954582,12,11,12,11,UNIQUE,4.119610565189724e-05,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.42752252,13,10,13,10,UNIQUE,6.260496948251593e-05,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.43519243,14,9,14,9,UNIQUE,3.4534911804273705e-05,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.44286233,15,8,15,8,UNIQUE,2.3065130310140347e-05,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.45068563,16,7,16,7,UNIQUE,1.0738528137155257e-05,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.45835554,17,6,17,6,UNIQUE,2.9212273559675594e-05,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.46587204,18,5,18,5,UNIQUE,3.527661804203497e-05,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.37521378,8,15,8,15,UNIQUE,0.0007558683612061134,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.38794582,9,14,9,14,UNIQUE,0.0006333101727293844,True
insufficient_1990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.43519243,14,9,14,9,UNIQUE,3.4534911804273705e-05,True
insufficient_1990m,4.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.3890196,9,14,9,14,UNIQUE,0.0004404698272704177,True
insufficient_1990m,4.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,1.42061961,12,11,12,11,UNIQUE,0.0010325938943480661,True
insufficient_1990m,4.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,1.3890196,9,14,9,14,UNIQUE,0.0004404698272704177,True
insufficient_1990m,4.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,1.42061961,12,11,12,11,UNIQUE,0.0010325938943480661,True
insufficient_1990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.29452639,3,20,3,20,UNIQUE,0.0021992407601929553,True
insufficient_1990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.35036329,6,17,6,17,UNIQUE,0.002627527403869623,True
insufficient_1990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.36232834,7,16,7,16,UNIQUE,6.670814147957671e-05,True
insufficient_1990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.38840601,9,14,9,14,UNIQUE,0.00017312017272952396,True
insufficient_1990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.39975747,10,13,10,13,UNIQUE,0.0003106938717651886,True
insufficient_1990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.41034194,11,12,11,12,UNIQUE,0.00014904968505868865,True
insufficient_1990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.42230699,12,11,12,11,UNIQUE,0.0027199738943481933,True
insufficient_1990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.42767592,13,10,13,10,UNIQUE,9.079503051756532e-05,True
insufficient_1990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.43457883,14,9,14,9,UNIQUE,0.0005790650881958292,True
insufficient_1990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.44270893,15,8,15,8,UNIQUE,0.0001303348696899409,True
insufficient_1990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,1.46065651,17,6,17,6,UNIQUE,0.002271757726440393,True
insufficient_1990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.36232834,7,16,7,16,UNIQUE,6.670814147957671e-05,True
insufficient_1990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.38840601,9,14,9,14,UNIQUE,0.00017312017272952396,True
insufficient_1990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,1.41034194,11,12,11,12,UNIQUE,0.00014904968505868865,True
