span,zs,snr,k,abs_g,abs_g_db
insufficient_1990m,4.0,R0_NOISELESS,1.4109223583342978,82.07476564309874,-12.871744596682866
insufficient_1990m,4.0,R0_NOISELESS,1.4113058535312692,74.89311746060656,-13.667099449568154
insufficient_1990m,4.0,R0_NOISELESS,1.4116893487282407,64.96418589758129,-14.902457614322737
insufficient_1990m,4.0,R0_NOISELESS,1.4120728439252122,53.878150093146274,-16.527684106965374
insufficient_1990m,4.0,R0_NOISELESS,1.4124563391221836,42.82645395782822,-18.52169529933898
insufficient_1990m,4.0,R0_NOISELESS,1.412839834319155,32.20090831392677,-20.998575176551487
insufficient_1990m,4.0,R0_NOISELESS,1.4132233295161265,21.585903638130695,-24.472532943188007
insufficient_1990m,4.0,R0_NOISELESS,1.413606824713098,10.42583154485897,-30.79372355210606
insufficient_1990m,4.0,R0_NOISELESS,1.4139903199100694,4.897960711864074,-37.35563167928395
insufficient_1990m,4.0,R0_NOISELESS,1.4143738151070409,16.94913400269162,-26.572987356823404
insufficient_1990m,4.0,R0_NOISELESS,1.4147573103040123,29.637347637108558,-21.719150936515348
insufficient_1990m,4.0,R0_NOISELESS,1.4151408055009838,39.97411211043673,-19.12036110011456
insufficient_1990m,4.0,R0_NOISELESS,1.4155243006979552,45.802369861211616,-17.938178634520924
insufficient_1990m,4.0,R0_NOISELESS,1.4159077958949267,45.31602396718855,-18.0309016666228
insufficient_1990m,4.0,R0_NOISELESS,1.416291291091898,37.645653079141184,-19.6416409087947
insufficient_1990m,4.0,R0_NOISELESS,1.4166747862888696,24.901948445444507,-23.231271029672136
insufficient_1990m,4.0,R0_NOISELESS,1.417058281485841,24.113023977523348,-23.510904062975264
insufficient_1990m,4.0,R0_NOISELESS,1.4174417766828125,49.4962662654158,-17.264488836839426
insufficient_1990m,4.0,R0_NOISELESS,1.417825271879784,84.43529165961053,-12.625457465490083
insufficient_1990m,4.0,R0_NOISELESS,1.4182087670767554,121.50921706637848,-9.463753172248323
insufficient_1990m,4.0,R0_NOISELESS,1.4185922622737268,156.27939283236418,-7.277903317785742
insufficient_1990m,4.0,R0_NOISELESS,1.4189757574706983,184.8439251358191,-5.819833980404794
insufficient_1990m,4.0,R0_NOISELESS,1.4193592526676697,203.85926116329088,-4.969328705240955
insufficient_1990m,4.0,R0_NOISELESS,1.4197427478646412,210.85526902947643,-4.676248462918505
insufficient_1990m,4.0,R0_NOISELESS,1.4201262430616126,204.53837313521444,-4.940441676612345
insufficient_1990m,4.0,R0_NOISELESS,1.420509738258584,184.9968021555918,-5.812653197437507
insufficient_1990m,4.0,R0_NOISELESS,1.4208932334555555,153.77440265713662,-7.418256649698478
insufficient_1990m,4.0,R0_NOISELESS,1.421276728652527,113.82577664551373,-10.031125178425697
insufficient_1990m,4.0,R0_NOISELESS,1.4216602238494984,69.52984622516374,-14.312512245299732
insufficient_1990m,4.0,R0_NOISELESS,1.4220437190464699,28.906432093093564,-21.936047818568838
insufficient_1990m,4.0,R0_NOISELESS,1.4224272142434413,29.473409651652887,-21.76733001475337
insufficient_1990m,4.0,R0_NOISELESS,1.4228107094404128,57.83033089259989,-15.912824078002325
insufficient_1990m,4.0,R0_NOISELESS,1.4231942046373842,77.13958832958427,-13.410391286206618
insufficient_1990m,4.0,R0_NOISELESS,1.4235776998343557,82.15501665448986,-12.863255862495741
insufficient_1990m,4.0,R0_NOISELESS,1.4239611950313271,71.69830896468669,-14.045759367645427
insufficient_1990m,4.0,R0_NOISELESS,1.4243446902282986,47.65524449942558,-17.593723581499386
insufficient_1990m,4.0,R0_NOISELESS,1.42472818542527,26.24205302888357,-22.775981447762867
insufficient_1990m,4.0,R0_NOISELESS,1.4251116806222415,57.837357203695944,-15.911768817647031
insufficient_1990m,4.0,R0_NOISELESS,1.425495175819213,111.027271166163,-10.24734430630348
insufficient_1990m,4.0,R0_NOISELESS,1.4258786710161844,166.79995593901256,-6.712018991375043
insufficient_1990m,4.0,R0_NOISELESS,1.4262621662131558,218.5175442031718,-4.366211401462171
insufficient_1990m,4.0,R0_NOISELESS,1.4266456614101273,261.2061185142383,-2.8162707095333617
insufficient_1990m,4.0,R0_NOISELESS,1.4270291566070987,291.0841654728228,-1.8755660002899703
insufficient_1990m,4.0,R0_NOISELESS,1.4274126518040702,305.77629470763526,-1.4478613485365766
insufficient_1990m,4.0,R0_NOISELESS,1.4277961470010416,304.5026624557522,-1.4841157371579494
insufficient_1990m,4.0,R0_NOISELESS,1.428179642198013,288.1358473437487,-1.9639917676848224
insufficient_1990m,4.0,R0_NOISELESS,1.4285631373949845,259.10947318680815,-2.886271796501635
insufficient_1990m,4.0,R0_NOISELESS,1.428946632591956,221.20212452759986,-4.260151746632753
insufficient_1990m,4.0,R0_NOISELESS,1.4293301277889274,179.25111753326448,-6.086700184226226
insufficient_1990m,4.0,R0_NOISELESS,1.4297136229858989,138.85957125892847,-8.304421222983297
insufficient_1990m,4.0,R0_NOISELESS,1.4300971181828703,105.99153546869705,-10.65051394902061
insufficient_1990m,4.0,R0_NOISELESS,1.4304806133798418,85.49164317168754,-12.517464334697024
insufficient_1990m,4.0,R0_NOISELESS,1.4308641085768132,77.28471662531351,-13.394065245671015
insufficient_1990m,4.0,R0_NOISELESS,1.4312476037737847,75.46562404080441,-13.600954269653624
insufficient_1990m,4.0,R0_NOISELESS,1.4316310989707561,74.93767947482966,-13.661932811508139
insufficient_1990m,4.0,R0_NOISELESS,1.4320145941677276,76.05855857796281,-13.532975810359627
insufficient_1990m,4.0,R0_NOISELESS,1.432398089364699,83.22387970987243,-12.750978467797967
insufficient_1990m,4.0,R0_NOISELESS,1.4327815845616705,99.42644088403611,-11.205899753350984
insufficient_1990m,4.0,R0_NOISELESS,1.433165079758642,122.65202643718607,-9.38244306407687
insufficient_1990m,4.0,R0_NOISELESS,1.4335485749556134,148.17438860687142,-7.740474744177744
insufficient_1990m,4.0,R0_NOISELESS,1.4339320701525848,171.37905373653578,-6.476782811800117
insufficient_1990m,4.0,R0_NOISELESS,1.4343155653495563,188.68875711116377,-5.641017146989695
insufficient_1990m,4.0,R0_NOISELESS,1.4346990605465277,197.7241767070868,-5.234742105355258
insufficient_1990m,4.0,R0_NOISELESS,1.4350825557434992,197.3101712279612,-5.252948153698144
insufficient_1990m,4.0,R0_NOISELESS,1.4354660509404706,187.41535203720332,-5.699834362397922
insufficient_1990m,4.0,R0_NOISELESS,1.435849546137442,169.01731972631129,-6.59731341519633
insufficient_1990m,4.0,R0_NOISELESS,1.4362330413344135,143.89476489801132,-7.9950377438789735
insufficient_1990m,4.0,R0_NOISELESS,1.436616536531385,114.36479566463298,-9.990090455795848
insufficient_1990m,4.0,R0_NOISELESS,1.4370000317283564,82.9952160806998,-12.774876423573808
insufficient_1990m,4.0,R0_NOISELESS,1.437383526925328,52.32928379431528,-16.781041806969505
insufficient_1990m,4.0,R0_NOISELESS,1.4377670221222993,24.696609985787727,-23.303190756589647
insufficient_1990m,4.0,R0_NOISELESS,1.4381505173192708,4.284021982540904,-38.518903809899086
insufficient_1990m,4.0,R0_NOISELESS,1.4385340125162422,16.598191007591513,-26.754722462469125
insufficient_1990m,4.0,R0_NOISELESS,1.4389175077132137,27.298243295365967,-22.433243621133393
insufficient_1990m,4.0,R0_NOISELESS,1.4393010029101851,31.85028419387178,-21.09367138671967
insufficient_1990m,4.0,R0_NOISELESS,1.4396844981071566,30.809851087212493,-21.382145637930243
insufficient_1990m,4.0,R0_NOISELESS,1.440067993304128,25.487981746738555,-23.0292286742627
insufficient_1990m,4.0,R0_NOISELESS,1.4404514885010995,18.59255797395134,-25.769154736054425
insufficient_1990m,4.0,R0_NOISELESS,1.440834983698071,16.76820927029437,-26.66620391476355
insufficient_1990m,4.0,R0_NOISELESS,1.4412184788950424,24.900396289781085,-23.231812444052107
insufficient_1990m,4.0,R0_NOISELESS,1.4416019740920138,37.32755335134037,-19.715347125742817
insufficient_1990m,4.0,R0_NOISELESS,1.4419854692889853,49.90437140990646,-17.19316583034377
insufficient_1990m,4.0,R0_NOISELESS,1.4423689644859568,60.73559179014066,-15.48707227328638
insufficient_1990m,4.0,R0_NOISELESS,1.4427524596829282,68.65254637661856,-14.42280461912368
insufficient_1990m,4.0,R0_NOISELESS,1.4431359548798997,72.87151709724233,-13.904781400849513
insufficient_1990m,4.0,R0_NOISELESS,1.443519450076871,72.9481825630209,-13.895648096670293
insufficient_1990m,4.0,R0_NOISELESS,1.4439029452738426,68.79459828951667,-14.404850842337584
insufficient_1990m,4.0,R0_NOISELESS,1.444286440470814,60.696975452819,-15.492596611001122
insufficient_1990m,4.0,R0_NOISELESS,1.4446699356677855,49.309535759048735,-17.297319348167697
insufficient_1990m,4.0,R0_NOISELESS,1.445053430864757,35.614405987498756,-20.123423520081815
insufficient_1990m,4.0,R0_NOISELESS,1.4454369260617284,20.85730336920146,-24.77077446311773
insufficient_1990m,4.0,R0_NOISELESS,1.4458204212586998,6.680910977482157,-34.659223925818466
insufficient_1990m,4.0,R0_NOISELESS,1.4462039164556713,7.570638720014111,-33.573287190517725
